# Filename: 3Dvlt_macro_cp_Tv_Op19_P00.050_DK05e-07_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=1, OpB=9, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=0.05, Cc=1.08663515846909, K0c=0.298782930092614, Tc=2.173
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp	cp01	cp02	cp03	cp04	cp05	cp06	cp07
1	1000000	0.99999998999999995	            1e-08	100.00000000219612	8.3660149596505086e+37	                0	-0.051408626126222871	2.8000310705156841e+38	1.0416328294661824e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45096019694865391	0.40152174336075347	0.0037517325569640836	-0.0001761431373616626	0.010586248181299884
2	1000000	0.99999998741074592	1.2589254117941661e-08	100.00000000219612	9.7653416575104381e+37	                0	-0.051408625355454339	3.2683733075196393e+38	1.2158596995269867e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45096018445225478	0.40152173159164534	0.0037517323940038584	-0.00017614313285883857	0.010586248077151391
3	1000000	0.99999998415106806	1.5848931924611143e-08	100.00000000219612	1.1398725218421158e+38	                0	-0.051408624385113191	3.8150522970740834e+38	1.4192284366440488e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45096016872021144	0.40152171677520798	0.0037517321888490217	-0.00017614312719011941	0.010586247946036229
4	1000000	0.99999998004737689	1.9952623149688786e-08	100.00000000219612	1.3305314355318285e+38	                0	-0.05140862316352586	4.4531707637106604e+38	1.6566133538817218e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45096014891474095	0.40152169812241684	0.0037517319305743701	-0.00017614312005362405	0.010586247780971992
5	1000000	0.99999997488113568	2.5118864315095821e-08	100.00000000219612	1.553080494197599e+38	                0	-0.051408621625638119	5.1980227073366251e+38	1.9337039353907362e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45096012398112828	0.40152167463994282	0.0037517316054258578	-0.00017614311106931013	0.010586247573168452
6	1000000	0.99999996837722338	3.1622776601683792e-08	100.00000000219612	1.8128538782381061e+38	                0	-0.051408619689554645	6.0674611509723758e+38	2.2571416413602593e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45096009259159175	0.40152164507727856	0.0037517311960883269	-0.00017614309975872911	0.010586247311559304
7	1000000	0.99999996018928294	3.981071705534969e-08	100.00000000219612	2.116077790268826e+38	                0	-0.051408617252170323	7.0823246340422685e+38	2.634678566762058e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45096005307451276	0.40152160786009572	0.0037517306807630015	-0.00017614308551955202	0.010586246982212883
8	1000000	0.99999994988127661	5.011872336272725e-08	100.00000000219612	2.4700199886713843e+38	                0	-0.051408614183685274	8.266937686538848e+38	3.0753636215415855e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.4509600033254611	0.40152156100644126	0.0037517300320069284	-0.00017614306759349127	0.010586246567590323
9	1000000	0.99999993690426559	6.3095734448019296e-08	100.00000000219612	2.8831636443214072e+38	                0	-0.051408610320694714	9.6496927100633892e+38	3.5897589947854896e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45095994069514861	0.40152150202121534	0.0037517292152717883	-0.00017614304502592038	0.010586246045611467
10	1000000	0.99999992056717657	7.943282347242822e-08	100.00000000219612	3.3654111924862836e+38	                0	-0.05140860545747817	1.1263732249091297e+39	4.190193964815411e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45095986184826975	0.40152142776322797	0.0037517281870634183	-0.00017614301661503571	0.010586245388479052
11	1000000	0.99999990000000005	9.9999999999999995e-08	100.00000000219612	3.9283210266851738e+38	                0	-0.051408599335055559	1.3147741179977723e+39	4.8910595995161573e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45095976258597958	0.40152133427800701	0.0037517268926264037	-0.00017614298084785564	0.010586244561198352
12	1000000	0.99999987410745883	1.2589254117941662e-07	100.00000000219612	4.585385110630765e+38	                0	-0.051408591627388138	1.5346875847102909e+39	5.709154402040224e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45095963762223362	0.40152121658715417	0.0037517252630277138	-0.00017614293581965295	0.010586243519713753
13	1000000	0.99999984151068078	1.5848931924611141e-07	100.00000000219612	5.352351811048409e+38	                0	-0.051408581924018856	1.7913844546268875e+39	6.6640862588395581e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.45095948030230992	0.40152106842325308	0.0037517232114860064	-0.00017614287913251815	0.010586242208562411
