# Filename: 3Dvlt_macro_cp_Tv_Op19_P15.031_DK05e-07_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=1, OpB=9, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=15.031, Cc=0.720180946416472, K0c=0.38929012891607, Tc=1.998
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp	cp01	cp02	cp03	cp04	cp05	cp06	cp07
1	1000000	0.99999998999999995	            1e-08	100.00000000219612	9.0326203764640687e+37	                0	-0.065615986639731505	2.3202798157991002e+38	8.6316171814442426e-06	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404298818289107	0.9912924894621975	0.023717676975127569	-0.33134155633038598	7.9660375745723089
2	1000000	0.99999998741074592	1.2589254117941661e-08	100.00000000219612	1.0543446185709879e+38	                0	-0.065615985731468443	2.7083774464902758e+38	1.0075369850558441e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404298508520556	0.99129246111682479	0.023717675958801084	-0.33134154782277603	7.9660374950100898
3	1000000	0.99999998415106806	1.5848931924611143e-08	100.00000000219612	1.2306977750419148e+38	                0	-0.065615984588030626	3.1613895758502664e+38	1.1760609386135602e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.140429811854462	0.99129242543207918	0.023717674679321069	-0.33134153711233155	7.9660373948471994
4	1000000	0.99999998004737689	1.9952623149688786e-08	100.00000000219612	1.436548220610914e+38	                0	-0.065615983148528303	3.6901736911436708e+38	1.3727726465620008e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404297627594158	0.99129238050765622	0.023717673068551375	-0.33134152362867825	 7.96603726874958
5	1000000	0.99999997488113568	2.5118864315095821e-08	100.00000000219612	1.6768300041402994e+38	                0	-0.065615981336302531	4.3074042660397258e+38	1.602387109391375e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404297009524196	0.99129232395116451	0.023717671040712752	-0.33134150665376677	7.9660371100020901
6	1000000	0.99999996837722338	3.1622776601683792e-08	100.00000000219612	1.9573023020878165e+38	                0	-0.065615979054845369	5.0278753423374712e+38	1.8704078230380818e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404296231420235	0.99129225275076172	0.023717668487815324	-0.33134148528362006	7.9660369101508497
7	1000000	0.99999996018928294	3.981071705534969e-08	100.00000000219612	2.2846870779515919e+38	                0	-0.065615976182660685	5.8688541457703775e+38	2.1832583266503757e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404295251845393	0.99129216311476742	0.023717665273908142	-0.33134145838020068	7.9660366585530333
8	1000000	0.99999994988127661	5.011872336272725e-08	100.00000000219612	2.6668315100351278e+38	                0	-0.065615972566798172	6.8504983257664377e+38	2.5484374189488014e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404294018634458	0.99129205026979972	0.02371766122784056	-0.33134142451080539	7.9660363418101703
9	1000000	0.99999993690426559	6.3095734448019296e-08	100.00000000219612	3.1128944853987596e+38	                0	-0.065615968014698392	7.9963350153672399e+38	2.9746973721554036e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404292466114239	0.99129190820643798	0.023717656134144685	-0.3313413818717687	7.9660359430545435
10	1000000	0.99999992056717657	7.943282347242822e-08	100.00000000219612	3.6335676468688463e+38	                0	-0.065615962283947213	9.3338286494998667e+38	3.4722551647044672e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404290511607824	0.99129172935932586	0.023717649721563795	-0.33134132819240641	7.9660354410509626
11	1000000	0.99999990000000005	9.9999999999999995e-08	100.00000000219612	4.2413302547860401e+38	                0	-0.065615955069363102	1.089503564465524e+39	4.0530360270563226e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404288051031064	0.99129150420424605	0.023717641648606305	-0.33134126061410341	7.9660348090659197
12	1000000	0.99999987410745883	1.2589254117941662e-07	100.00000000219612	4.9507492192360727e+38	                0	-0.065615945986746818	1.2717375109814419e+39	4.7309601520168538e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.1404284953350186	0.99129122075095211	0.023717631485360807	-0.33134117553807696	7.9660340134439247
