# Filename: 3Dvlt_macro_cp_Tv_Op19_P07.328_DK05e-07_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=1, OpB=9, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=7.328, Cc=0.891865603114493, K0c=0.339007699617544, Tc=2.095
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp	cp01	cp02	cp03	cp04	cp05	cp06	cp07
1	1000000	0.99999998999999995	            1e-08	100.00000000219612	8.7021932474557579e+37	                0	-0.058203648345721164	2.566960328703836e+38	9.549287429238335e-06	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.9296228796272813	0.83170094557082996	0.015957817588766483	-0.10455104426135696	3.0453112492870305
2	1000000	0.99999998741074592	1.2589254117941661e-08	100.00000000219612	1.0157751727729363e+38	                0	-0.058203647506595894	2.9963188480115471e+38	1.1146533738507091e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962285406898326	0.83170092163327147	0.015957816906595267	-0.10455104163232319	3.0453112191667051
3	1000000	0.99999998415106806	1.5848931924611143e-08	100.00000000219612	1.1856769702188745e+38	                0	-0.058203646450198154	3.4974926904751642e+38	1.3010938505571593e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962282189296785	0.83170089149764814	0.015957816047792176	-0.10455103832256596	3.045311181247468
4	1000000	0.99999998004737689	1.9952623149688786e-08	100.00000000219612	1.3839972134893014e+38	                0	-0.058203645120272478	4.0824948443244814e+38	1.5187190959247579e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962278138576804	0.8317008535591498	0.015957814966623234	-0.10455103415582842	3.0453111335099741
5	1000000	0.99999997488113568	2.5118864315095821e-08	100.00000000219612	1.6154891873190829e+38	                0	-0.058203643445996031	4.7653464760899638e+38	1.7727450904186264e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962273039023979	0.83170080579742411	0.015957813605512502	-0.10455102891021692	3.0453110734120297
6	1000000	0.99999996837722338	3.1622776601683792e-08	100.00000000219612	1.8857012179884022e+38	                0	-0.058203641338207435	5.5624139524992244e+38	2.0692602467932094e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962266619068501	0.83170074566898511	0.015957811891975912	-0.10455102230638368	3.0453109977532025
7	1000000	0.99999996018928294	3.981071705534969e-08	100.00000000219612	2.2011098937870563e+38	                0	-0.058203638684658776	6.4928018114116665e+38	2.4153715982652724e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962258536823839	0.83170066997176861	0.015957809734761356	-0.10455101399265054	3.045310902504383
8	1000000	0.99999994988127661	5.011872336272725e-08	100.00000000219612	2.5692747898380988e+38	                0	-0.058203635344039974	7.5788091655967875e+38	2.8193745841866365e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962248361882893	0.8317005746746402	0.015957807018989734	-0.10455100352628129	3.0453107825932237
9	1000000	0.99999993690426559	6.3095734448019296e-08	100.00000000219612	2.9990201747311109e+38	                0	-0.058203631138453678	8.8464656964697628e+38	3.2909524437856429e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962235552397976	0.83170045470272602	0.015957803600037391	-0.1045509903499047	3.0453106316340279
10	1000000	0.99999992056717657	7.943282347242822e-08	100.00000000219612	3.5006462845145444e+38	                0	-0.058203625843934459	1.0326154864322032e+39	3.8414080551073273e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962219426214077	0.83170030366705594	0.015957799295832357	-0.10455097376183131	3.0453104415876644
11	1000000	0.99999990000000005	9.9999999999999995e-08	100.00000000219612	4.0861760201367316e+38	                0	-0.058203619178536274	1.2053341608845463e+39	4.4839346451365889e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962199124564548	0.83170011352453266	0.015957793877162396	-0.10455095287868701	3.0453102023334759
12	1000000	0.99999987410745883	1.2589254117941662e-07	100.00000000219612	4.7696434385770897e+38	                0	-0.058203610787301012	1.406942333019424e+39	5.233932361217938e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962173566312456	0.83169987414937785	0.015957787055464377	-0.10455092658837138	3.0453099011303171
13	1000000	0.99999984151068078	1.5848931924611141e-07	100.00000000219612	5.5674298577974676e+38	                0	-0.058203600223373841	1.6422721317835156e+39	6.1093770901194733e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962141390405562	0.8316995727941523	0.015957778467462089	-0.10455089349083224	3.0453095219380253
14	1000000	0.99999980047376846	1.9952623149688787e-07	100.00000000219612	6.49865676236376e+38	                0	-0.058203586924191669	1.916963972512367e+39	7.131251605379659e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962100883371901	0.83169919341071019	0.015957767655817141	-0.10455085182351202	3.0453090445632589
15	1000000	0.99999974881135689	2.5118864315095823e-07	100.00000000219612	7.5856438063652479e+38	                0	-0.05820357018154014	2.2376016560967526e+39	8.324048146469382e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92962049888097675	0.83169871579580923	0.015957754044778602	-0.10455079936748349	3.0453084435840903
16	1000000	0.99999968377223403	3.1622776601683792e-07	100.00000000219612	8.8544440307907068e+38	                0	-0.058203549103829695	2.6118702438790925e+39	9.7163557254000395e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92961985688940096	0.83169811451509978	0.015957736909520685	-0.10455073332928715	3.0453076869962383
17	1000000	0.99999960189282944	3.9810717055349692e-07	100.00000000219612	1.0335468066473678e+39	                0	-0.058203522568624474	3.0487401800931993e+39	0.00011341545076186788	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92961904867127421	0.83169735754881857	0.01595771533754722	-0.10455065019217344	3.0453067345087241
18	1000000	0.9999994988127664	5.011872336272725e-07	100.00000000219612	1.206421332204866e+39	                0	-0.058203489162877937	3.558682380733343e+39	0.00013238568801781297	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92961803118716546	0.83169640458680227	0.015957688180102833	-0.10455054552882702	3.045305535398235
19	1000000	0.99999936904265552	6.3095734448019296e-07	100.00000000219612	1.4082114605514084e+39	                0	-0.058203447107680419	4.1539191399450085e+39	0.00015452894764906192	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92961675025395496	0.83169520488185655	0.015957653991000454	-0.10455041376560505	3.0453040258079542
20	1000000	0.99999920567176526	7.943282347242822e-07	100.00000000219612	1.6437537138987201e+39	                0	-0.058203394163557284	4.8487170352565859e+39	0.00018037595717768329	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.9296151376600007	0.83169369454785047	0.015957610949621205	-0.10455024788573455	3.0453021253470087
21	1000000	0.99999899999999997	9.9999999999999995e-07	100.00000000219612	1.9186936131733813e+39	                0	-0.058203327511214681	5.6597289579097004e+39	0.00021054621680870905	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92961310753290261	0.83169179315781372	0.015957556763970576	-0.10455003905566301	3.0452997328094122
22	1000000	0.99999874107458819	1.2589254117941661e-06	100.00000000219612	2.2396209642322246e+39	                0	-0.058203243601451071	6.6063931504893054e+39	0.00024576284393311475	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.92961055176754859	0.83168939946190479	0.015957488548649871	-0.10454977615467555	3.0452967207845729
23	1000000	0.99999841510680754	1.5848931924611141e-06	100.00000000219612	2.6142278366903384e+39	                0	-0.058203137966188423	7.7113991698940942e+39	0.00028686990730430046	                0	2.6881171477195552e+43	                1	233.29922639385072	226.26589047440277	2.3153413128203315	0.92960733427021069	0.83168638599649691	0.01595740267123202	-0.10454944518272834	3.0452929288724246
