# Filename: 3Dvlt_macro_cp_Tv_Op19_P01.646_DK05e-07_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=1, OpB=9, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=1.646, Cc=1.04085830259061, K0c=0.307086360823192, Tc=2.157
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp	cp01	cp02	cp03	cp04	cp05	cp06	cp07
1	1000000	0.99999998999999995	            1e-08	100.00000000219612	8.4415605170199958e+37	                0	-0.052879152159172396	2.7489206651755833e+38	1.0226193704048986e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.5652264503323865	0.50719346351475758	0.0059392362202240739	-0.0089943745038423423	0.42798923845254333
2	1000000	0.99999998741074592	1.2589254117941661e-08	100.00000000219612	9.8535237317164854e+37	                0	-0.052879151373208408	3.2087141810056571e+38	1.1936660512462213e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522643465872857	0.50719344874731387	0.0059392359640883657	-0.0089943742761988497	0.42798923420972357
3	1000000	0.99999998415106806	1.5848931924611143e-08	100.00000000219612	1.1501657119733791e+38	                0	-0.052879150383736764	3.7454144516913243e+38	1.3933226291379153e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522641492674319	0.50719343015618734	0.0059392356416324279	-0.0089943739896126938	0.42798922886833018
4	1000000	0.99999998004737689	1.9952623149688786e-08	100.00000000219612	1.3425462321161765e+38	                0	-0.052879149138067412	4.3718848395935126e+38	1.6263743725984447e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522639008566522	0.50719340675136326	0.0059392352356846716	-0.0089943736288220916	0.42798922214391399
5	1000000	0.99999997488113568	2.5118864315095821e-08	100.00000000219612	1.5671050021229363e+38	                0	-0.052879147569861354	5.1031408837506563e+38	1.8984071762199308e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522635881258754	0.50719337728642366	0.0059392347246266007	-0.008994373174613636	0.42798921367837506
6	1000000	0.99999996837722338	3.1622776601683792e-08	100.00000000219612	1.8292241934005815e+38	                0	-0.052879145595608315	5.9567091506503789e+38	2.2159410558813294e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522631944213275	0.50719334019227846	0.0059392340812428378	-0.0089943726027991271	0.42798920302089394
7	1000000	0.99999996018928294	3.981071705534969e-08	100.00000000219612	2.1351861862487481e+38	                0	-0.052879143110171813	6.9530476557856883e+38	2.586586548761186e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.5652262698776771	0.5071932934935256	0.0059392332712708256	-0.0089943718829273555	0.42798918960392079
8	1000000	0.99999994988127661	5.011872336272725e-08	100.00000000219612	2.4923244736763842e+38	                0	-0.052879139981193327	8.1160372674423044e+38	3.0192275192796141e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522620747973618	0.50719323470329047	0.0059392322515766927	-0.0089943709766625544	0.42798917271295217
9	1000000	0.99999993690426559	6.3095734448019296e-08	100.00000000219612	2.9091989373882022e+38	                0	-0.052879136042044486	9.4735524756996792e+38	3.5242334895026802e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522612892540769	0.50719316069079268	0.0059392309678582347	-0.0089943698357428676	0.42798915144848299
10	1000000	0.99999992056717657	7.943282347242822e-08	100.00000000219612	3.3958012787859742e+38	                0	-0.052879131082950934	1.1058130357678287e+39	4.1137084992963835e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522603003138838	0.50719306751459781	0.0059392293517528741	-0.0089943683994102453	0.42798912467810357
11	1000000	0.99999990000000005	9.9999999999999995e-08	100.00000000219612	3.9637942388539055e+38	                0	-0.052879124839827429	1.290774957197357e+39	4.8017808981739383e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522590553126828	0.50719295021278721	0.0059392273171979008	-0.0089943665911748939	0.42798909097619386
12	1000000	0.99999987410745883	1.2589254117941662e-07	100.00000000219612	4.6267916071238026e+38	                0	-0.05287911698020565	1.5066742177159623e+39	5.6049425487060283e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522574879498211	0.50719280253863064	0.0059392247558463116	-0.0089943643147418883	0.42798904854800585
13	1000000	0.99999984151068078	1.5848931924611141e-07	100.00000000219612	5.4006841880828164e+38	                0	-0.052879107085538272	1.7586855103739197e+39	6.5424437021499896e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	0.56522555147583931	0.50719261662802329	0.0059392215312981753	-0.0089943614488832389	0.42798899513408517
