l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.66237e-24

# DK0 = 0.0390625	(data set 2)
0	0.546875	0.00263945
0.0333	0.547838	0.00276036
0.0666	0.547994	0.00288643
0.0999	0.547332	0.00301843
0.1332	0.545846	0.00315728
0.1665	0.54353	0.00330401
0.1998	0.540379	0.00345983
0.2331	0.536393	0.00362613
0.2664	0.531569	0.00380448
0.2997	0.525908	0.00399674
0.333	0.519409	0.00420504
0.3663	0.512076	0.00443187
0.3996	0.503908	0.00468011
0.4329	0.49491	0.00495318
0.4662	0.485084	0.0052551
0.4995	0.474435	0.00559062
0.5328	0.462968	0.0059654
0.5661	0.450692	0.00638624
0.5994	0.437616	0.00686131
0.6327	0.423754	0.0074005
0.666	0.40912	0.00801587
0.6993	0.393738	0.0087222
0.7326	0.377634	0.00953771
0.7659	0.360842	0.010485
0.7992	0.343406	0.0115923
0.8325	0.325379	0.0128951
0.8658	0.306825	0.0144383
0.8991	0.287822	0.0162789
0.9324	0.268463	0.0184901
0.9657	0.248856	0.0211662
0.999	0.229128	0.0244297
1.0323	0.20942	0.0284401
1.0656	0.189889	0.0334072
1.0989	0.170706	0.0396078
1.1322	0.152051	0.0474088
1.1655	0.134107	0.0572993
1.1988	0.117053	0.0699334
1.2321	0.101055	0.0861886
1.2654	0.0862563	0.107245
1.2987	0.072771	0.134695
1.332	0.0606732	0.170685
1.3653	0.049994	0.218117
1.3986	0.0407207	0.28091
1.4319	0.0327987	0.364364
1.4652	0.0261389	0.475639
1.4985	0.0206259	0.62441
1.5318	0.0161281	0.823743
1.5651	0.0125078	1.09128
1.5984	0.00962945	1.45086
1.6317	0.00736611	1.93462
1.665	0.00560361	2.58597
1.6983	0.0042427	3.46349
1.7316	0.00319951	4.64623
1.7649	0.00240477	6.24086
1.7982	0.00180246	8.39135
1.8315	0.00134795	11.292
1.8648	0.00100618	15.2048
1.8981	0.000749947	20.4837
1.9314	0.000558292	27.606
1.9647	0.000415214	37.2159
1.998	0.000308566	50.1827
2.0313	0.000229171	67.6796
2.0646	0.000170121	91.2894
2.0979	0.000126239	123.149
2.1312	9.36476e-05	166.14
2.1645	6.94541e-05	224.153
2.1978	5.15014e-05	302.438
2.2311	3.81836e-05	408.079
2.2644	2.83065e-05	550.636
2.2977	2.09825e-05	743.007
2.331	1.55525e-05	1002.6
2.3643	1.15271e-05	1352.91
2.3976	8.54319e-06	1825.64
2.4309	6.33152e-06	2463.57
2.4642	4.69229e-06	3324.41
2.4975	3.47739e-06	4486.08
2.5308	2.57701e-06	6053.7
2.5641	1.90974e-06	8169.13
2.5974	1.41523e-06	11023.8
2.6307	1.04877e-06	14876.1
2.664	7.77193e-07	20074.5
2.6973	5.75939e-07	27089.5
2.7306	4.26798e-07	36556
2.7639	3.16277e-07	49330.6
2.7972	2.34375e-07	66569.3
2.8305	1.73682e-07	89832.1
2.8638	1.28706e-07	121224
2.8971	9.53766e-08	163586
2.9304	7.06781e-08	220752
2.9637	5.23754e-08	297895
2.997	3.88123e-08	401995
3.0303	2.87615e-08	542474
3.0636	2.13135e-08	732044
3.0969	1.57942e-08	987860
3.1302	1.17041e-08	1.33307e+06
3.1635	8.67322e-09	1.79892e+06
3.1968	6.42721e-09	2.42756e+06
3.2301	4.76282e-09	3.27588e+06
3.2634	3.52945e-09	4.42064e+06
3.2967	2.61546e-09	5.96545e+06
3.33	1.93816e-09	8.0501e+06
3.3633	1.43626e-09	1.08632e+07
3.3966	1.06433e-09	1.46594e+07
3.4299	7.88708e-10	1.97822e+07
3.4632	5.84465e-10	2.66952e+07
3.4965	4.33112e-10	3.6024e+07
3.5298	3.20954e-10	4.86127e+07
3.5631	2.3784e-10	6.56006e+07
3.5964	1.76249e-10	8.8525e+07
3.6297	1.30607e-10	1.1946e+08
3.663	9.67854e-11	1.61206e+08
3.6963	7.17219e-11	2.1754e+08
3.7296	5.31488e-11	2.93561e+08
3.7629	3.93854e-11	3.96147e+08
3.7962	2.91862e-11	5.34582e+08
3.8295	2.16282e-11	7.21394e+08
3.8628	1.60273e-11	9.73488e+08
3.8961	1.18769e-11	1.31368e+09
3.9294	8.80127e-12	1.77275e+09
3.9627	6.5221e-12	2.39224e+09
3.996	4.83314e-12	3.22822e+09
4.0293	3.58155e-12	4.35633e+09
