l	K	y

# DK0 = 2.5	(data set 1)
0	5	9.95173e-16

# DK0 = 0.0390625	(data set 2)
0	0.859375	0.00263945
0.0333	0.847024	0.00260929
0.0666	0.835818	0.0025837
0.0999	0.825594	0.00256224
0.1332	0.816212	0.00254457
0.1665	0.807557	0.00253038
0.1998	0.799525	0.00251942
0.2331	0.792032	0.00251146
0.2664	0.785001	0.00250633
0.2997	0.778366	0.00250389
0.333	0.772068	0.002504
0.3663	0.766056	0.00250659
0.3996	0.760284	0.00251156
0.4329	0.754708	0.00251889
0.4662	0.749293	0.00252853
0.4995	0.744003	0.00254047
0.5328	0.738807	0.00255472
0.5661	0.733675	0.00257131
0.5994	0.72858	0.00259029
0.6327	0.723497	0.0026117
0.666	0.718402	0.00263563
0.6993	0.713272	0.00266219
0.7326	0.708085	0.00269148
0.7659	0.702821	0.00272365
0.7992	0.697459	0.00275886
0.8325	0.691979	0.00279731
0.8658	0.686363	0.0028392
0.8991	0.680591	0.00288479
0.9324	0.674646	0.00293435
0.9657	0.668507	0.0029882
0.999	0.662158	0.00304671
1.0323	0.65558	0.00311029
1.0656	0.648753	0.00317939
1.0989	0.641661	0.00325454
1.1322	0.634283	0.00333635
1.1655	0.626602	0.00342549
1.1988	0.618599	0.00352275
1.2321	0.610253	0.003629
1.2654	0.601546	0.00374527
1.2987	0.592459	0.00387273
1.332	0.582973	0.00401273
1.3653	0.573066	0.00416684
1.3986	0.562721	0.00433685
1.4319	0.551917	0.0045249
1.4652	0.540637	0.00473344
1.4985	0.528861	0.00496537
1.5318	0.516572	0.00522412
1.5651	0.503754	0.00551374
1.5984	0.490391	0.00583904
1.6317	0.476471	0.00620579
1.665	0.461983	0.00662091
1.6983	0.446918	0.00709277
1.7316	0.431275	0.00763151
1.7649	0.415053	0.00824955
1.7982	0.398258	0.00896212
1.8315	0.380905	0.00978803
1.8648	0.363016	0.0107507
1.8981	0.34462	0.0118793
1.9314	0.325762	0.0132107
1.9647	0.306494	0.0147916
1.998	0.286888	0.0166812
2.0313	0.267027	0.018956
2.0646	0.247014	0.0217142
2.0979	0.226966	0.0250837
2.1312	0.207021	0.0292314
2.1645	0.187331	0.0343768
2.1978	0.168059	0.0408097
2.2311	0.149382	0.0489149
2.2644	0.131474	0.0592054
2.2977	0.114509	0.0723677
2.331	0.0986452	0.0893233
2.3643	0.0840173	0.111312
2.3976	0.0707291	0.140007
2.4309	0.0588453	0.177664
2.4642	0.0483875	0.227332
2.4975	0.0393336	0.293133
2.5308	0.0316217	0.380636
2.5641	0.0251565	0.497367
2.5974	0.0198185	0.653494
2.6307	0.0154741	0.862749
2.664	0.011985	1.14368
2.6973	0.00921637	1.52132
2.7306	0.00704312	2.02946
2.7639	0.00535335	2.71371
2.7972	0.00405031	3.63563
2.8305	0.00305258	4.87829
2.8638	0.00229319	6.55379
2.8971	0.00171812	8.8134
2.9304	0.00128444	11.8613
2.9637	0.000958519	15.9729
2.997	0.000714265	21.5199
3.0303	0.000531635	29.0041
3.0636	0.000395333	39.1023
3.0969	0.000293759	52.7282
3.1302	0.000218154	71.1143
3.1635	0.000161932	95.9242
3.1968	0.000120155	129.403
3.2301	8.91307e-05	174.579
3.2634	6.61019e-05	235.542
3.2967	4.90144e-05	317.806
3.33	3.6339e-05	428.818
3.3633	2.69386e-05	578.621
3.3966	1.99683e-05	780.772
3.4299	1.48006e-05	1053.56
3.4632	1.09697e-05	1421.68
3.4965	8.13006e-06	1918.44
3.5298	6.02531e-06	2588.8
3.5631	4.46534e-06	3493.4
3.5964	3.3092e-06	4714.13
3.6297	2.45236e-06	6361.44
3.663	1.81736e-06	8584.42
3.6963	1.34678e-06	11584.2
3.7296	9.98035e-07	15632.3
3.7629	7.39596e-07	21095
3.7962	5.48077e-07	28466.7
3.8295	4.06151e-07	38414.4
3.8628	3.00977e-07	51838.4
3.8961	2.23037e-07	69953.4
3.9294	1.6528e-07	94398.9
3.9627	1.2248e-07	127387
3.996	9.07626e-08	171903
4.0293	6.72589e-08	231975
4.0626	4.98416e-08	313039
4.0959	3.69347e-08	422432
4.1292	2.73701e-08	570052
4.1625	2.02824e-08	769259
4.1958	1.50301e-08	1.03808e+06
4.2291	1.11379e-08	1.40084e+06
4.2624	8.25364e-09	1.89037e+06
