l	K	y

# DK0 = 2.5	(data set 1)
0	5	9.93248e-22

# DK0 = 0.0390625	(data set 2)
0	0.703125	0.00111291
0.0333	0.714725	0.00112551
0.0666	0.726187	0.00113592
0.0999	0.737523	0.00114416
0.1332	0.748745	0.00115024
0.1665	0.759869	0.0011542
0.1998	0.770911	0.00115607
0.2331	0.78189	0.00115591
0.2664	0.792827	0.00115375
0.2997	0.803744	0.00114966
0.333	0.814663	0.00114369
0.3663	0.825608	0.00113592
0.3996	0.836606	0.00112642
0.4329	0.847682	0.00111524
0.4662	0.858864	0.00110247
0.4995	0.870178	0.00108818
0.5328	0.881655	0.00107246
0.5661	0.893322	0.00105537
0.5994	0.90521	0.001037
0.6327	0.917348	0.00101744
0.666	0.929768	0.000996767
0.6993	0.9425	0.000975068
0.7326	0.955576	0.000952431
0.7659	0.969029	0.000928943
0.7992	0.98289	0.000904693
0.8325	0.997193	0.000879773
0.8658	1.01198	0.000853335
0.8991	1.02732	0.000823656
0.9324	1.04332	0.000790927
0.9657	1.06009	0.000755422
0.999	1.07772	0.000717445
1.0323	1.09633	0.000677334
1.0656	1.11603	0.000635455
1.0989	1.13691	0.000592205
1.1322	1.15911	0.000548007
1.1655	1.18272	0.000503306
1.1988	1.20786	0.000458564
1.2321	1.23464	0.000414251
1.2654	1.26317	0.000370836
1.2987	1.29354	0.000328774
1.332	1.32587	0.000288496
1.3653	1.36023	0.000250393
1.3986	1.39671	0.000214809
1.4319	1.43538	0.00018202
1.4652	1.47632	0.000152231
1.4985	1.51956	0.000125569
1.5318	1.56516	0.000102075
1.5651	1.61313	8.17113e-05
1.5984	1.66352	6.43611e-05
1.6317	1.71633	4.98425e-05
1.665	1.77156	3.79198e-05
1.6983	1.82923	2.83188e-05
1.7316	1.88935	2.07433e-05
1.7649	1.95191	1.48911e-05
1.7982	2.01693	1.04681e-05
1.8315	2.08442	7.20036e-06
1.8648	2.15442	4.84204e-06
1.8981	2.22696	3.18075e-06
1.9314	2.30208	2.03936e-06
1.9647	2.37984	1.27511e-06
1.998	2.46029	7.76805e-07
2.0313	2.54352	4.60676e-07
2.0646	2.62959	2.65704e-07
2.0979	2.7186	1.48904e-07
2.1312	2.81064	8.10018e-08
2.1645	2.9058	4.27292e-08
2.1978	3.00418	2.18345e-08
2.2311	3.1059	1.07965e-08
2.2644	3.21107	5.16011e-09
2.2977	3.3198	2.38106e-09
2.331	3.43221	1.0595e-09
2.3643	3.54842	4.54066e-10
2.3976	3.66858	1.87184e-10
2.4309	3.7928	7.41273e-11
2.4642	3.92122	2.81618e-11
2.4975	4.054	1.02495e-11
2.5308	4.19127	3.5684e-12
2.5641	4.33319	1.18665e-12
2.5974	4.47991	3.76333e-13
2.6307	4.6316	1.13639e-13
2.664	4.78843	3.26187e-14
2.6973	4.95057	8.88472e-15

# DK0 = 0.000610352	(data set 3)
0	0.667725	0.00156734
0.0333	0.674863	0.00159619
0.0666	0.681641	0.00162341
0.0999	0.688065	0.00164905
0.1332	0.694144	0.00167314
0.1665	0.699886	0.00169574
0.1998	0.705304	0.00171689
0.2331	0.710407	0.00173665
0.2664	0.715209	0.00175508
0.2997	0.719723	0.00177225
0.333	0.723961	0.0017882
0.3663	0.727936	0.00180301
0.3996	0.731664	0.00181672
0.4329	0.735156	0.0018294
0.4662	0.738426	0.0018411
0.4995	0.741487	0.00185188
0.5328	0.744352	0.00186178
0.5661	0.747033	0.00187087
0.5994	0.749542	0.00187918
0.6327	0.751891	0.00188677
0.666	0.75409	0.00189367
0.6993	0.756151	0.00189992
0.7326	0.758084	0.00190557
0.7659	0.759897	0.00191065
0.7992	0.761601	0.00191519
0.8325	0.763204	0.00191923
0.8658	0.764714	0.00192278
0.8991	0.76614	0.00192589
0.9324	0.767488	0.00192857
0.9657	0.768766	0.00193084
0.999	0.76998	0.00193272
1.0323	0.771137	0.00193424
1.0656	0.772243	0.00193541
1.0989	0.773303	0.00193624
1.1322	0.774322	0.00193676
1.1655	0.775306	0.00193696
1.1988	0.77626	0.00193687
1.2321	0.777187	0.00193648
1.2654	0.778094	0.00193582
1.2987	0.778982	0.00193488
1.332	0.779857	0.00193367
1.3653	0.780723	0.00193219
1.3986	0.781583	0.00193046
1.4319	0.78244	0.00192846
1.4652	0.783298	0.00192621
