l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.26001e-22

# DK0 = 0.0390625	(data set 2)
0	0.703125	0.000903747
0.0333	0.716988	0.000913795
0.0666	0.730827	0.000921693
0.0999	0.744652	0.000927443
0.1332	0.758474	0.00093106
0.1665	0.772308	0.000932572
0.1998	0.786172	0.000932018
0.2331	0.800085	0.00092945
0.2664	0.814068	0.000924925
0.2997	0.828145	0.000918513
0.333	0.842342	0.000910288
0.3663	0.856685	0.000900333
0.3996	0.871202	0.000888736
0.4329	0.885923	0.000875589
0.4662	0.900881	0.000860989
0.4995	0.916106	0.000845037
0.5328	0.931632	0.000827837
0.5661	0.947494	0.000809494
0.5994	0.963726	0.000790118
0.6327	0.980366	0.000769816
0.666	0.997449	0.0007487
0.6993	1.01502	0.000725821
0.7326	1.03316	0.000699555
0.7659	1.05199	0.000670158
0.7992	1.07161	0.000637956
0.8325	1.09213	0.00060331
0.8658	1.11366	0.000566619
0.8991	1.13634	0.000528308
0.9324	1.16026	0.000488831
0.9657	1.18556	0.000448662
0.999	1.21234	0.000408286
1.0323	1.24072	0.000368191
1.0656	1.27082	0.00032886
1.0989	1.30272	0.000290754
1.1322	1.33655	0.000254302
1.1655	1.37238	0.000219889
1.1988	1.4103	0.000187843
1.2321	1.45038	0.000158424
1.2654	1.49268	0.000131816
1.2987	1.53727	0.000108122
1.332	1.58417	8.73641e-05
1.3653	1.63342	6.94846e-05
1.3986	1.68505	5.43557e-05
1.4319	1.73907	4.1789e-05
1.4652	1.79548	3.15499e-05
1.4985	1.85431	2.33728e-05
1.5318	1.91555	1.69767e-05
1.5651	1.97923	1.20804e-05
1.5984	2.04535	8.41484e-06
1.6317	2.11395	5.73318e-06
1.665	2.18506	3.81747e-06
1.6983	2.25872	2.48213e-06
1.7316	2.33497	1.57462e-06
1.7649	2.41388	9.73763e-07
1.7982	2.49552	5.86509e-07
1.8315	2.57995	3.43752e-07
1.8648	2.66727	1.95866e-07
1.8981	2.75756	1.08392e-07
1.9314	2.85092	5.8201e-08
1.9647	2.94745	3.0291e-08
1.998	3.04725	1.52647e-08
2.0313	3.15043	7.44005e-09
2.0646	3.2571	3.50339e-09
2.0979	3.36739	1.59192e-09
2.1312	3.48141	6.97178e-10
2.1645	3.59929	2.93913e-10
2.1978	3.72117	1.1912e-10
2.2311	3.84717	4.63514e-11
2.2644	3.97744	1.72923e-11
2.2977	4.11211	6.17641e-12
2.331	4.25135	2.10898e-12
2.3643	4.39531	6.87385e-13
2.3976	4.54413	2.13518e-13
2.4309	4.698	6.31057e-14
2.4642	4.85708	1.77162e-14

# DK0 = 0.000610352	(data set 3)
0	0.650635	0.00152506
0.0333	0.658333	0.00155822
0.0666	0.665653	0.00158976
0.0999	0.672598	0.0016197
0.1332	0.679173	0.00164806
0.1665	0.685383	0.0016749
0.1998	0.691238	0.00170025
0.2331	0.696745	0.00172417
0.2664	0.701917	0.00174671
0.2997	0.706763	0.00176794
0.333	0.711295	0.00178791
0.3663	0.715527	0.00180669
0.3996	0.71947	0.00182435
0.4329	0.723137	0.00184095
0.4662	0.726542	0.00185655
0.4995	0.729697	0.00187121
0.5328	0.732614	0.001885
0.5661	0.735307	0.00189798
0.5994	0.737786	0.0019102
0.6327	0.740064	0.00192172
0.666	0.742151	0.00193259
0.6993	0.744058	0.00194287
0.7326	0.745795	0.0019526
0.7659	0.747372	0.00196184
0.7992	0.748797	0.00197062
0.8325	0.75008	0.001979
0.8658	0.751228	0.00198701
0.8991	0.752249	0.00199469
0.9324	0.753149	0.00200208
0.9657	0.753934	0.00200922
0.999	0.754612	0.00201614
1.0323	0.755187	0.00202288
1.0656	0.755664	0.00202946
1.0989	0.756048	0.00203592
1.1322	0.756343	0.00204229
1.1655	0.756552	0.00204859
1.1988	0.756679	0.00205485
1.2321	0.756727	0.0020611
1.2654	0.756698	0.00206737
1.2987	0.756594	0.00207368
1.332	0.756418	0.00208006
1.3653	0.75617	0.00208653
1.3986	0.755852	0.00209312
1.4319	0.755465	0.00209985
1.4652	0.75501	0.00210675
1.4985	0.754487	0.00211384
1.5318	0.753895	0.00212115
1.5651	0.753235	0.00212871
1.5984	0.752507	0.00213654
1.6317	0.751709	0.00214467
1.665	0.75084	0.00215313
1.6983	0.7499	0.00216195
