l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.67529e-09

# DK0 = 0.0390625	(data set 2)
0	1.32812	0.00528318
0.0333	1.20096	0.00471134
0.0666	1.11085	0.00435151
0.0999	1.04222	0.00412418
0.1332	0.987104	0.00398691
0.1665	0.941182	0.00388814
0.1998	0.902155	0.00381027
0.2331	0.868449	0.00375084
0.2664	0.838912	0.00370787
0.2997	0.812683	0.0036798
0.333	0.789104	0.00366542
0.3663	0.76766	0.00366385
0.3996	0.747946	0.00367443
0.4329	0.729632	0.00369677
0.4662	0.712452	0.00373065
0.4995	0.696183	0.00377608
0.5328	0.680639	0.00383323
0.5661	0.665663	0.00390246
0.5994	0.651118	0.00398431
0.6327	0.636888	0.00407953
0.666	0.622868	0.00418906
0.6993	0.608969	0.00431409
0.7326	0.595109	0.00445606
0.7659	0.581217	0.00461673
0.7992	0.567226	0.00479819
0.8325	0.553077	0.00500296
0.8658	0.538718	0.00523404
0.8991	0.524101	0.00549502
0.9324	0.509181	0.00579019
0.9657	0.49392	0.00612472
0.999	0.478286	0.00650482
1.0323	0.462248	0.00693801
1.0656	0.445785	0.0074334
1.0989	0.428878	0.00800213
1.1322	0.411517	0.00865786
1.1655	0.3937	0.00941742
1.1988	0.375433	0.0103017
1.2321	0.356731	0.0113367
1.2654	0.337621	0.0125552
1.2987	0.318143	0.0139985
1.332	0.29835	0.0157189
1.3653	0.278313	0.0177836
1.3986	0.258119	0.020279
1.4319	0.23787	0.0233168
1.4652	0.217689	0.0270428
1.4985	0.197714	0.0316478
1.5318	0.178102	0.0373832
1.5651	0.159016	0.0445822
1.5984	0.14063	0.0536877
1.6317	0.123116	0.0652918
1.665	0.106637	0.0801877
1.6983	0.0913395	0.0994418
1.7316	0.0773411	0.12449
1.7649	0.0647254	0.157272
1.7982	0.0535344	0.200403
1.8315	0.043767	0.257421
1.8648	0.0353798	0.333105
1.8981	0.0282929	0.433916
1.9314	0.0223973	0.568581
1.9647	0.0175648	0.748891
1.998	0.0136582	0.990769
2.0313	0.0105399	1.31571
2.0646	0.00807923	1.75275
2.0979	0.00615703	2.34104
2.1312	0.00466878	3.13347
2.1645	0.00352531	4.20137
2.1978	0.00265246	5.64103
2.2311	0.00198986	7.58237
2.2644	0.00148916	10.2007
2.2977	0.00111224	13.7328
2.331	0.000829392	18.4977
2.3643	0.000617669	24.9264
2.3976	0.000459514	33.6004
2.4309	0.000341571	45.3041
2.4642	0.000253732	61.0966
2.4975	0.000188383	82.4064
2.5308	0.000139807	111.162
2.5641	0.000103722	149.965
2.5974	7.69318e-05	202.326
2.6307	5.70495e-05	272.984
2.664	4.2299e-05	368.332
2.6973	3.13584e-05	496.999
2.7306	2.32454e-05	670.628
2.7639	1.72301e-05	904.931
2.7972	1.27707e-05	1221.11
2.8305	9.46503e-06	1647.78
2.8638	7.01478e-06	2223.55
2.8971	5.1987e-06	3000.52
2.9304	3.85271e-06	4049.01
2.9637	2.85516e-06	5463.89
2.997	2.11587e-06	7373.21
3.0303	1.568e-06	9949.74
3.0636	1.16198e-06	13426.7
3.0969	8.61087e-07	18118.6
3.1302	6.38109e-07	24450.1
3.1635	4.7287e-07	32994.3
3.1968	3.50418e-07	44524.2
3.2301	2.59676e-07	60083.3
3.2634	1.92431e-07	81079.5
3.2967	1.426e-07	109413
3.33	1.05673e-07	147648
3.3633	7.83078e-08	199244
3.3966	5.80293e-08	268870
3.4299	4.30021e-08	362828
3.4632	3.18664e-08	489619
3.4965	2.36143e-08	660719
3.5298	1.74991e-08	891610
3.5631	1.29676e-08	1.20319e+06
3.5964	9.6095e-09	1.62364e+06
3.6297	7.12103e-09	2.19103e+06
3.663	5.27697e-09	2.9567e+06
3.6963	3.91045e-09	3.98993e+06
3.7296	2.8978e-09	5.38422e+06
3.7629	2.14739e-09	7.26576e+06
3.7962	1.5913e-09	9.80481e+06
3.8295	1.17922e-09	1.32311e+07
3.8628	8.7385e-10	1.78548e+07
3.8961	6.47558e-10	2.40942e+07
3.9294	4.79867e-10	3.25141e+07
3.9627	3.55601e-10	4.38762e+07
3.996	2.63515e-10	5.9209e+07
4.0293	1.95275e-10	7.98998e+07
4.0626	1.44707e-10	1.07821e+08
4.0959	1.07233e-10	1.455e+08
4.1292	7.94644e-11	1.96345e+08
