l	K	y

# DK0 = 2.5	(data set 1)
0	5	1.92404e-11

# DK0 = 0.0390625	(data set 2)
3.2634	0.681407	0.00275952
3.2967	0.676635	0.00280619
3.33	0.671625	0.00285629
3.3633	0.666365	0.00291015
3.3966	0.660841	0.00296813
3.4299	0.655043	0.00303061
3.4632	0.648955	0.00309804
3.4965	0.642566	0.00317092
3.5298	0.635859	0.0032498
3.5631	0.628822	0.00333533
3.5964	0.621438	0.00342821
3.6297	0.613692	0.00352927
3.663	0.605567	0.00363943
3.6963	0.597048	0.00375976
3.7296	0.588116	0.00389149
3.7629	0.578756	0.00403601
3.7962	0.568949	0.00419497
3.8295	0.558678	0.00437025
3.8628	0.547926	0.00456404
3.8961	0.536675	0.00477893
3.9294	0.524909	0.00501795
3.9627	0.512612	0.00528465
3.996	0.499769	0.00558328
4.0293	0.486366	0.00591887
4.0626	0.472392	0.00629745
4.0959	0.457839	0.00672628
4.1292	0.442699	0.00721414
4.1625	0.426971	0.00777169
4.1958	0.410659	0.00841197
4.2291	0.393771	0.00915104
4.2624	0.376324	0.0100087
4.2957	0.35834	0.0110098
4.329	0.339856	0.0121851
4.3623	0.320916	0.0135737
4.3956	0.30158	0.015225
4.4289	0.28192	0.0172023
4.4622	0.262027	0.0195867
4.4955	0.242006	0.0224831
4.5288	0.221982	0.0260279
4.5621	0.202094	0.0303997
4.5954	0.182498	0.0358335
4.6287	0.163362	0.04264
4.662	0.144863	0.0512322
4.6953	0.127176	0.0621612
4.7286	0.110472	0.0761652
4.7619	0.0949039	0.0942357
4.7952	0.0806005	0.117708
4.8285	0.0676561	0.148382
4.8618	0.0561253	0.18869
4.8951	0.0460187	0.241916
4.9284	0.0373042	0.3125
4.9617	0.0299108	0.406441
4.995	0.0237363	0.531848
5.0283	0.0186569	0.699673
5.0616	0.0145369	0.924709
5.0949	0.0112382	1.22693
5.1282	0.00862807	1.6333
5.1615	0.00658423	2.18021
5.1948	0.00499851	2.91678
5.2281	0.00377797	3.90931
5.2614	0.00284489	5.24726
5.2947	0.00213566	7.05135
5.328	0.00159916	9.48449
5.3613	0.00119494	12.7665
5.3946	0.000891381	17.1941
5.4279	0.000664028	23.1677
5.4612	0.000494119	31.2273
5.4945	0.000367363	42.1022
5.5278	0.000272932	56.776
5.5611	0.000202662	76.5763
5.5944	0.000150417	103.295
5.6277	0.000111603	139.349
5.661	8.27813e-05	188
5.6943	6.13901e-05	253.652
5.7276	4.55188e-05	342.246
5.7609	3.37464e-05	461.797
5.7942	2.50161e-05	623.125
5.8275	1.85429e-05	840.827
5.8608	1.37439e-05	1134.61
5.8941	1.01864e-05	1531.05
5.9274	7.54948e-06	2066.02
5.9607	5.595e-06	2787.95
5.994	4.14642e-06	3762.15

# DK0 = 9.53674e-06	(data set 4)
0	1.15152	0.0034049
0.0333	1.10024	0.00317475
0.0666	1.05945	0.00300497
0.0999	1.026	0.00287898
0.1332	0.997867	0.00278615
0.1665	0.973721	0.00271068
0.1998	0.952805	0.00264362
0.2331	0.934571	0.00258387
0.2664	0.918585	0.00253051
0.2997	0.904501	0.00248273
0.333	0.892039	0.00243986
0.3663	0.880969	0.00240132
0.3996	0.871102	0.0023666
0.4329	0.86228	0.00233527
0.4662	0.854372	0.00230696
0.4995	0.847266	0.00228133
0.5328	0.840866	0.0022581
0.5661	0.83509	0.00223702
0.5994	0.829869	0.00221787
0.6327	0.825142	0.00220045
0.666	0.820856	0.0021846
0.6993	0.816964	0.00217015
0.7326	0.813426	0.00215698
0.7659	0.810206	0.00214497
0.7992	0.807273	0.00213399
0.8325	0.804599	0.00212397
0.8658	0.802158	0.0021148
0.8991	0.799929	0.00210642
0.9324	0.797892	0.00209876
0.9657	0.796029	0.00209174
0.999	0.794325	0.00208532
1.0323	0.792764	0.00207943
1.0656	0.791334	0.00207405
1.0989	0.790023	0.00206911
1.1322	0.788822	0.00206458
1.1655	0.787719	0.00206044
1.1988	0.786707	0.00205664
1.2321	0.785778	0.00205315
1.2654	0.784925	0.00204996
1.2987	0.78414	0.00204704
1.332	0.783419	0.00204436
1.3653	0.782756	0.0020419
1.3986	0.782145	0.00203966
1.4319	0.781584	0.0020376
1.4652	0.781066	0.00203571
1.4985	0.780589	0.00203399
1.5318	0.78015	0.00203242
1.5651	0.779744	0.00203098
1.5984	0.77937	0.00202967
1.6317	0.779024	0.00202847
1.665	0.778705	0.00202738
1.6983	0.778409	0.00202639
1.7316	0.778135	0.0020255
1.7649	0.777881	0.00202468
1.7982	0.777646	0.00202395
1.8315	0.777427	0.00202329
1.8648	0.777223	0.00202269
1.8981	0.777034	0.00202216
1.9314	0.776856	0.00202169
1.9647	0.776691	0.00202128
1.998	0.776536	0.00202091
2.0313	0.77639	0.0020206
2.0646	0.776253	0.00202033
2.0979	0.776123	0.0020201
2.1312	0.776001	0.00201991
2.1645	0.775884	0.00201976
2.1978	0.775773	0.00201965
2.2311	0.775667	0.00201957
2.2644	0.775565	0.00201953
2.2977	0.775467	0.00201951
2.331	0.775372	0.00201953
2.3643	0.77528	0.00201958
2.3976	0.77519	0.00201966
2.4309	0.775102	0.00201977
2.4642	0.775015	0.0020199
2.4975	0.77493	0.00202006
2.5308	0.774844	0.00202025
2.5641	0.774759	0.00202047
2.5974	0.774674	0.00202072
2.6307	0.774589	0.00202099
2.664	0.774502	0.00202129
2.6973	0.774415	0.00202162
2.7306	0.774326	0.00202197
2.7639	0.774236	0.00202236
2.7972	0.774143	0.00202277
2.8305	0.774048	0.00202322
2.8638	0.77395	0.0020237
2.8971	0.77385	0.0020242
2.9304	0.773746	0.00202475
2.9637	0.773638	0.00202532
2.997	0.773527	0.00202593
3.0303	0.773411	0.00202658
3.0636	0.773291	0.00202727
3.0969	0.773166	0.002028
3.1302	0.773036	0.00202877
3.1635	0.7729	0.00202958
3.1968	0.772758	0.00203044
3.2301	0.77261	0.00203134
3.2634	0.772455	0.0020323
3.2967	0.772293	0.0020333
3.33	0.772123	0.00203436
3.3633	0.771945	0.00203548
3.3966	0.771759	0.00203666
3.4299	0.771564	0.0020379
3.4632	0.771359	0.00203921
3.4965	0.771145	0.00204058
3.5298	0.77092	0.00204203
3.5631	0.770684	0.00204356
3.5964	0.770436	0.00204517
3.6297	0.770176	0.00204686
3.663	0.769903	0.00204864
3.6963	0.769617	0.00205051
3.7296	0.769316	0.00205248
3.7629	0.769	0.00205456
3.7962	0.768669	0.00205675
3.8295	0.76832	0.00205905
3.8628	0.767955	0.00206147
3.8961	0.76757	0.00206402
3.9294	0.767167	0.0020667
3.9627	0.766743	0.00206953
3.996	0.766297	0.00207251
4.0293	0.765829	0.00207564
4.0626	0.765338	0.00207894
4.0959	0.764821	0.00208241
4.1292	0.764278	0.00208607
4.1625	0.763708	0.00208993
4.1958	0.763109	0.00209399
4.2291	0.76248	0.00209827
4.2624	0.761818	0.00210278
4.2957	0.761123	0.00210753
4.329	0.760393	0.00211254
4.3623	0.759626	0.00211782
4.3956	0.75882	0.00212338
4.4289	0.757973	0.00212925
4.4622	0.757083	0.00213544
4.4955	0.756147	0.00214197
4.5288	0.755164	0.00214886
4.5621	0.754132	0.00215613
4.5954	0.753047	0.0021638
4.6287	0.751906	0.00217191
4.662	0.750708	0.00218046
4.6953	0.749449	0.0021895
4.7286	0.748126	0.00219905
4.7619	0.746736	0.00220914
4.7952	0.745275	0.00221981
4.8285	0.743741	0.00223109
4.8618	0.742128	0.00224302
4.8951	0.740433	0.00225565
4.9284	0.738652	0.00226901
4.9617	0.736781	0.00228317
4.995	0.734815	0.00229817
5.0283	0.73275	0.00231406
5.0616	0.730579	0.00233091
5.0949	0.728299	0.00234879
5.1282	0.725902	0.00236776
5.1615	0.723385	0.00238791
5.1948	0.720739	0.00240932
5.2281	0.71796	0.00243208
5.2614	0.71504	0.00245629
5.2947	0.711972	0.00248206
5.328	0.708749	0.00250951
5.3613	0.705363	0.00253877
5.3946	0.701806	0.00256998
5.4279	0.698069	0.00260329
5.4612	0.694144	0.00263889
5.4945	0.690021	0.00267697
5.5278	0.68569	0.00271772
5.5611	0.681141	0.00276139
5.5944	0.676363	0.00280822
5.6277	0.671346	0.00285851
5.661	0.666077	0.00291258
5.6943	0.660544	0.00297077
5.7276	0.654735	0.00303349
5.7609	0.648637	0.00310118
5.7942	0.642236	0.00317433
5.8275	0.635517	0.00325352
5.8608	0.628465	0.00333939
5.8941	0.621067	0.00343264
5.9274	0.613305	0.00353411
5.9607	0.605164	0.00364473
5.994	0.596627	0.00376558

# DK0 = 1.49012e-07	(data set 5)
0	1.15154	0.00340467
0.0333	1.10026	0.00317452
0.0666	1.05947	0.00300473
0.0999	1.02603	0.00287873
0.1332	0.997895	0.00278589
0.1665	0.973751	0.00271042
0.1998	0.952838	0.00264336
0.2331	0.934607	0.00258361
0.2664	0.918624	0.00253024
0.2997	0.904542	0.00248245
0.333	0.892082	0.00243958
0.3663	0.881014	0.00240102
0.3996	0.871149	0.00236629
0.4329	0.86233	0.00233495
0.4662	0.854425	0.00230663
0.4995	0.847321	0.00228098
0.5328	0.840924	0.00225774
0.5661	0.835151	0.00223665
0.5994	0.829933	0.00221748
0.6327	0.825209	0.00220004
0.666	0.820925	0.00218417
0.6993	0.817036	0.00216971
0.7326	0.813502	0.00215652
0.7659	0.810286	0.00214448
0.7992	0.807356	0.00213348
0.8325	0.804686	0.00212343
0.8658	0.802249	0.00211424
0.8991	0.800025	0.00210583
0.9324	0.797992	0.00209814
0.9657	0.796134	0.00209109
0.999	0.794434	0.00208463
1.0323	0.792879	0.00207872
1.0656	0.791454	0.00207329
1.0989	0.79015	0.00206832
1.1322	0.788954	0.00206375
1.1655	0.787858	0.00205956
1.1988	0.786853	0.00205572
1.2321	0.785931	0.00205219
1.2654	0.785084	0.00204895
1.2987	0.784308	0.00204598
1.332	0.783595	0.00204324
1.3653	0.78294	0.00204073
1.3986	0.782339	0.00203842
1.4319	0.781787	0.0020363
1.4652	0.78128	0.00203435
1.4985	0.780813	0.00203256
1.5318	0.780385	0.00203092
1.5651	0.779991	0.0020294
1.5984	0.779629	0.00202801
1.6317	0.779296	0.00202673
1.665	0.77899	0.00202555
1.6983	0.778709	0.00202447
1.7316	0.77845	0.00202348
1.7649	0.778212	0.00202256
1.7982	0.777993	0.00202172
1.8315	0.777792	0.00202094
1.8648	0.777607	0.00202023
1.8981	0.777436	0.00201958
1.9314	0.777279	0.00201897
1.9647	0.777135	0.00201842
1.998	0.777002	0.00201791
2.0313	0.77688	0.00201744
2.0646	0.776768	0.00201701
2.0979	0.776664	0.00201661
2.1312	0.776569	0.00201625
2.1645	0.776481	0.00201591
2.1978	0.7764	0.00201561
2.2311	0.776326	0.00201532
2.2644	0.776257	0.00201506
2.2977	0.776194	0.00201482
2.331	0.776136	0.0020146
2.3643	0.776083	0.0020144
2.3976	0.776034	0.00201421
2.4309	0.775988	0.00201404
2.4642	0.775946	0.00201389
2.4975	0.775908	0.00201374
2.5308	0.775872	0.00201361
2.5641	0.775839	0.00201349
2.5974	0.775809	0.00201338
2.6307	0.775781	0.00201328
2.664	0.775755	0.00201319
2.6973	0.775731	0.0020131
2.7306	0.775709	0.00201302
2.7639	0.775689	0.00201295
2.7972	0.77567	0.00201289
2.8305	0.775653	0.00201283
2.8638	0.775637	0.00201278
2.8971	0.775622	0.00201273
2.9304	0.775608	0.00201268
2.9637	0.775595	0.00201264
2.997	0.775583	0.00201261
3.0303	0.775572	0.00201258
3.0636	0.775561	0.00201255
3.0969	0.775551	0.00201252
3.1302	0.775542	0.0020125
3.1635	0.775533	0.00201248
3.1968	0.775525	0.00201247
3.2301	0.775518	0.00201245
3.2634	0.77551	0.00201244
3.2967	0.775504	0.00201243
3.33	0.775497	0.00201242
3.3633	0.775491	0.00201242
3.3966	0.775485	0.00201241
3.4299	0.775479	0.00201241
3.4632	0.775473	0.00201241
3.4965	0.775468	0.00201242
3.5298	0.775463	0.00201242
3.5631	0.775458	0.00201243
3.5964	0.775453	0.00201243
3.6297	0.775448	0.00201244
3.663	0.775443	0.00201245
3.6963	0.775438	0.00201246
3.7296	0.775433	0.00201248
3.7629	0.775428	0.00201249
3.7962	0.775423	0.00201251
3.8295	0.775418	0.00201253
3.8628	0.775413	0.00201255
3.8961	0.775407	0.00201257
3.9294	0.775402	0.00201259
3.9627	0.775396	0.00201262
3.996	0.775391	0.00201265
4.0293	0.775385	0.00201268
4.0626	0.775379	0.00201271
4.0959	0.775373	0.00201274
4.1292	0.775366	0.00201277
4.1625	0.77536	0.00201281
4.1958	0.775353	0.00201285
4.2291	0.775346	0.00201289
4.2624	0.775338	0.00201293
4.2957	0.77533	0.00201298
4.329	0.775322	0.00201303
4.3623	0.775314	0.00201308
4.3956	0.775305	0.00201313
4.4289	0.775296	0.00201319
4.4622	0.775286	0.00201325
4.4955	0.775276	0.00201331
4.5288	0.775265	0.00201338
4.5621	0.775254	0.00201345
4.5954	0.775242	0.00201352
4.6287	0.77523	0.0020136
4.662	0.775217	0.00201368
4.6953	0.775203	0.00201377
4.7286	0.775189	0.00201386
4.7619	0.775174	0.00201395
4.7952	0.775159	0.00201405
4.8285	0.775142	0.00201416
4.8618	0.775125	0.00201427
4.8951	0.775107	0.00201438
4.9284	0.775088	0.00201451
4.9617	0.775068	0.00201464
4.995	0.775047	0.00201477
5.0283	0.775025	0.00201491
5.0616	0.775002	0.00201506
5.0949	0.774977	0.00201522
5.1282	0.774952	0.00201538
5.1615	0.774925	0.00201556
5.1948	0.774897	0.00201574
5.2281	0.774867	0.00201593
5.2614	0.774836	0.00201613
5.2947	0.774803	0.00201634
5.328	0.774769	0.00201656
5.3613	0.774733	0.0020168
5.3946	0.774695	0.00201704
5.4279	0.774655	0.0020173
5.4612	0.774613	0.00201757
5.4945	0.77457	0.00201785
5.5278	0.774523	0.00201815
5.5611	0.774475	0.00201847
5.5944	0.774424	0.0020188
5.6277	0.77437	0.00201915
5.661	0.774314	0.00201951
5.6943	0.774255	0.0020199
5.7276	0.774192	0.0020203
5.7609	0.774127	0.00202072
5.7942	0.774058	0.00202117
5.8275	0.773986	0.00202164
5.8608	0.77391	0.00202213
5.8941	0.773831	0.00202265
5.9274	0.773747	0.00202319
5.9607	0.773659	0.00202376
5.994	0.773567	0.00202437

# DK0 = 2.32831e-09	(data set 6)
0	1.15154	0.00340467
0.0333	1.10026	0.00317452
0.0666	1.05947	0.00300473
0.0999	1.02603	0.00287873
0.1332	0.997895	0.00278588
0.1665	0.973752	0.00271042
0.1998	0.952839	0.00264335
0.2331	0.934607	0.0025836
0.2664	0.918624	0.00253023
0.2997	0.904543	0.00248245
0.333	0.892082	0.00243957
0.3663	0.881015	0.00240102
0.3996	0.87115	0.00236629
0.4329	0.862331	0.00233495
0.4662	0.854426	0.00230662
0.4995	0.847322	0.00228098
0.5328	0.840924	0.00225774
0.5661	0.835151	0.00223664
0.5994	0.829933	0.00221747
0.6327	0.825209	0.00220004
0.666	0.820926	0.00218417
0.6993	0.817037	0.0021697
0.7326	0.813503	0.00215651
0.7659	0.810286	0.00214447
0.7992	0.807357	0.00213347
0.8325	0.804687	0.00212342
0.8658	0.80225	0.00211423
0.8991	0.800026	0.00210583
0.9324	0.797993	0.00209813
0.9657	0.796135	0.00209108
0.999	0.794436	0.00208463
1.0323	0.79288	0.00207871
1.0656	0.791456	0.00207328
1.0989	0.790151	0.00206831
1.1322	0.788955	0.00206374
1.1655	0.787859	0.00205956
1.1988	0.786854	0.00205571
1.2321	0.785932	0.00205218
1.2654	0.785086	0.00204894
1.2987	0.78431	0.00204597
1.332	0.783597	0.00204323
1.3653	0.782942	0.00204072
1.3986	0.782341	0.00203841
1.4319	0.781789	0.00203629
1.4652	0.781282	0.00203434
1.4985	0.780816	0.00203255
1.5318	0.780387	0.0020309
1.5651	0.779994	0.00202939
1.5984	0.779632	0.00202799
1.6317	0.779299	0.00202671
1.665	0.778993	0.00202553
1.6983	0.778712	0.00202445
1.7316	0.778453	0.00202345
1.7649	0.778216	0.00202254
1.7982	0.777997	0.00202169
1.8315	0.777796	0.00202092
1.8648	0.777611	0.00202021
1.8981	0.77744	0.00201955
1.9314	0.777284	0.00201895
1.9647	0.77714	0.00201839
1.998	0.777007	0.00201788
2.0313	0.776885	0.00201741
2.0646	0.776773	0.00201698
2.0979	0.77667	0.00201658
2.1312	0.776575	0.00201621
2.1645	0.776487	0.00201587
2.1978	0.776407	0.00201556
2.2311	0.776333	0.00201528
2.2644	0.776265	0.00201501
2.2977	0.776202	0.00201477
2.331	0.776145	0.00201455
2.3643	0.776091	0.00201434
2.3976	0.776043	0.00201416
2.4309	0.775998	0.00201398
2.4642	0.775956	0.00201382
2.4975	0.775918	0.00201368
2.5308	0.775883	0.00201354
2.5641	0.775851	0.00201342
2.5974	0.775821	0.0020133
2.6307	0.775794	0.0020132
2.664	0.775769	0.0020131
2.6973	0.775746	0.00201301
2.7306	0.775724	0.00201293
2.7639	0.775705	0.00201285
2.7972	0.775687	0.00201278
2.8305	0.77567	0.00201272
2.8638	0.775655	0.00201266
2.8971	0.775641	0.0020126
2.9304	0.775628	0.00201255
2.9637	0.775616	0.00201251
2.997	0.775605	0.00201247
3.0303	0.775595	0.00201243
3.0636	0.775585	0.00201239
3.0969	0.775577	0.00201236
3.1302	0.775569	0.00201233
3.1635	0.775562	0.0020123
3.1968	0.775555	0.00201227
3.2301	0.775549	0.00201225
3.2634	0.775543	0.00201223
3.2967	0.775538	0.00201221
3.33	0.775533	0.00201219
3.3633	0.775529	0.00201217
3.3966	0.775525	0.00201216
3.4299	0.775521	0.00201214
3.4632	0.775518	0.00201213
3.4965	0.775515	0.00201212
3.5298	0.775512	0.0020121
3.5631	0.775509	0.00201209
3.5964	0.775507	0.00201208
3.6297	0.775504	0.00201208
3.663	0.775502	0.00201207
3.6963	0.7755	0.00201206
3.7296	0.775499	0.00201205
3.7629	0.775497	0.00201205
3.7962	0.775495	0.00201204
3.8295	0.775494	0.00201204
3.8628	0.775493	0.00201203
3.8961	0.775492	0.00201203
3.9294	0.775491	0.00201202
3.9627	0.77549	0.00201202
3.996	0.775489	0.00201201
4.0293	0.775488	0.00201201
4.0626	0.775487	0.00201201
4.0959	0.775486	0.002012
4.1292	0.775486	0.002012
4.1625	0.775485	0.002012
4.1958	0.775485	0.002012
4.2291	0.775484	0.002012
4.2624	0.775484	0.00201199
4.2957	0.775483	0.00201199
4.329	0.775483	0.00201199
4.3623	0.775483	0.00201199
4.3956	0.775482	0.00201199
4.4289	0.775482	0.00201199
4.4622	0.775482	0.00201198
4.4955	0.775481	0.00201198
4.5288	0.775481	0.00201198
4.5621	0.775481	0.00201198
4.5954	0.775481	0.00201198
4.6287	0.775481	0.00201198
4.662	0.775481	0.00201198
4.6953	0.77548	0.00201198
4.7286	0.77548	0.00201198
4.7619	0.77548	0.00201198
4.7952	0.77548	0.00201198
4.8285	0.77548	0.00201197
4.8618	0.77548	0.00201197
4.8951	0.77548	0.00201197
4.9284	0.77548	0.00201197
4.9617	0.77548	0.00201197
4.995	0.77548	0.00201197
5.0283	0.77548	0.00201197
5.0616	0.77548	0.00201197
5.0949	0.77548	0.00201197
5.1282	0.77548	0.00201197
5.1615	0.77548	0.00201197
5.1948	0.77548	0.00201197
5.2281	0.77548	0.00201197
5.2614	0.77548	0.00201197
5.2947	0.77548	0.00201196
5.328	0.77548	0.00201196
5.3613	0.77548	0.00201196
5.3946	0.77548	0.00201196
5.4279	0.77548	0.00201196
5.4612	0.775481	0.00201196
5.4945	0.775481	0.00201196
5.5278	0.775481	0.00201196
5.5611	0.775481	0.00201196
5.5944	0.775481	0.00201196
5.6277	0.775481	0.00201196
5.661	0.775481	0.00201196
5.6943	0.775481	0.00201195
5.7276	0.775482	0.00201195
5.7609	0.775482	0.00201195
5.7942	0.775482	0.00201195
5.8275	0.775482	0.00201195
5.8608	0.775482	0.00201195
5.8941	0.775483	0.00201195
5.9274	0.775483	0.00201194
5.9607	0.775483	0.00201194
5.994	0.775483	0.00201194
6.0273	0.775483	0.00201194
6.0606	0.775484	0.00201194
6.0939	0.775484	0.00201194
6.1272	0.775484	0.00201193
6.1605	0.775485	0.00201193
6.1938	0.775485	0.00201193
6.2271	0.775485	0.00201193
6.2604	0.775486	0.00201192
6.2937	0.775486	0.00201192
6.327	0.775487	0.00201192
6.3603	0.775487	0.00201192
