# Filename: 3Dvlt_macro_cp_extra_BareValues_P02.533.dat
# Source: 3Dvlt_macro_cp_extra.c
# Source version: 1 (2011 Oct 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# Parameter values: P=2.53313, Cc=1.03281, K0c=0.308611, Tc=2.14784
# P	Cc	K0c	T	T/Tc	1-T/Tc	l	K0	y0	e0	U0/kB	a0	a0(P)/a0(0)
2.53313	 1.03280678021075	0.308610836254864	0.1	0.046558379122001	0.953441620877999	0	 6.62847036504823	4.53099002897686e-30	0	 6.75666123247619	 2.43824256866886	 1.00399812520754
2.53313	 1.03280678021075	0.308610836254864	0.15	0.0698375686830014	0.930162431316999	0	  4.4189802433655	2.73818048534373e-20	0	 6.75666123247619	 2.43835668009622	 1.00403339950764
2.53313	 1.03280678021075	0.308610836254864	0.2	0.0931167582440019	0.906883241755998	0	 3.31423518252412	2.12861223076832e-15	0	 6.75666123247619	 2.43843555406687	 1.00405963039251
2.53313	 1.03280678021075	0.308610836254864	0.25	0.116395947805002	0.883604052194998	0	  2.6513881460193	1.8301102044001e-12	0	 6.75666123247619	 2.43848624854865	 1.00407806650124
2.53313	 1.03280678021075	0.308610836254864	0.3	0.139675137366003	0.860324862633997	0	 2.20949012168275	1.65474483995078e-10	0	 6.75666123247619	 2.43851511023055	 1.00408985183914
2.53313	 1.03280678021075	0.308610836254864	0.35	0.162954326927003	0.837045673072997	0	 1.89384867572807	4.1309997935672e-09	0	 6.75666123247619	 2.43852777305375	 1.00409602543143
2.53313	 1.03280678021075	0.308610836254864	0.4	0.186233516488004	0.813766483511996	0	 1.65711759126206	4.61368857939969e-08	0	 6.75666123247619	 2.43852915723186	 1.00409752107425
2.53313	 1.03280678021075	0.308610836254864	0.45	0.209512706049004	0.790487293950996	0	 1.47299341445516	3.01407478404871e-07	0	 6.75666123247619	 2.43852346864489	 1.00409516716405
2.53313	 1.03280678021075	0.308610836254864	0.5	0.232791895610005	0.767208104389995	0	 1.32569407300965	1.35281565795199e-06	0	 6.75666123247619	 2.43851419850647	 1.00408968658825
2.53313	 1.03280678021075	0.308610836254864	0.55	0.256071085171005	0.743928914828995	0	 1.20517643000877	4.62128106504064e-06	0	 6.75666123247619	 2.43850412321762	 1.00408169666239
2.53313	 1.03280678021075	0.308610836254864	0.6	0.279350274732006	0.720649725267994	0	 1.10474506084137	1.28636885843477e-05	0	 6.75666123247619	 2.43849530433594	   1.004071709101
2.53313	 1.03280678021075	0.308610836254864	0.65	0.302629464293006	0.697370535706994	0	 1.01976467154588	3.05892036065294e-05	0	 6.75666123247619	  2.4384890886029	 1.00406013001175
2.53313	 1.03280678021075	0.308610836254864	0.7	0.325908653854007	0.674091346145993	0	0.946924337864035	6.4272854250976e-05	0	 6.75666123247619	   2.438486107987	 1.00404725990439
2.53313	 1.03280678021075	0.308610836254864	0.75	0.349187843415007	0.650812156584993	0	0.883796048673099	0.000122318575352379	0	 6.75666123247619	 2.43848627971534	 1.00403329370835
2.53313	 1.03280678021075	0.308610836254864	0.8	0.372467032976008	0.627532967023992	0	 0.82855879563103	0.000214794985495465	0	 6.75666123247619	 2.43848880628038	 1.00401832079497
2.53313	 1.03280678021075	0.308610836254864	0.85	0.395746222537008	0.604253777462992	0	0.779820042946852	0.000353010338234028	0	 6.75666123247619	  2.4384921754238	 1.00400232500237
2.53313	 1.03280678021075	0.308610836254864	0.9	0.419025412098008	0.580974587901992	0	0.736496707227582	0.00054900590015488	0	 6.75666123247619	 2.43849416011368	 1.00398518466343
2.53313	 1.03280678021075	0.308610836254864	0.95	0.442304601659009	0.557695398340991	0	0.697733722636657	0.000815038683401172	0	 6.75666123247619	 2.43849181854608	 1.00396667263915
2.53313	 1.03280678021075	0.308610836254864	1	0.465583791220009	0.534416208779991	0	0.662847036504824	0.0011631060389973	0	 6.75666123247619	 2.43848149421677	 1.00394645636222
2.53313	 1.03280678021075	0.308610836254864	1.05	 0.48886298078101	 0.51113701921899	0	0.631282891909356	0.00160454434564458	0	 6.75666123247619	  2.4384588161234	 1.00392409789732
