l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.26001e-22

# DK0 = 0.0390625	(data set 2)
0	0.703125	0.000903747
0.0333	0.716952	0.000920525
0.0666	0.730678	0.000935071
0.0999	0.744307	0.00094734
0.1332	0.757849	0.000957298
0.1665	0.771316	0.000964933
0.1998	0.78472	0.000970245
0.2331	0.798081	0.000973249
0.2664	0.811419	0.000973972
0.2997	0.824757	0.000972453
0.333	0.838121	0.000968743
0.3663	0.851538	0.000962901
0.3996	0.86504	0.000954996
0.4329	0.878657	0.000945102
0.4662	0.892424	0.000933303
0.4995	0.906376	0.000919689
0.5328	0.920551	0.000904352
0.5661	0.934985	0.000887395
0.5994	0.94972	0.000868919
0.6327	0.964796	0.000849035
0.666	0.980255	0.000827853
0.6993	0.99614	0.00080549
0.7326	1.0125	0.000781329
0.7659	1.02942	0.00075383
0.7992	1.04699	0.000723191
0.8325	1.06534	0.000689714
0.8658	1.08457	0.00065374
0.8991	1.10479	0.000615641
0.9324	1.12611	0.00057582
0.9657	1.14866	0.000534708
0.999	1.17254	0.000492759
1.0323	1.19787	0.000450445
1.0656	1.22476	0.000408247
1.0989	1.25333	0.000366646
1.1322	1.28368	0.000326112
1.1655	1.31592	0.000287093
1.1988	1.35013	0.000249997
1.2321	1.38641	0.000215189
1.2654	1.42484	0.000182967
1.2987	1.46547	0.000153562
1.332	1.50838	0.000127126
1.3653	1.5536	0.000103728
1.3986	1.60117	8.33556e-05
1.4319	1.65112	6.59195e-05
1.4652	1.70347	5.12617e-05
1.4985	1.75823	3.91678e-05
1.5318	1.8154	2.93816e-05
1.5651	1.875	2.16217e-05
1.5984	1.93704	1.55963e-05
1.6317	2.00152	1.10186e-05
1.665	2.06846	7.61819e-06
1.6983	2.13789	5.15044e-06
1.7316	2.20985	3.40209e-06
1.7649	2.28438	2.19379e-06
1.7982	2.36152	1.37981e-06
1.8315	2.44135	8.45753e-07
1.8648	2.52392	5.04752e-07
1.8981	2.60933	2.93038e-07
1.9314	2.69765	1.65338e-07
1.9647	2.78897	9.0574e-08
1.998	2.8834	4.81258e-08
2.0313	2.98103	2.4777e-08
2.0646	3.08196	1.23466e-08
2.0979	3.18632	5.94838e-09
2.1312	3.29421	2.7676e-09
2.1645	3.40575	1.24208e-09
2.1978	3.52107	5.37038e-10
2.2311	3.6403	2.23421e-10
2.2644	3.76356	8.9318e-11
2.2977	3.891	3.4266e-11
2.331	4.02275	1.25977e-11
2.3643	4.15896	4.432e-12
2.3976	4.29978	1.48983e-12
2.4309	4.44538	4.77789e-13
2.4642	4.5959	1.4595e-13
2.4975	4.75152	4.23959e-14
2.5308	4.91241	1.16912e-14

# DK0 = 0.000610352	(data set 3)
0	0.662842	0.00135033
0.0333	0.67205	0.00138745
0.0666	0.68085	0.0014229
0.0999	0.689239	0.00145666
0.1332	0.697216	0.00148873
0.1665	0.704783	0.0015191
0.1998	0.711947	0.00154781
0.2331	0.718713	0.00157488
0.2664	0.725092	0.00160036
0.2997	0.731093	0.00162428
0.333	0.736728	0.00164672
0.3663	0.742011	0.00166771
0.3996	0.746956	0.00168733
0.4329	0.751578	0.00170564
0.4662	0.75589	0.00172271
0.4995	0.75991	0.00173859
0.5328	0.76365	0.00175335
0.5661	0.767128	0.00176707
0.5994	0.770357	0.00177979
0.6327	0.773353	0.00179158
0.666	0.77613	0.00180251
0.6993	0.7787	0.00181262
0.7326	0.781078	0.00182198
0.7659	0.783277	0.00183063
0.7992	0.785307	0.00183862
0.8325	0.787181	0.001846
0.8658	0.788909	0.00185282
0.8991	0.790503	0.00185911
0.9324	0.79197	0.00186491
0.9657	0.793321	0.00187026
0.999	0.794564	0.0018752
1.0323	0.795707	0.00187976
1.0656	0.796757	0.00188396
1.0989	0.797722	0.00188784
1.1322	0.798608	0.00189141
1.1655	0.79942	0.00189472
1.1988	0.800164	0.00189776
1.2321	0.800846	0.00190058
1.2654	0.801471	0.00190318
1.2987	0.802042	0.00190558
1.332	0.802564	0.00190781
1.3653	0.80304	0.00190987
1.3986	0.803474	0.00191178
1.4319	0.80387	0.00191356
1.4652	0.80423	0.00191521
1.4985	0.804557	0.00191675
1.5318	0.804853	0.00191818
1.5651	0.80512	0.00191953
1.5984	0.805362	0.00192078
1.6317	0.805579	0.00192197
