l	K	y

# DK0 = 2.5	(data set 1)
0	5	1.62695e-21

# DK0 = 0.0390625	(data set 2)
0	0.703125	0.00119289
0.0333	0.713815	0.00121541
0.0666	0.724232	0.00123577
0.0999	0.734383	0.00125395
0.1332	0.744278	0.00126995
0.1665	0.753928	0.00128378
0.1998	0.763347	0.00129544
0.2331	0.772551	0.00130496
0.2664	0.781559	0.00131236
0.2997	0.790391	0.0013177
0.333	0.799068	0.00132099
0.3663	0.807613	0.0013223
0.3996	0.816049	0.00132165
0.4329	0.824401	0.00131911
0.4662	0.832694	0.00131471
0.4995	0.840955	0.00130851
0.5328	0.84921	0.00130057
0.5661	0.857486	0.00129092
0.5994	0.865811	0.00127962
0.6327	0.874213	0.00126674
0.666	0.882719	0.0012523
0.6993	0.891359	0.00123638
0.7326	0.900162	0.00121902
0.7659	0.909157	0.00120028
0.7992	0.918373	0.00118021
0.8325	0.927841	0.00115887
0.8658	0.937592	0.00113632
0.8991	0.947656	0.00111261
0.9324	0.958066	0.00108782
0.9657	0.968852	0.00106201
0.999	0.98005	0.00103524
1.0323	0.991691	0.00100759
1.0656	1.00381	0.000979014
1.0989	1.01646	0.000947922
1.1322	1.02973	0.000913919
1.1655	1.04371	0.000877202
1.1988	1.05848	0.000837993
1.2321	1.07416	0.000796543
1.2654	1.09083	0.000753132
1.2987	1.10859	0.000708071
1.332	1.12755	0.000661703
1.3653	1.14781	0.000614401
1.3986	1.16947	0.000566565
1.4319	1.19265	0.000518619
1.4652	1.21745	0.000471003
1.4985	1.24397	0.000424168
1.5318	1.27231	0.000378563
1.5651	1.30258	0.000334624
1.5984	1.33486	0.000292761
1.6317	1.36924	0.000253345
1.665	1.4058	0.000216696
1.6983	1.44461	0.000183067
1.7316	1.48572	0.000152639
1.7649	1.52919	0.000125512
1.7982	1.57505	0.000101703
1.8315	1.62333	8.11447e-05
1.8648	1.67404	6.36977e-05
1.8981	1.7272	4.91557e-05
1.9314	1.78281	3.72616e-05
1.9647	1.84088	2.77227e-05
1.998	1.90141	2.02277e-05
2.0313	1.9644	1.44625e-05
2.0646	2.02986	1.01245e-05
2.0979	2.09781	6.93394e-06
2.1312	2.16828	4.64205e-06
2.1645	2.2413	3.03528e-06
2.1978	2.31692	1.93678e-06
2.2311	2.39518	1.20499e-06
2.2644	2.47616	7.3033e-07
2.2977	2.55993	4.30823e-07
2.331	2.64656	2.47127e-07
2.3643	2.73615	1.3771e-07
2.3976	2.82878	7.44744e-08
2.4309	2.92455	3.90485e-08
2.4642	3.02357	1.9829e-08
2.4975	3.12595	9.7415e-09
2.5308	3.2318	4.62479e-09
2.5641	3.34123	2.11932e-09
2.5974	3.45436	9.36304e-10
2.6307	3.57133	3.98307e-10
2.664	3.69226	1.62946e-10
2.6973	3.81728	6.40201e-11
2.7306	3.94653	2.41238e-11
2.7639	4.08016	8.7059e-12
2.7972	4.21832	3.0046e-12
2.8305	4.36116	9.90168e-13
2.8638	4.50883	3.111e-13
2.8971	4.6615	9.30375e-14
2.9304	4.81934	2.64398e-14
2.9637	4.98253	7.1277e-15

# DK0 = 0.000610352	(data set 3)
0	0.684814	0.00142144
0.0333	0.693189	0.00145399
0.0666	0.701159	0.0014848
0.0999	0.708729	0.00151389
0.1332	0.715903	0.00154129
0.1665	0.722692	0.00156702
0.1998	0.729103	0.00159113
0.2331	0.735149	0.00161366
0.2664	0.740842	0.00163467
0.2997	0.746197	0.0016542
0.333	0.751227	0.00167233
0.3663	0.755949	0.0016891
0.3996	0.760376	0.00170459
0.4329	0.764526	0.00171885
0.4662	0.768414	0.00173195
0.4995	0.772055	0.00174395
0.5328	0.775466	0.00175489
0.5661	0.77866	0.00176485
0.5994	0.781654	0.00177388
0.6327	0.78446	0.00178201
0.666	0.787093	0.00178932
0.6993	0.789567	0.00179583
0.7326	0.791894	0.0018016
0.7659	0.794086	0.00180666
0.7992	0.796155	0.00181105
0.8325	0.798112	0.00181481
0.8658	0.799968	0.00181797
0.8991	0.801732	0.00182056
0.9324	0.803415	0.0018226
0.9657	0.805025	0.00182412
0.999	0.806572	0.00182513
1.0323	0.808063	0.00182567
1.0656	0.809506	0.00182574
1.0989	0.810909	0.00182536
1.1322	0.812279	0.00182455
1.1655	0.813623	0.00182331
1.1988	0.814947	0.00182165
