# Filename: 3Dvlt_macro_Tv_Op12_Cc0.20_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.2, K0c=0.934654978121805, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac/a
49	10000000	0.999369	0.000630957	100	0.935245	0.157852	0	1	3.72008e-44	4.18369e-262	2.68812e+43	1
50	10000000	0.999206	0.000794328	100	0.935398	0.157804	0	1	3.72008e-44	4.18243e-262	2.68812e+43	1
51	10000000	0.999	0.001	100	0.935591	0.157744	0	1	3.72008e-44	4.18084e-262	2.68812e+43	1
52	10000000	0.998741	0.00125893	100	0.935833	0.157669	0	1	3.72008e-44	4.17884e-262	2.68812e+43	1
53	10000000	0.998415	0.00158489	100	0.936139	0.157573	0	1	3.72008e-44	4.17632e-262	2.68812e+43	1
54	10000000	0.998005	0.00199526	100	0.936524	0.157454	0	1	3.72008e-44	4.17315e-262	2.68812e+43	1
55	10000000	0.997488	0.00251189	100	0.937009	0.157303	0	1	3.72008e-44	4.16915e-262	2.68812e+43	1
56	10000000	0.996838	0.00316228	100	0.93762	0.157113	0	1	3.72008e-44	4.16413e-262	2.68812e+43	1
57	10000000	0.996019	0.00398107	100	0.938391	0.156875	0	1	3.72008e-44	4.1578e-262	2.68812e+43	1
58	10000000	0.994988	0.00501187	100	0.939363	0.156574	0	1	3.72008e-44	4.14982e-262	2.68812e+43	1
59	10000000	0.99369	0.00630957	100	0.94059	0.156195	0	1	3.72008e-44	4.13979e-262	2.68812e+43	1
60	10000000	0.992057	0.00794328	100	0.942139	0.155718	0	1	3.72008e-44	4.12715e-262	2.68812e+43	1
