l	K	y

# DK0 = 2.5	(data set 1)
0	5	0.00719188

# DK0 = 0.0390625	(data set 2)
0	1.48438	0.231074
0.0333	1.07469	0.187198
0.0666	0.87928	0.164959
0.0999	0.762151	0.149107
0.1332	0.683759	0.137159
0.1665	0.627447	0.127898
0.1998	0.584946	0.120566
0.2331	0.551675	0.114671
0.2664	0.524883	0.109874
0.2997	0.502817	0.105941
0.333	0.484302	0.102701
0.3663	0.46852	0.100028
0.3996	0.454883	0.0978262
0.4329	0.442957	0.0960233
0.4662	0.432413	0.0945625
0.4995	0.422998	0.0933996
0.5328	0.414512	0.0924994
0.5661	0.406797	0.0918342
0.5994	0.399723	0.0913819
0.6327	0.393185	0.0911251
0.666	0.387095	0.09105
0.6993	0.381379	0.091146
0.7326	0.375974	0.0914053
0.7659	0.370827	0.0918221
0.7992	0.365891	0.092393
0.8325	0.361126	0.0931161
0.8658	0.356495	0.0939914
0.8991	0.351969	0.0950205
0.9324	0.347517	0.0962063
0.9657	0.343115	0.0975535
0.999	0.338739	0.0990683
1.0323	0.334369	0.100758
1.0656	0.329985	0.102633
1.0989	0.32557	0.104704
1.1322	0.321106	0.106984
1.1655	0.316578	0.109489
1.1988	0.311972	0.112235
1.2321	0.307275	0.115244
1.2654	0.302473	0.118538
1.2987	0.297555	0.122144
1.332	0.29251	0.126093
1.3653	0.287328	0.130418
1.3986	0.281998	0.135159
1.4319	0.276512	0.140362
1.4652	0.270862	0.146078
1.4985	0.265041	0.152366
1.5318	0.259042	0.159294
1.5651	0.252861	0.166942
1.5984	0.246492	0.175399
1.6317	0.239934	0.184771
1.665	0.233184	0.19518
1.6983	0.226243	0.206766
1.7316	0.219113	0.219696
1.7649	0.211796	0.234162
1.7982	0.204299	0.25039
1.8315	0.196631	0.268648
1.8648	0.1888	0.289249
1.8981	0.180821	0.312566
1.9314	0.17271	0.339038
1.9647	0.164486	0.369191
1.998	0.15617	0.403649
2.0313	0.14779	0.443162
2.0646	0.139372	0.488626
2.0979	0.13095	0.541119
2.1312	0.122557	0.601942
2.1645	0.114231	0.672662
2.1978	0.106011	0.755178
2.2311	0.0979375	0.851793
2.2644	0.0900519	0.965301
2.2977	0.0823953	1.0991
2.331	0.0750074	1.25734
2.3643	0.0679257	1.44506
2.3976	0.0611843	1.66842
2.4309	0.0548128	1.93494
2.4642	0.0488355	2.25382
2.4975	0.0432706	2.63628
2.5308	0.0381295	3.09606
2.5641	0.0334169	3.64994
2.5974	0.0291309	4.31845
2.6307	0.025263	5.12669
2.664	0.021799	6.10533
2.6973	0.0187196	7.29185
2.7306	0.0160019	8.7321
2.7639	0.0136199	10.482
2.7972	0.0115458	12.6101
2.8305	0.0097509	15.1999
2.8638	0.00820659	18.3534
2.8971	0.00688502	22.1954
2.9304	0.00575964	26.8781
2.9637	0.00480567	32.5876
2.997	0.00400031	39.5509
3.0303	0.00332294	48.0454
3.0636	0.00275513	58.4099
3.0969	0.00228058	71.0581
3.1302	0.00188502	86.4949
3.1635	0.00155607	105.337
3.1968	0.0012831	128.339
3.2301	0.00105698	156.419
3.2634	0.000869969	190.701
3.2967	0.000715522	232.556
3.33	0.000588121	283.661
3.3633	0.00048314	346.059
3.3966	0.000396711	422.25
3.4299	0.000325612	515.283
3.4632	0.000267164	628.883
3.4965	0.000219142	767.599
3.5298	0.000179706	936.986
3.5631	0.000147336	1143.83
3.5964	0.000120774	1396.4
3.6297	9.89852e-05	1704.83
3.663	8.11167e-05	2081.47
3.6963	6.64663e-05	2541.39
3.7296	5.44567e-05	3103.02
3.7629	4.46135e-05	3788.85
3.7962	3.6547e-05	4626.35
3.8295	2.99373e-05	5649.07
3.8628	2.45217e-05	6897.96
3.8961	2.0085e-05	8423.05
3.9294	1.64505e-05	10285.4
3.9627	1.34733e-05	12559.6
3.996	1.10346e-05	15336.8
4.0293	9.03714e-06	18728.2
4.0626	7.40113e-06	22869.6
4.0959	6.0612e-06	27926.9
4.1292	4.96379e-06	34102.7
4.1625	4.06504e-06	41644.3
4.1958	3.32898e-06	50853.8
4.2291	2.72619e-06	62100
4.2624	2.23253e-06	75833.4
4.2957	1.82825e-06	92604
4.329	1.49718e-06	113084
4.3623	1.22605e-06	138093
4.3956	1.00402e-06	168632
4.4289	8.22199e-07	205926
4.4622	6.73301e-07	251468
