l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.67529e-09

# DK0 = 0.0390625	(data set 2)
0	0.546875	0.115443
0.0333	0.520376	0.110745
0.0666	0.498505	0.106905
0.0999	0.480115	0.103755
0.1332	0.464406	0.101172
0.1665	0.450803	0.0990601
0.1998	0.438878	0.0973496
0.2331	0.42831	0.0959846
0.2664	0.418849	0.0949215
0.2997	0.410297	0.0941263
0.333	0.402499	0.0935719
0.3663	0.395327	0.0932373
0.3996	0.388676	0.0931057
0.4329	0.382459	0.0931644
0.4662	0.376603	0.0934038
0.4995	0.371047	0.0938169
0.5328	0.365735	0.0943992
0.5661	0.360623	0.0951485
0.5994	0.35567	0.0960643
0.6327	0.35084	0.0971479
0.666	0.346102	0.0984027
0.6993	0.341427	0.0998336
0.7326	0.33679	0.101447
0.7659	0.332167	0.103252
0.7992	0.327538	0.105259
0.8325	0.322883	0.10748
0.8658	0.318185	0.10993
0.8991	0.313426	0.112626
0.9324	0.308591	0.115587
0.9657	0.303667	0.118837
0.999	0.298639	0.122401
1.0323	0.293495	0.126309
1.0656	0.288225	0.130595
1.0989	0.282817	0.135299
1.1322	0.277261	0.140465
1.1655	0.271548	0.146145
1.1988	0.265672	0.152396
1.2321	0.259624	0.159288
1.2654	0.253399	0.166898
1.2987	0.246992	0.175317
1.332	0.2404	0.184648
1.3653	0.233621	0.195013
1.3986	0.226654	0.206552
1.4319	0.219501	0.219431
1.4652	0.212165	0.233841
1.4985	0.204651	0.250008
1.5318	0.196967	0.268196
1.5651	0.189124	0.288719
1.5984	0.181134	0.311947
1.6317	0.173013	0.338317
1.665	0.16478	0.368353
1.6983	0.156457	0.402676
1.7316	0.148069	0.442031
1.7649	0.139645	0.487309
1.7982	0.131216	0.539585
1.8315	0.122816	0.60015
1.8648	0.114483	0.670564
1.8981	0.106256	0.752718
1.9314	0.0981744	0.848899
1.9647	0.0902803	0.961888
1.998	0.0826145	1.09507
2.0313	0.0752168	1.25255
2.0646	0.0681246	1.43936
2.0979	0.0613721	1.66163
2.1312	0.054989	1.92682
2.1645	0.0489996	2.24409
2.1978	0.0434224	2.62459
2.2311	0.0382689	3.08199
2.2644	0.033544	3.63297
2.2977	0.0292459	4.29796
2.331	0.0253663	5.10189
2.3643	0.021891	6.07527
2.3976	0.0188011	7.25539
2.4309	0.0160736	8.68782
2.4642	0.0136825	10.4282
2.4975	0.0116001	12.5446
2.5308	0.0097977	15.1202
2.5641	0.00824674	18.2563
2.5974	0.00691928	22.0771
2.6307	0.00578875	26.7339
2.664	0.00483028	32.4117
2.6973	0.00402105	39.3363
2.7306	0.00334036	47.7837
2.7639	0.00276971	58.0906
2.7972	0.00229274	70.6683
2.8305	0.00189514	86.0192
2.8638	0.00156448	104.757
2.8971	0.00129007	127.63
2.9304	0.00106275	155.553
2.9637	0.000874737	189.644
2.997	0.000719457	231.266
3.0303	0.000591365	282.085
3.0636	0.000485812	344.136
3.0969	0.00039891	419.901
3.1302	0.000327421	512.415
3.1635	0.00026865	625.382
3.1968	0.000220363	763.324
3.2301	0.000180709	931.765
3.2634	0.000148158	1137.45
3.2967	0.000121449	1388.62
3.33	9.95387e-05	1695.33
3.3633	8.15706e-05	2069.86
3.3966	6.68384e-05	2527.21
3.4299	5.47617e-05	3085.71
3.4632	4.48634e-05	3767.71
3.4965	3.67518e-05	4600.54
3.5298	3.01051e-05	5617.55
3.5631	2.46592e-05	6859.46
3.5964	2.01977e-05	8376.04
3.6297	1.65428e-05	10228
3.663	1.35489e-05	12489.5
3.6963	1.10965e-05	15251.2
3.7296	9.08785e-06	18623.7
3.7629	7.44266e-06	22742
3.7962	6.09521e-06	27771.1
3.8295	4.99165e-06	33912.4
3.8628	4.08785e-06	41411.8
3.8961	3.34767e-06	50569.9
3.9294	2.74149e-06	61753.3
3.9627	2.24506e-06	75410.1
3.996	1.83851e-06	92087.1
4.0293	1.50558e-06	112452
4.0626	1.23293e-06	137322
4.0959	1.00966e-06	167691
4.1292	8.26814e-07	204777
4.1625	6.77081e-07	250064
4.1958	5.54463e-07	305367
4.2291	4.5405e-07	372901
4.2624	3.71821e-07	455371
4.2957	3.04484e-07	556080
4.329	2.49341e-07	679061
4.3623	2.04185e-07	829240
4.3956	1.67206e-07	1.01263e+06
