#filename: Pdep_CcK0c.dat
#source: fit_3Dvlt_macro_Tv_Op42_Kth4.147_lmax100_dl1e-05_RhosoRhoVsTvNu.gnu
#Cc	K0c	A' using exact nu = 0.671688352279845358	P (bar)
(#ind. variable)	(from 3Dvlt_K0cFind.c Output)	(from 3Dvlt_K0cFind.c via data fits using 3Dvlt_macro.c)	(via my Greywall/Ahlers fit)
0.20	0.93465497812180520	0.940711128589212	54.0719080831861
0.25	0.79674794984036801	1.09769368309177	48.4959762484454
0.30	0.70109094206651523	1.23691939513233	43.5507574472776
0.35	0.63025269735391265	1.36206177161439	39.1057707854629
0.40	0.57534342964893814	1.47570817156149	35.0691147291469
0.45	0.53132345421063487	1.57976445143453	31.3730943312922
0.50	0.49510828997129153	1.67568365458932	27.9660983110749
0.55	0.46469704703948356	1.76460241378045	24.807754113845
0.60	0.43873100720691904	1.84743269349756	21.8656692750638
0.65	0.41625279991888953	1.92491419680755	19.1135699588133
0.70	0.39656697289619258	1.99766012923053	16.5296754507228
0.75	0.37915524531909928	2.06618225029649	14.0958083407987
0.80	0.36362286558404033	2.13091478691812	11.7965451339042
0.85	0.34966346988267760	2.1922291950562	9.61869192372563
0.90	0.33703537107020987	2.25044413880105	7.55092994142676
0.95	0.32554514449601912	2.30583559705111	5.58345657212195
1.00	0.31503600689857347	2.35864881216256	3.70756094557844
1.05	0.30537942360817050	2.40909428312468	1.91576625636921
1.10	0.29646893900678273	2.45735966632072	0.201407055555352
1.15	0.28821556877326282	2.50361404556906	-1.44152241876923
1.20	0.28054430897522864	2.54800578482214	-3.01829197055233

