filename: calc_Ferer_XvsP.dat

P	B'exp	B'loop	A'	Tc	rhoc	Vc	Xexp	Xloop
0.05	-388.026880407952	-1423.74587326875	2.4615925	2.17300271052122	146.077055820733	2.74006207032897e-05	-2.41035080706867e-08	-8.8440445442493e-08
1.646	-382.149454684935	-1432.9178727621	2.4166651	2.15700019250437	149.009848445052	2.68613252195418e-05	-2.35805848307104e-08	-8.84183950542736e-08
7.328	-354.951404759459	-1426.76910510232	2.2567168	2.09499908534539	157.753223183099	2.53725528977083e-05	-2.1987855624473e-08	-8.83827833100364e-08
15.031	-337.532647770387	-1351.93742251261	2.03987735	1.99800463967036	166.474812307518	2.40432888586378e-05	-2.20519074673442e-08	-8.83256749823163e-08
18.18	-322.721607316235	-1309.31833745571	1.951233	1.95399352318083	169.426636047985	2.3624396336734e-05	-2.17548835785225e-08	-8.82620418119757e-08
22.533	-299.57997589479	-1245.86988526681	1.82869605	1.88900354078972	173.184634341731	2.31117617057132e-05	-2.12137739191381e-08	-8.82221917528776e-08
25.868	-306.487231048798	-1193.89415030069	1.7348158	1.83599901850933	175.847858322307	2.27617330013818e-05	-2.26383921925905e-08	-8.81858729267691e-08
