r0    rhos0    gamma0 
0 1.001 0.000618384
0.08 0.996584 0.000424818
0.16 0.992438 0.000292311
0.24 0.988538 0.00020144
0.32 0.984862 0.000139016
0.4 0.981392 9.60648e-05
0.48 0.97811 6.64686e-05
0.56 0.975001 4.60458e-05
0.64 0.972052 3.19343e-05
0.72 0.96925 2.21715e-05
0.8 0.966586 1.54091e-05
0.88 0.964047 1.07198e-05
0.96 0.961627 7.46443e-06
1.04 0.959317 5.2023e-06
1.12 0.957109 3.62879e-06
1.2 0.954996 2.53327e-06
1.28 0.952974 1.76986e-06
1.36 0.951035 1.23743e-06
1.44 0.949175 8.65784e-07
1.52 0.947389 6.06174e-07
1.6 0.945673 4.24689e-07
1.68 0.944022 2.97728e-07
1.76 0.942434 2.08849e-07
1.84 0.940904 1.46588e-07
1.92 0.93943 1.02947e-07
2 0.938008 7.2337e-08
2.08 0.936635 5.08555e-08
2.16 0.93531 3.57713e-08
2.24 0.93403 2.51735e-08
2.32 0.932792 1.77239e-08
2.4 0.931595 1.24846e-08
2.48 0.930436 8.79791e-09
2.56 0.929314 6.20257e-09
2.64 0.928228 4.37466e-09
2.72 0.927174 3.08668e-09
2.8 0.926152 2.17876e-09
2.88 0.925161 1.53847e-09
2.96 0.9242 1.08675e-09
3.04 0.923266 7.67936e-10
3.12 0.922359 5.42838e-10
3.2 0.921477 3.8385e-10
3.28 0.92062 2.71516e-10
3.36 0.919787 1.92117e-10
3.44 0.918976 1.35979e-10
3.52 0.918187 9.62736e-11
3.6 0.917419 6.81821e-11
3.68 0.916671 4.83011e-11
3.76 0.915942 3.42266e-11
3.84 0.915232 2.42599e-11
3.92 0.91454 1.72e-11
4 0.913865 1.21977e-11
4.08 0.913207 8.65244e-12
4.16 0.912565 6.13909e-12
4.24 0.911939 4.35686e-12
4.32 0.911327 3.09274e-12
4.4 0.91073 2.1959e-12
4.48 0.910147 1.55947e-12
4.56 0.909577 1.10774e-12
4.64 0.90902 7.87025e-13
4.72 0.908476 5.5928e-13
4.8 0.907944 3.9752e-13
4.88 0.907424 2.82601e-13
4.96 0.906916 2.00943e-13
5.04 0.906418 1.42907e-13
5.12 0.905931 1.01652e-13
5.2 0.905455 7.23193e-14
5.28 0.904989 5.14602e-14
5.36 0.904532 3.66238e-14
5.44 0.904085 2.60693e-14
5.52 0.903648 1.85595e-14
5.6 0.903219 1.32153e-14
5.68 0.902799 9.4114e-15
5.76 0.902387 6.70348e-15
5.84 0.901983 4.77543e-15
5.92 0.901588 3.40244e-15
6 0.9012 2.42456e-15
6.08 0.90082 1.72797e-15
6.16 0.900447 1.23169e-15
6.24 0.900081 8.78069e-16
6.32 0.899722 6.26057e-16
6.4 0.89937 4.46434e-16
6.48 0.899025 3.18389e-16
6.56 0.898686 2.27098e-16
6.64 0.898353 1.62004e-16
6.72 0.898026 1.15582e-16
6.8 0.897705 8.24722e-17
6.88 0.89739 5.88541e-17
6.96 0.897081 4.20047e-17
7.04 0.896777 2.99825e-17
7.12 0.896478 2.14037e-17
7.2 0.896185 1.52812e-17
7.28 0.895896 1.09112e-17
7.36 0.895613 7.79174e-18
7.44 0.895335 5.56471e-18
7.52 0.895061 3.97462e-18
7.6 0.894792 2.83918e-18
7.68 0.894527 2.02831e-18
7.76 0.894267 1.44917e-18
7.84 0.894012 1.03549e-18
7.92 0.89376 7.39966e-19
8 0.893513 5.28835e-19
r1       rhos1       gamma1  
0   1   0.00042243 
0.024   0.998727   0.000361046
0.056   0.997493   0.000308705
0.088   0.996297   0.000264062
0.12   0.995137   0.000225976
0.152   0.994011   0.000193476
0.184   0.992917   0.000165734
0.216   0.991855   0.000142049
0.248   0.990821   0.000121822
0.28   0.989816   0.000104542
0.312   0.988838   8.97763e-05
0.344   0.987884   7.71549e-05
0.376   0.986954   6.63624e-05
0.408   0.986046   5.71305e-05
0.44   0.985159   4.92302e-05
0.472   0.984292   4.24662e-05
0.504   0.983443   3.66721e-05
0.536   0.98261   3.17059e-05
0.568   0.981793   2.74465e-05
0.6   0.98099   2.37905e-05
0.632   0.9802   2.06498e-05
0.664   0.979422   1.79491e-05
0.696   0.978653   1.56243e-05
0.728   0.977894   1.36207e-05
0.76   0.977142   1.18915e-05
0.792   0.976397   1.03969e-05
0.872   0.974556   7.47642e-06
0.952   0.972732   5.41667e-06
1.032   0.970916   3.94529e-06
1.112   0.969097   2.88081e-06
1.192   0.967276   2.10241e-06
1.272   0.965455   1.52927e-06
1.352   0.963641   1.10646e-06
1.432   0.961846   7.95542e-07
1.512   0.96008   5.68514e-07
1.592   0.958353   4.04219e-07
1.672   0.95667   2.86358e-07
1.752   0.955036   2.02398e-07
1.832   0.953452   1.4287e-07
1.912   0.951918   1.00782e-07
1.992   0.950432   7.10686e-08
2.072   0.948994   5.01092e-08
2.152   0.947602   3.53308e-08
2.232   0.946254   2.49128e-08
2.312   0.944949   1.75693e-08
2.392   0.943685   1.23927e-08
2.472   0.94246   8.74323e-09
2.552   0.941273   6.16998e-09
2.632   0.940121   4.35522e-09
2.712   0.939005   3.07506e-09
2.792   0.937922   2.17181e-09
2.872   0.936871   1.53431e-09
2.952   0.93585   1.08426e-09
3.032   0.934859   7.66443e-10
3.112   0.933896   5.41943e-10
3.192   0.93296   3.83313e-10
3.272   0.93205   2.71193e-10
3.352   0.931165   1.91923e-10
3.432   0.930304   1.35862e-10
3.512   0.929466   9.62035e-11
3.592   0.92865   6.81399e-11
3.672   0.927856   4.82757e-11
3.752   0.927082   3.42114e-11
3.832   0.926328   2.42507e-11
3.912   0.925593   1.71944e-11
3.992   0.924876   1.21944e-11
4.072   0.924177   8.65042e-12
4.152   0.923496   6.13787e-12
4.232   0.92283   4.35612e-12
4.312   0.922181   3.0923e-12
4.392   0.921547   2.19563e-12
4.472   0.920928   1.55931e-12
4.552   0.920323   1.10764e-12
4.632   0.919732   7.86966e-13
4.712   0.919154   5.59245e-13
4.792   0.91859   3.97498e-13
4.872   0.918038   2.82588e-13
4.952   0.917498   2.00935e-13
5.032   0.91697   1.42902e-13
5.112   0.916453   1.01649e-13
5.192   0.915948   7.23176e-14
5.272   0.915453   5.14591e-14
5.352   0.914969   3.66231e-14
5.432   0.914495   2.60689e-14
5.512   0.91403   1.85593e-14
5.592   0.913575   1.32151e-14
5.672   0.91313   9.41131e-15
5.752   0.912693   6.70342e-15
5.832   0.912265   4.7754e-15
5.912   0.911845   3.40242e-15
5.992   0.911434   2.42454e-15
6.072   0.911031   1.72796e-15
6.152   0.910635   1.23169e-15
6.232   0.910247   8.78066e-16
6.312   0.909867   6.26056e-16
6.392   0.909494   4.46433e-16
6.472   0.909127   3.18388e-16
6.552   0.908768   2.27098e-16
6.632   0.908415   1.62003e-16
6.712   0.908068   1.15582e-16
6.792   0.907728   8.24721e-17
6.872   0.907394   5.88541e-17
6.952   0.907066   4.20046e-17
7.032   0.906744   2.99825e-17
7.112   0.906428   2.14037e-17
7.192   0.906117   1.52812e-17
7.272   0.905811   1.09112e-17
7.352   0.905511   7.79173e-18
7.432   0.905216   5.56471e-18
7.512   0.904926   3.97462e-18
7.592   0.904641   2.83918e-18
7.672   0.90436   2.02831e-18
7.752   0.904085   1.44917e-18
7.832   0.903814   1.03549e-18
7.912   0.903547   7.39966e-19
7.992   0.903285   5.28025e-19
r2       rhos2       gamma2  
0   1   0.00042243 
0.024   0.998727   0.000360759
0.056   0.997495   0.000308173
0.088   0.996302   0.000263322
0.12   0.995145   0.000225061
0.152   0.994024   0.000192413
0.184   0.992937   0.000164549
0.216   0.991883   0.000140763
0.248   0.99086   0.000120453
0.28   0.989867   0.000103109
0.312   0.988902   8.82931e-05
0.344   0.987965   7.56352e-05
0.376   0.987055   6.48185e-05
0.408   0.986169   5.55731e-05
0.44   0.985308   4.76692e-05
0.472   0.984469   4.09106e-05
0.504   0.983652   3.51299e-05
0.536   0.982856   3.01845e-05
0.568   0.98208   2.59526e-05
0.6   0.981322   2.23302e-05
0.632   0.980582   1.92286e-05
0.664   0.979859   1.65719e-05
0.696   0.979151   1.42956e-05
0.728   0.978458   1.23443e-05
0.76   0.977779   1.06708e-05
0.792   0.977112   9.23487e-06
0.872   0.975492   6.47008e-06
0.952   0.973929   4.57256e-06
1.032   0.972406   3.26186e-06
1.112   0.970908   2.34881e-06
1.192   0.969421   1.70597e-06
1.272   0.967934   1.24771e-06
1.352   0.966437   9.1665e-07
1.432   0.964926   6.74447e-07
1.512   0.9634   4.95472e-07
1.592   0.961864   3.62462e-07
1.672   0.960326   2.63561e-07
1.752   0.958795   1.90344e-07
1.832   0.957282   1.36574e-07
1.912   0.955795   9.74638e-08
1.992   0.954341   6.92777e-08
2.072   0.952924   4.91152e-08
2.152   0.951546   3.47665e-08
2.232   0.950206   2.45876e-08
2.312   0.948906   1.73801e-08
2.392   0.947644   1.22819e-08
2.472   0.946419   8.67806e-09
2.552   0.94523   6.13151e-09
2.632   0.944075   4.33243e-09
2.712   0.942955   3.06154e-09
2.792   0.941867   2.16377e-09
2.872   0.940811   1.52952e-09
2.952   0.939785   1.0814e-09
3.032   0.938788   7.64734e-10
3.112   0.937818   5.4092e-10
3.192   0.936876   3.827e-10
3.272   0.93596   2.70826e-10
3.352   0.935069   1.91703e-10
3.432   0.934201   1.3573e-10
3.512   0.933357   9.61241e-11
3.592   0.932535   6.80922e-11
3.672   0.931735   4.8247e-11
3.752   0.930955   3.41941e-11
3.832   0.930195   2.42403e-11
3.912   0.929454   1.71882e-11
3.992   0.928732   1.21906e-11
4.072   0.928027   8.64814e-12
4.152   0.92734   6.1365e-12
4.232   0.926669   4.35529e-12
4.312   0.926014   3.0918e-12
4.392   0.925375   2.19533e-12
4.472   0.924751   1.55913e-12
4.552   0.924141   1.10753e-12
4.632   0.923545   7.86899e-13
4.712   0.922963   5.59204e-13
4.792   0.922394   3.97474e-13
4.872   0.921837   2.82573e-13
4.952   0.921293   2.00926e-13
5.032   0.92076   1.42897e-13
5.112   0.92024   1.01645e-13
5.192   0.91973   7.23156e-14
5.272   0.919231   5.14579e-14
5.352   0.918743   3.66224e-14
5.432   0.918265   2.60685e-14
5.512   0.917796   1.8559e-14
5.592   0.917338   1.3215e-14
5.672   0.916888   9.41121e-15
5.752   0.916448   6.70337e-15
5.832   0.916017   4.77536e-15
5.912   0.915594   3.4024e-15
5.992   0.915179   2.42453e-15
6.072   0.914772   1.72796e-15
6.152   0.914374   1.23168e-15
6.232   0.913983   8.78063e-16
6.312   0.913599   6.26054e-16
6.392   0.913222   4.46432e-16
6.472   0.912853   3.18387e-16
6.552   0.912491   2.27098e-16
6.632   0.912135   1.62003e-16
6.712   0.911786   1.15582e-16
6.792   0.911443   8.2472e-17
6.872   0.911106   5.8854e-17
6.952   0.910775   4.20046e-17
7.032   0.91045   2.99825e-17
7.112   0.910131   2.14036e-17
7.192   0.909818   1.52811e-17
7.272   0.90951   1.09112e-17
