1.0501	8.5388
1.0603	8.5412
1.0702	8.5404
1.0801	8.5428
1.0903	8.5452
1.1002	8.5476
1.1101	8.5405
1.1204	8.5428
1.1303	8.5453
1.1402	8.5477
1.1504	8.5469
1.1603	8.5461
1.1702	8.5485
1.1801	8.5477
1.1903	8.5469
1.2002	8.5494
1.2101	8.5486
1.2203	8.5542
1.2302	8.5534
1.2401	8.5558
1.2504	8.5550
1.2603	8.5542
1.2702	8.5535
1.2804	8.5558
1.2903	8.5583
1.3002	8.5607
1.3101	8.5599
1.3203	8.5623
1.3302	8.5647
1.3401	8.5639
1.3503	8.5631
1.3602	8.5624
1.3702	8.5648
1.3804	8.5704
1.3903	8.5664
1.4002	8.5656
1.4104	8.5712
1.4203	8.5704
1.4302	8.5696
1.4401	8.5721
1.4503	8.5713
1.4602	8.5673
1.4701	8.5697
1.4803	8.5689
1.4902	8.5649
1.5001	8.5674
1.5104	8.5666
1.5203	8.5658
1.5302	8.5650
1.5404	8.5674
1.5503	8.5666
1.5602	8.5626
1.5701	8.5619
1.5803	8.5611
1.5902	8.5603
1.6001	8.5563
1.6103	8.5555
1.6202	8.5484
1.6301	8.5444
1.6403	8.5404
1.6502	8.5364
1.6601	8.5325
1.6703	8.5221
1.6802	8.5149
1.6901	8.5078
1.7003	8.4974
1.7102	8.4902
1.7201	8.4799
1.7303	8.4663
1.7402	8.456
1.7501	8.4424
1.7603	8.4257
1.7702	8.4089
1.7804	8.389
1.7903	8.3659
1.8001	8.3427
1.8103	8.3132
1.8202	8.2901
1.8304	8.2574
1.8403	8.2279
1.8501	8.192
1.8603	8.1592
1.8702	8.1234
1.8803	8.0811
1.8902	8.0388
1.9004	7.9933
1.9102	7.9446
1.9204	7.8928
1.9302	7.8409
1.9404	7.7827
1.9502	7.7276
1.9604	7.663
1.9702	7.5984
1.9804	7.5305
1.9902	7.4595
2.0003	7.3757
2.0101	7.2983
2.0203	7.2114
2.0304	7.1148
2.0402	7.0151
2.0503	6.8962
2.0604	6.7836
2.0701	6.6648
2.0802	6.5331
2.0903	6.3950
2.1004	6.257
2.1101	6.1093
2.1201	5.9394
2.1302	5.7758
2.1402	5.6026
2.1502	5.4135
2.1602	5.2243
2.1702	5.0097
2.1802	4.7918
2.1899	4.5835
