Temperature (K)	Density (g/cm^3)	Superfl Density (kg/m^3)
0.10	0.14513	1.4513E+02
0.15	0.14513	1.4513E+02
0.20	0.14513	1.4513E+02
0.25	0.14513	1.4513E+02
0.30	0.14513	1.4513E+02
0.35	0.14513	1.4513E+02
0.40	0.14513	1.4513E+02
0.45	0.14513	1.4513E+02
0.50	0.14513	1.4513E+02
0.55	0.14513	1.4513E+02
0.60	0.14513	1.4513E+02
0.65	0.14512	1.4512E+02
0.70	0.14512	1.4512E+02
0.75	0.14512	1.4511E+02
0.80	0.14512	1.4511E+02
0.85	0.14512	1.4511E+02
0.90	0.14511	1.4510E+02
0.95	0.14511	1.4510E+02
1.00	0.14511	1.4509E+02
1.05	0.14511	1.4509E+02
1.10	0.14510	1.4507E+02
1.15	0.14510	1.4507E+02
1.20	0.14511	1.4507E+02
1.25	0.14511	1.4507E+02
1.30	0.14511	1.4506E+02
1.35	0.14512	1.4506E+02
1.40	0.14513	1.4506E+02
1.45	0.14514	1.4506E+02
1.50	0.14516	1.4507E+02
1.55	0.14518	1.4507E+02
1.60	0.14520	1.4508E+02
1.65	0.14523	1.4509E+02
1.70	0.14526	1.4510E+02
1.75	0.14530	1.4511E+02
1.80	0.14535	1.4514E+02
1.85	0.14540	1.4515E+02
1.90	0.14546	1.4518E+02
1.95	0.14553	1.4521E+02
2.00	0.14561	1.4524E+02
2.05	0.14570	1.4527E+02
2.10	0.14582	1.4532E+02
