#filename: fit_BrooksDonnelly_AlphaVsTP_5order.dat
#from RhosAmps.ods Sheet 4
#Alpha (K^-1)				5th Order
#T (K)	P (atm)	P (bar)	Alpha (K^-1)	Alpha (fit)
0.10	0	0	1.1380E-06	2.8572E-04
0.15	0	0	3.7610E-06	3.5581E-05
0.20	0	0	8.6820E-06	-1.0950E-04
0.25	0	0	1.6460E-05	-1.7220E-04
0.30	0	0	2.7500E-05	-1.7242E-04
0.35	0	0	4.2190E-05	-1.2749E-04
0.40	0	0	6.0750E-05	-5.2323E-05
0.45	0	0	8.3350E-05	4.0385E-05
0.50	0	0	1.1010E-04	1.4000E-04
0.55	0	0	1.4080E-04	2.3775E-04
0.60	0	0	1.7490E-04	3.2656E-04
0.65	0	0	2.1120E-04	4.0086E-04
0.70	0	0	2.4970E-04	4.5643E-04
0.75	0	0	2.8180E-04	4.9020E-04
0.80	0	0	3.2330E-04	5.0007E-04
0.85	0	0	3.4500E-04	4.8475E-04
0.90	0	0	3.5980E-04	4.4357E-04
0.95	0	0	3.4970E-04	3.7630E-04
1.00	0	0	3.2940E-04	2.8298E-04
1.05	0	0	2.4950E-04	1.6371E-04
1.10	0	0	1.2250E-04	1.8537E-05
1.15	0	0	4.8050E-04	-1.5279E-04
1.20	0	0	-2.2150E-04	-3.5097E-04
1.25	0	0	-4.5230E-04	-5.7733E-04
1.30	0	0	-7.3420E-04	-8.3399E-04
1.35	0	0	-1.1170E-03	-1.1241E-03
1.40	0	0	-1.3870E-03	-1.4518E-03
1.45	0	0	-1.9940E-03	-1.8230E-03
1.50	0	0	-2.4170E-03	-2.2445E-03
1.55	0	0	-2.9370E-03	-2.7254E-03
1.60	0	0	-3.5790E-03	-3.2764E-03
1.65	0	0	-3.9650E-03	-3.9101E-03
1.70	0	0	-5.1550E-03	-4.6417E-03
1.75	0	0	-5.5240E-03	-5.4886E-03
1.80	0	0	-6.5820E-03	-6.4707E-03
1.85	0	0	-7.9290E-03	-7.6109E-03
1.90	0	0	-8.7320E-03	-8.9350E-03
1.95	0	0	-1.0310E-02	-1.0472E-02
2.00	0	0	-1.1280E-02	-1.2253E-02
2.05	0	0	-1.4160E-02	-1.4315E-02
2.10	0	0	-1.7700E-02	-1.6698E-02
0.10	2.5	2.53	7.2580E-07	-9.9977E-06
0.15	2.5	2.53	2.4190E-06	-2.3215E-05
0.20	2.5	2.53	5.6440E-06	-1.7108E-05
0.25	2.5	2.53	1.0820E-05	2.0988E-06
0.30	2.5	2.53	1.8330E-05	2.9097E-05
0.35	2.5	2.53	2.8470E-05	5.9393E-05
0.40	2.5	2.53	4.1530E-05	8.9223E-05
0.45	2.5	2.53	5.7700E-05	1.1545E-04
0.50	2.5	2.53	7.6910E-05	1.3549E-04
0.55	2.5	2.53	9.8660E-05	1.4719E-04
0.60	2.5	2.53	1.2140E-04	1.4876E-04
0.65	2.5	2.53	1.4220E-04	1.3867E-04
0.70	2.5	2.53	1.5610E-04	1.1556E-04
0.75	2.5	2.53	1.5990E-04	7.8153E-05
0.80	2.5	2.53	1.3700E-04	2.5134E-05
0.85	2.5	2.53	9.0610E-05	-4.4905E-05
0.90	2.5	2.53	-2.9660E-06	-1.3358E-04
0.95	2.5	2.53	-1.1280E-04	-2.4280E-04
1.00	2.5	2.53	-2.6730E-04	-3.7487E-04
1.05	2.5	2.53	-4.3290E-04	-5.3256E-04
1.10	2.5	2.53	-6.5850E-04	-7.1924E-04
1.15	2.5	2.53	-8.2270E-04	-9.3893E-04
1.20	2.5	2.53	-1.0860E-03	-1.1964E-03
1.25	2.5	2.53	-1.5100E-03	-1.4973E-03
1.30	2.5	2.53	-1.7150E-03	-1.8482E-03
1.35	2.5	2.53	-2.3870E-03	-2.2568E-03
1.40	2.5	2.53	-2.9300E-03	-2.7317E-03
1.45	2.5	2.53	-3.4580E-03	-3.2830E-03
1.50	2.5	2.53	-4.1110E-03	-3.9220E-03
1.55	2.5	2.53	-4.7130E-03	-4.6613E-03
1.60	2.5	2.53	-5.5080E-03	-5.5152E-03
1.65	2.5	2.53	-6.6250E-03	-6.4995E-03
1.70	2.5	2.53	-7.6510E-03	-7.6317E-03
1.75	2.5	2.53	-7.7390E-03	-8.9310E-03
1.80	2.5	2.53	-9.4900E-03	-1.0419E-02
1.85	2.5	2.53	-1.1500E-02	-1.2118E-02
1.90	2.5	2.53	-1.4400E-02	-1.4053E-02
1.95	2.5	2.53	-1.6590E-02	-1.6253E-02
2.00	2.5	2.53	-1.8970E-02	-1.8746E-02
2.05	2.5	2.53	-2.1860E-02	-2.1565E-02
2.10	2.5	2.53	-2.3440E-02	-2.4743E-02
0.10	5	5.07	5.0250E-07	4.7661E-05
0.15	5	5.07	1.6330E-06	-1.5014E-05
0.20	5	5.07	3.9520E-06	-3.9872E-05
0.25	5	5.07	7.6320E-06	-3.7353E-05
0.30	5	5.07	1.3030E-05	-1.6475E-05
0.35	5	5.07	2.0410E-05	1.5039E-05
0.40	5	5.07	3.0020E-05	5.0624E-05
0.45	5	5.07	4.2010E-05	8.4741E-05
0.50	5	5.07	5.6230E-05	1.1275E-04
