temp	rho	Del/kB Fake
1.0499	0.1451	8.2926
1.0601	0.1451	8.2925
1.0700	0.1451	8.2924
1.0799	0.1451	8.2924
1.0901	0.1451	8.2923
1.1000	0.1451	8.2923
1.1100	0.1451	8.2922
1.1202	0.1451	8.2921
1.1301	0.1451	8.2921
1.1400	0.1451	8.2920
1.1502	0.1451	8.2919
1.1601	0.1451	8.2918
1.1700	0.1451	8.2917
1.1799	0.1451	8.2916
1.1901	0.1451	8.2915
1.2000	0.1451	8.2914
1.2099	0.1451	8.2913
1.2202	0.1451	8.2912
1.2301	0.1451	8.2911
1.2400	0.1451	8.2910
1.2502	0.1451	8.2909
1.2601	0.1451	8.2907
1.2700	0.1451	8.2906
1.2802	0.1451	8.2904
1.2901	0.1451	8.2902
1.3000	0.1451	8.2900
1.3099	0.1451	8.2898
1.3201	0.1451	8.2895
1.3300	0.1451	8.2892
1.3399	0.1451	8.2889
1.3502	0.1451	8.2885
1.3601	0.1451	8.2881
1.3700	0.1451	8.2876
1.3802	0.1451	8.2870
1.3901	0.1451	8.2864
1.4000	0.1451	8.2857
1.4102	0.1451	8.2849
1.4201	0.1451	8.2840
1.4300	0.1451	8.2830
1.4399	0.1451	8.2818
1.4501	0.1451	8.2804
1.4600	0.1451	8.2790
1.4699	0.1452	8.2773
1.4801	0.1452	8.2753
1.4900	0.1452	8.2732
1.4999	0.1452	8.2708
1.5102	0.1452	8.2680
1.5201	0.1452	8.2650
1.5300	0.1452	8.2617
1.5402	0.1452	8.2578
1.5501	0.1452	8.2537
1.5600	0.1452	8.2490
1.5702	0.1452	8.2438
1.5801	0.1452	8.2381
1.5900	0.1452	8.2318
1.5999	0.1452	8.2249
1.6101	0.1452	8.2170
1.6200	0.1452	8.2086
1.6299	0.1452	8.1993
1.6401	0.1452	8.1889
1.6500	0.1452	8.1778
1.6599	0.1452	8.1656
1.6701	0.1452	8.1519
1.6800	0.1453	8.1374
1.6899	0.1453	8.1216
1.7001	0.1453	8.1038
1.7100	0.1453	8.0851
1.7199	0.1453	8.0648
1.7301	0.1453	8.0421
1.7400	0.1453	8.0182
1.7499	0.1453	7.9923
1.7601	0.1453	7.9636
1.7700	0.1453	7.9334
1.7802	0.1453	7.8999
1.7901	0.1453	7.8648
1.7999	0.1454	7.8274
1.8101	0.1454	7.7856
1.8200	0.1454	7.7420
1.8302	0.1454	7.6938
1.8401	0.1454	7.6436
1.8499	0.1454	7.5904
1.8601	0.1454	7.5312
1.8700	0.1454	7.4697
1.8802	0.1454	7.4019
1.8900	0.1455	7.3325
1.9002	0.1455	7.2553
1.9101	0.1455	7.1755
1.9199	0.1455	7.0914
1.9301	0.1455	6.9983
1.9399	0.1455	6.9031
1.9501	0.1455	6.7979
1.9599	0.1456	6.6905
1.9701	0.1456	6.5719
1.9799	0.1456	6.4511
1.9901	0.1456	6.3178
1.9999	0.1456	6.1823
2.0100	0.1456	6.0344
2.0202	0.1457	5.8764
2.0300	0.1457	5.7159
2.0401	0.1457	5.5412
2.0499	0.1457	5.3624
2.0600	0.1457	5.1680
2.0701	0.1458	4.9629
2.0799	0.1458	4.7532
2.0900	0.1458	4.5256
2.1001	0.1458	4.2860
2.1101	0.1458	4.0363
2.1199	0.1459	3.7792
2.1300	0.1459	3.5007
2.1400	0.1459	3.2110
2.1500	0.1459	2.9068
2.1601	0.1459	2.5844
2.1701	0.1460	2.2495
2.1801	0.1460	1.8983
2.1901	0.1460	1.5304
2.2001	0.1461	1.1450
2.2004	0.1461	1.1332
