#filename: BrooksDonnelly_HeRhoVsTP.dat
#from HeliumDensities.odt Sheet 4
#Density (kg m^-3)
#T (K)	0	2.5	5	7.5	10	12.5	15	17.5	20	22.5	25
#	atm	atm	atm	atm	atm	atm	atm	atm	atm	atm	atm
0.10	145.13	149.25	152.84	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.15	145.13	149.25	152.84	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.20	145.13	149.25	152.84	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.25	145.13	149.25	152.84	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.30	145.13	149.25	152.84	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.35	145.13	149.25	152.84	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.40	145.13	149.25	152.84	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.45	145.13	149.25	152.83	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.50	145.13	149.25	152.83	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.55	145.13	149.25	152.83	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.60	145.13	149.25	152.83	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.65	145.12	149.25	152.83	156.03	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.70	145.12	149.25	152.83	156.02	158.92	161.57	164.03	166.33	168.49	170.53	172.46
0.75	145.12	149.25	152.83	156.02	158.92	161.57	164.03	166.33	168.49	170.53	172.47
0.80	145.12	149.24	152.83	156.02	158.92	161.57	164.03	166.33	168.49	170.53	172.47
0.85	145.12	149.24	152.83	156.03	158.92	161.57	164.03	166.33	168.49	170.54	172.47
0.90	145.11	149.24	152.83	156.03	158.92	161.58	164.04	166.34	168.50	170.54	172.48
0.95	145.11	149.24	152.83	156.03	158.93	161.58	164.04	166.34	168.51	170.55	172.49
1.00	145.11	149.25	152.84	156.04	158.93	161.59	164.05	166.35	168.52	170.56	172.51
1.05	145.11	149.25	152.84	156.04	158.94	161.60	164.06	166.36	168.53	170.58	172.52
1.10	145.10	149.25	152.85	156.05	158.95	161.61	164.08	166.38	168.55	170.60	172.55
1.15	145.10	149.26	152.86	156.07	158.97	161.63	164.10	166.40	168.58	170.63	172.58
1.20	145.11	149.26	152.87	156.08	158.99	161.65	164.12	166.43	168.61	170.66	172.62
1.25	145.11	149.27	152.89	156.10	159.01	161.68	164.15	166.47	168.65	170.71	172.67
1.30	145.11	149.29	152.91	156.12	159.04	161.71	164.19	166.51	168.70	170.77	172.73
1.35	145.12	149.30	152.93	156.15	159.07	161.75	164.23	166.56	168.76	170.83	172.82
1.40	145.13	149.32	152.96	156.19	159.11	161.80	164.29	166.63	168.83	170.92	172.91
1.45	145.14	149.34	152.99	156.23	159.16	161.85	164.36	166.70	168.92	171.02	173.03
1.50	145.16	149.37	153.03	156.28	159.22	161.92	164.44	166.80	169.03	171.14	173.17
1.55	145.18	149.41	153.08	156.34	159.29	162.01	164.53	166.91	169.16	171.29	173.35
1.60	145.20	149.44	153.13	156.41	159.38	162.11	164.65	167.04	169.31	171.46	173.56
1.65	145.23	149.49	153.19	156.49	159.48	162.23	164.78	167.19	169.49	171.68	173.82
1.70	145.26	149.54	153.27	156.59	159.60	162.37	164.95	167.38	169.71	171.93	174.13
1.75	145.30	149.60	153.35	156.70	159.74	162.54	165.14	167.60	169.97	172.25	174.57
1.80	145.35	149.67	153.45	156.84	159.91	162.74	165.36	167.86	170.28	172.63	175.12
1.85	145.40	149.75	153.57	156.99	160.11	162.97	165.64	168.18	170.70	173.17	*
1.90	145.46	149.84	153.70	157.17	160.32	163.23	165.96	168.60	*	*	*
1.95	145.53	149.96	153.87	157.38	160.59	163.57	166.41	*	*	*	*
2.00	145.61	150.09	154.05	157.62	160.91	*	*	*	*	*	*
2.05	145.70	150.24	154.27	*	*	*	*	*	*	*	*
2.10	145.82	150.41	*	*	*	*	*	*	*	*	*
