#filename: fit_BrooksDonnelly_AlphaVsTP_5order_3d.dat
#from RhosAmps.ods Sheet 4
#Alpha (K^-1)		5th Order
#T (K)	P (bar)	Alpha (fit)
0.10	0.000000	2.8572E-04
0.15	0.000000	3.5581E-05
0.20	0.000000	-1.0950E-04
0.25	0.000000	-1.7220E-04
0.30	0.000000	-1.7242E-04
0.35	0.000000	-1.2749E-04
0.40	0.000000	-5.2323E-05
0.45	0.000000	4.0385E-05
0.50	0.000000	1.4000E-04
0.55	0.000000	2.3775E-04
0.60	0.000000	3.2656E-04
0.65	0.000000	4.0086E-04
0.70	0.000000	4.5643E-04
0.75	0.000000	4.9020E-04
0.80	0.000000	5.0007E-04
0.85	0.000000	4.8475E-04
0.90	0.000000	4.4357E-04
0.95	0.000000	3.7630E-04
1.00	0.000000	2.8298E-04
1.05	0.000000	1.6371E-04
1.10	0.000000	1.8537E-05
1.15	0.000000	-1.5279E-04
1.20	0.000000	-3.5097E-04
1.25	0.000000	-5.7733E-04
1.30	0.000000	-8.3399E-04
1.35	0.000000	-1.1241E-03
1.40	0.000000	-1.4518E-03
1.45	0.000000	-1.8230E-03
1.50	0.000000	-2.2445E-03
1.55	0.000000	-2.7254E-03
1.60	0.000000	-3.2764E-03
1.65	0.000000	-3.9101E-03
1.70	0.000000	-4.6417E-03
1.75	0.000000	-5.4886E-03
1.80	0.000000	-6.4707E-03
1.85	0.000000	-7.6109E-03
1.90	0.000000	-8.9350E-03
1.95	0.000000	-1.0472E-02
2.00	0.000000	-1.2253E-02
2.05	0.000000	-1.4315E-02
2.10	0.000000	-1.6698E-02

0.10	2.533125	-9.9977E-06
0.15	2.533125	-2.3215E-05
0.20	2.533125	-1.7108E-05
0.25	2.533125	2.0988E-06
0.30	2.533125	2.9097E-05
0.35	2.533125	5.9393E-05
0.40	2.533125	8.9223E-05
0.45	2.533125	1.1545E-04
0.50	2.533125	1.3549E-04
0.55	2.533125	1.4719E-04
0.60	2.533125	1.4876E-04
0.65	2.533125	1.3867E-04
0.70	2.533125	1.1556E-04
0.75	2.533125	7.8153E-05
0.80	2.533125	2.5134E-05
0.85	2.533125	-4.4905E-05
0.90	2.533125	-1.3358E-04
0.95	2.533125	-2.4280E-04
1.00	2.533125	-3.7487E-04
1.05	2.533125	-5.3256E-04
1.10	2.533125	-7.1924E-04
1.15	2.533125	-9.3893E-04
1.20	2.533125	-1.1964E-03
1.25	2.533125	-1.4973E-03
1.30	2.533125	-1.8482E-03
1.35	2.533125	-2.2568E-03
1.40	2.533125	-2.7317E-03
1.45	2.533125	-3.2830E-03
1.50	2.533125	-3.9220E-03
1.55	2.533125	-4.6613E-03
1.60	2.533125	-5.5152E-03
1.65	2.533125	-6.4995E-03
1.70	2.533125	-7.6317E-03
1.75	2.533125	-8.9310E-03
1.80	2.533125	-1.0419E-02
1.85	2.533125	-1.2118E-02
1.90	2.533125	-1.4053E-02
1.95	2.533125	-1.6253E-02
2.00	2.533125	-1.8746E-02
2.05	2.533125	-2.1565E-02
2.10	2.533125	-2.4743E-02

0.10	5.066250	4.7661E-05
0.15	5.066250	-1.5014E-05
0.20	5.066250	-3.9872E-05
0.25	5.066250	-3.7353E-05
0.30	5.066250	-1.6475E-05
0.35	5.066250	1.5039E-05
0.40	5.066250	5.0624E-05
0.45	5.066250	8.4741E-05
0.50	5.066250	1.1275E-04
0.55	5.066250	1.3076E-04
0.60	5.066250	1.3551E-04
0.65	5.066250	1.2426E-04
0.70	5.066250	9.4602E-05
0.75	5.066250	4.4368E-05
0.80	5.066250	-2.8511E-05
0.85	5.066250	-1.2614E-04
0.90	5.066250	-2.5079E-04
0.95	5.066250	-4.0505E-04
1.00	5.066250	-5.9191E-04
1.05	5.066250	-8.1496E-04
1.10	5.066250	-1.0785E-03
1.15	5.066250	-1.3875E-03
1.20	5.066250	-1.7483E-03
1.25	5.066250	-2.1678E-03
1.30	5.066250	-2.6545E-03
1.35	5.066250	-3.2183E-03
1.40	5.066250	-3.8702E-03
1.45	5.066250	-4.6233E-03
1.50	5.066250	-5.4922E-03
1.55	5.066250	-6.4934E-03
1.60	5.066250	-7.6456E-03
1.65	5.066250	-8.9693E-03
1.70	5.066250	-1.0488E-02
1.75	5.066250	-1.2226E-02
1.80	5.066250	-1.4213E-02
1.85	5.066250	-1.6479E-02
1.90	5.066250	-1.9056E-02
1.95	5.066250	-2.1983E-02
2.00	5.066250	-2.5298E-02
2.05	5.066250	-2.9045E-02

0.10	7.599375	2.2898E-04
0.15	7.599375	3.6191E-06
0.20	7.599375	-1.1625E-04
0.25	7.599375	-1.5762E-04
0.30	7.599375	-1.4371E-04
0.35	7.599375	-9.4280E-05
0.40	7.599375	-2.5922E-05
0.45	7.599375	4.7646E-05
0.50	7.599375	1.1527E-04
0.55	7.599375	1.6809E-04
0.60	7.599375	1.9918E-04
0.65	7.599375	2.0332E-04
0.70	7.599375	1.7666E-04
0.75	7.599375	1.1643E-04
0.80	7.599375	2.0638E-05
0.85	7.599375	-1.1224E-04
0.90	7.599375	-2.8352E-04
0.95	7.599375	-4.9466E-04
1.00	7.599375	-7.4752E-04
1.05	7.599375	-1.0447E-03
1.10	7.599375	-1.3897E-03
1.15	7.599375	-1.7875E-03
1.20	7.599375	-2.2445E-03
1.25	7.599375	-2.7693E-03
1.30	7.599375	-3.3723E-03
1.35	7.599375	-4.0668E-03
1.40	7.599375	-4.8686E-03
1.45	7.599375	-5.7968E-03
1.50	7.599375	-6.8738E-03
1.55	7.599375	-8.1258E-03
1.60	7.599375	-9.5827E-03
1.65	7.599375	-1.1279E-02
1.70	7.599375	-1.3254E-02
1.75	7.599375	-1.5551E-02
1.80	7.599375	-1.8220E-02
1.85	7.599375	-2.1315E-02
1.90	7.599375	-2.4896E-02
1.95	7.599375	-2.9030E-02
2.00	7.599375	-3.3790E-02

0.10	10.132500	4.1526E-04
0.15	10.132500	8.3144E-06
0.20	10.132500	-2.0959E-04
0.25	10.132500	-2.8802E-04
0.30	10.132500	-2.6927E-04
0.35	10.132500	-1.8896E-04
0.40	10.132500	-7.6540E-05
0.45	10.132500	4.4113E-05
0.50	10.132500	1.5416E-04
0.55	10.132500	2.3922E-04
0.60	10.132500	2.8883E-04
0.65	10.132500	2.9591E-04
0.70	10.132500	2.5613E-04
0.75	10.132500	1.6745E-04
0.80	10.132500	2.9480E-05
0.85	10.132500	-1.5703E-04
0.90	10.132500	-3.9076E-04
0.95	10.132500	-6.7039E-04
1.00	10.132500	-9.9512E-04
1.05	10.132500	-1.3653E-03
