# Filename: 3Dvlt_macro_Tv_Op12_Cc0.85_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.85, K0c=0.349663469882678, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0
1	1e-08	10	0.399223	0.0579284	0	1.14174	5.18347e-05	5.07251e-28
1	1.25893e-08	10	0.402276	0.0568217	0	1.15047	5.22311e-05	4.9756e-28
1	1.58489e-08	10	0.406131	0.05546	0	1.16149	5.27317e-05	4.85636e-28
1	1.99526e-08	10	0.411002	0.0537946	0	1.17542	5.3364e-05	4.71053e-28
1	2.51189e-08	10	0.41716	0.0517728	0	1.19303	5.41637e-05	4.53349e-28
1	3.16228e-08	10	0.424955	0.0493415	0	1.21533	5.51757e-05	4.32059e-28
1	3.98107e-08	10	0.43483	0.0464517	0	1.24357	5.64579e-05	4.06755e-28
1	5.01187e-08	10	0.447356	0.0430675	0	1.27939	5.80842e-05	3.77121e-28
1	6.30957e-08	10	0.463263	0.0391768	0	1.32488	6.01496e-05	3.43052e-28
1	7.94328e-08	10	0.483486	0.0348061	0	1.38272	6.27753e-05	3.0478e-28
1	1e-07	10	0.509217	0.0300354	0	1.45631	6.61162e-05	2.63005e-28
1	1.25893e-07	10	0.541965	0.0250103	0	1.54996	7.03681e-05	2.19003e-28
1	1.58489e-07	10	0.583612	0.0199445	0	1.66907	7.57755e-05	1.74644e-28
1	1.99526e-07	10	0.636457	0.0151028	0	1.8202	8.26369e-05	1.32248e-28
1	2.51189e-07	10	0.703224	0.0107623	0	2.01114	9.13058e-05	9.424e-29
1	3.16228e-07	10	0.787004	0.00715338	0	2.25075	0.000102184	6.26386e-29
1	3.98107e-07	10	0.89115	0.00440098	0	2.54859	0.000115706	3.85372e-29
0.999999	5.01187e-07	10	1.01913	0.00249058	0	2.9146	0.000132323	2.18088e-29
0.999999	6.30957e-07	10	1.17489	0.00118506	0	3.36006	0.000152546	1.0377e-29
0.999999	7.94328e-07	10	1.36304	0.000433933	0	3.89813	0.000176975	3.79974e-30
0.999999	1e-06	10	1.58737	0.000116031	0	4.53972	0.000206103	1.01603e-30
0.999999	1.25893e-06	10	1.85173	2.13785e-05	0	5.29575	0.000240427	1.87201e-31
0.999998	1.58489e-06	10	2.16121	2.54391e-06	0	6.18083	0.000280609	2.22758e-32
0.999998	1.99526e-06	10	2.52267	1.81577e-07	0	7.21456	0.00032754	1.58998e-33
0.999997	2.51189e-06	10	2.94462	7.13607e-09	0	8.42128	0.000382325	6.2487e-35
0.999997	3.16228e-06	10	3.43715	1.39747e-10	0	9.82985	0.000446274	1.22369e-36
0.999996	3.98107e-06	10	4.01206	1.21369e-12	0	11.474	0.00052092	1.06277e-38
0.999995	5.01187e-06	10	4.68313	4.08028e-15	0	13.3932	0.00060805	3.57291e-41
0.999994	6.30957e-06	10	5.46645	4.53052e-18	0	15.6334	0.000709754	3.96715e-44
0.999992	7.94328e-06	10	6.3808	1.38039e-21	0	18.2482	0.000828469	1.20874e-47
0.99999	1e-05	10	7.44808	9.29634e-26	0	21.3005	0.000967041	8.14035e-52
0.999987	1.25893e-05	10	8.69388	1.07504e-30	0	24.8633	0.00112879	9.41363e-57
0.999984	1.58489e-05	10	10.1481	1.58981e-36	0	29.0219	0.00131759	1.39212e-62
0.99998	1.99526e-05	10	11.8455	2.13138e-43	0	33.8762	0.00153798	1.86635e-69
0.999975	2.51189e-05	10	13.8268	1.73367e-51	0	39.5423	0.00179522	1.51809e-77
0.999968	3.16228e-05	10	16.1396	5.35391e-61	0	46.1562	0.00209549	4.68816e-87
0.99996	3.98107e-05	10	18.8393	3.63185e-72	0	53.8762	0.00244598	3.18024e-98
0.99995	5.01187e-05	10	21.9905	2.85704e-85	0	62.8874	0.00285508	2.50177e-111
0.999937	6.30957e-05	10	25.6689	1.23649e-100	0	73.4058	0.00333262	1.08273e-126
0.999921	7.94328e-05	10	29.9627	1.23281e-118	0	85.6832	0.00389001	1.07951e-144
0.9999	0.0001	10	34.9747	1.02491e-139	0	100.014	0.00454063	8.97468e-166
0.999874	0.000125893	10	40.8253	2.16932e-164	0	116.741	0.00530005	1.89957e-190
0.999842	0.000158489	10	47.6547	2.92588e-193	0	136.266	0.00618646	2.56205e-219
0.9998	0.000199526	10	55.6269	4.99047e-227	0	159.055	0.0072211	4.36991e-253
0.999749	0.000251189	10	64.9331	1.62894e-266	0	185.655	0.00842873	1.42638e-292
0.999684	0.000316228	10	75.7968	1.1218e-312	0	216.702	0.00983826	0
0.999602	0.000398107	10	88.4788	3.31024e-322	0	252.939	0.0114834	0
0.999499	0.000501187	10	103.284	2.81617e-322	0	295.233	0.0134036	0
0.999369	0.000630957	10	120.568	2.42092e-322	0	344.595	0.0156446	0
0.999206	0.000794328	10	140.748	2.07508e-322	0	402.204	0.01826	0
0.999	0.001	10	164.308	1.77864e-322	0	469.435	0.0213123	0
0.998741	0.00125893	10	191.819	1.5316e-322	0	547.89	0.0248742	0
0.998415	0.00158489	10	223.943	1.28457e-322	0	639.439	0.0290305	0
0.998005	0.00199526	10	261.46	1.08694e-322	0	746.257	0.03388	0
0.997488	0.00251189	10	305.28	9.38725e-323	0	870.876	0.0395377	0
0.996838	0.00316228	10	356.471	7.90505e-323	0	1016.24	0.0461374	0
0.996019	0.00398107	10	416.284	6.91692e-323	0	1185.79	0.0538346	0
0.994988	0.00501187	10	486.189	5.92879e-323	0	1383.48	0.0628099	0
0.99369	0.00630957	10	567.917	4.94066e-323	0	1613.93	0.0732725	0
0.992057	0.00794328	10	663.506	4.44659e-323	0	1882.48	0.0854646	0
