# Filename: 3Dvlt_macro_Tv_Op12_Cc0.20_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.2, K0c=0.934654978121805, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0
1	1e-08	10	0.401894	0.0569588	0	0.429992	1.95216e-05	4.9876e-28
1	1.25893e-08	10	0.405649	0.0556283	0	0.434009	1.9704e-05	4.8711e-28
1	1.58489e-08	10	0.410392	0.0539998	0	0.439084	1.99344e-05	4.7285e-28
1	1.99526e-08	10	0.416389	0.0520211	0	0.4455	2.02257e-05	4.55523e-28
1	2.51189e-08	10	0.423978	0.0496386	0	0.45362	2.05943e-05	4.34661e-28
1	3.16228e-08	10	0.433592	0.0468029	0	0.463906	2.10613e-05	4.0983e-28
1	3.98107e-08	10	0.445785	0.0434757	0	0.476951	2.16535e-05	3.80696e-28
1	5.01187e-08	10	0.461267	0.0396419	0	0.493515	2.24056e-05	3.47124e-28
1	6.30957e-08	10	0.480947	0.0353226	0	0.514571	2.33615e-05	3.09302e-28
1	7.94328e-08	10	0.505986	0.0305911	0	0.541361	2.45777e-05	2.67871e-28
1	1e-07	10	0.537853	0.0255853	0	0.575456	2.61257e-05	2.24038e-28
1	1.25893e-07	10	0.578386	0.0205115	0	0.618823	2.80945e-05	1.79609e-28
1	1.58489e-07	10	0.629836	0.0156303	0	0.67387	3.05937e-05	1.36867e-28
1	1.99526e-07	10	0.694879	0.0112201	0	0.74346	3.3753e-05	9.82488e-29
1	2.51189e-07	10	0.776571	0.00751978	0	0.830863	3.77211e-05	6.5847e-29
1	3.16228e-07	10	0.87824	0.0046685	0	0.93964	4.26596e-05	4.08798e-29
1	3.98107e-07	10	1.00335	0.00267018	0	1.07349	4.87366e-05	2.33814e-29
0.999999	5.01187e-07	10	1.15573	0.00130477	0	1.23653	5.61382e-05	1.14252e-29
0.999999	6.30957e-07	10	1.34001	0.000493374	0	1.43369	6.50894e-05	4.32023e-30
0.999999	7.94328e-07	10	1.56007	0.000137085	0	1.66914	7.57789e-05	1.20038e-30
0.999999	1e-06	10	1.81968	2.64263e-05	0	1.9469	8.83891e-05	2.31402e-31
0.999999	1.25893e-06	10	2.12375	3.31559e-06	0	2.27222	0.000103159	2.9033e-32
0.999998	1.58489e-06	10	2.47893	2.51759e-07	0	2.65223	0.000120411	2.20453e-33
0.999998	1.99526e-06	10	2.89356	1.06352e-08	0	3.09585	0.000140551	9.31271e-35
0.999997	2.51189e-06	10	3.37755	2.26587e-10	0	3.61367	0.000164061	1.98411e-36
0.999997	3.16228e-06	10	3.94249	2.17134e-12	0	4.21811	0.000191502	1.90134e-38
0.999996	3.98107e-06	10	4.60193	8.18815e-15	0	4.92364	0.000223533	7.16996e-41
0.999995	5.01187e-06	10	5.37167	1.03958e-17	0	5.74719	0.000260922	9.10307e-44
0.999994	6.30957e-06	10	6.27016	3.70388e-21	0	6.70848	0.000304565	3.24331e-47
0.999992	7.94328e-06	10	7.31894	2.99416e-25	0	7.83057	0.000355507	2.62184e-51
0.99999	1e-05	10	8.54315	4.28501e-30	0	9.14034	0.000414971	3.75218e-56
0.999987	1.25893e-05	10	9.97213	8.12656e-36	0	10.6692	0.00048438	7.11603e-62
0.999984	1.58489e-05	10	11.6401	1.4565e-42	0	12.4537	0.000565399	1.27539e-68
0.99998	1.99526e-05	10	13.5872	1.66252e-50	0	14.5368	0.00065997	1.45579e-76
0.999975	2.51189e-05	10	15.8599	7.62436e-60	0	16.9683	0.000770359	6.67628e-86
0.999968	3.16228e-05	10	18.5128	8.20464e-71	0	19.8065	0.000899212	7.1844e-97
0.99996	3.98107e-05	10	21.6095	1.10583e-83	0	23.1194	0.00104962	9.68318e-110
0.99995	5.01187e-05	10	25.2242	8.97003e-99	0	26.9864	0.00122518	7.85462e-125
0.999937	6.30957e-05	10	29.4437	1.86121e-116	0	31.5002	0.00143011	1.62977e-142
0.999921	7.94328e-05	10	34.3692	3.63804e-137	0	36.7691	0.00166931	3.18565e-163
0.9999	0.0001	10	40.1187	2.08693e-161	0	42.9193	0.00194853	1.82742e-187
0.999874	0.000125893	10	46.8304	9.00151e-190	0	50.0981	0.00227445	7.88218e-216
0.999842	0.000158489	10	54.6652	5.95259e-223	0	58.4778	0.00265489	5.21239e-249
0.9998	0.000199526	10	63.8115	9.42327e-262	0	68.2591	0.00309896	8.2515e-288
0.999749	0.000251189	10	74.4888	4.0819e-307	0	79.6766	0.00361731	0
0.999684	0.000316228	10	86.954	3.35965e-322	0	93.0038	0.00422237	0
0.999602	0.000398107	10	101.507	2.86558e-322	0	108.56	0.00492864	0
0.999499	0.000501187	10	118.498	2.47033e-322	0	126.719	0.00575305	0
0.999369	0.000630957	10	138.337	2.12448e-322	0	147.916	0.00671537	0
0.999206	0.000794328	10	161.504	1.77864e-322	0	172.658	0.00783867	0
0.999	0.001	10	188.559	1.5316e-322	0	201.54	0.0091499	0
0.998741	0.00125893	10	220.158	1.33398e-322	0	235.254	0.0106805	0
0.998415	0.00158489	10	257.072	1.13635e-322	0	274.608	0.0124672	0
0.998005	0.00199526	10	300.201	9.38725e-323	0	320.549	0.0145529	0
0.997488	0.00251189	10	350.608	8.39912e-323	0	374.178	0.0169876	0
0.996838	0.00316228	10	409.538	6.91692e-323	0	436.784	0.01983	0
0.996019	0.00398107	10	478.461	5.92879e-323	0	509.874	0.0231482	0
0.994988	0.00501187	10	559.114	4.94066e-323	0	595.206	0.0270223	0
0.99369	0.00630957	10	653.559	4.44659e-323	0	694.84	0.0315457	0
0.992057	0.00794328	10	764.248	3.45846e-323	0	811.184	0.0368277	0
