# Filename: 3Dvlt_macro_Tv_Op12_Cc0.80_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.8, K0c=0.36362286558404, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0
1	1e-08	10	0.399414	0.0578586	0	1.09843	4.98686e-05	5.0664e-28
1	1.25893e-08	10	0.402517	0.0567356	0	1.10696	5.0256e-05	4.96806e-28
1	1.58489e-08	10	0.406435	0.0553543	0	1.11774	5.07452e-05	4.84711e-28
1	1.99526e-08	10	0.411386	0.0536658	0	1.13135	5.13633e-05	4.69925e-28
1	2.51189e-08	10	0.417646	0.0516173	0	1.14857	5.2145e-05	4.51987e-28
1	3.16228e-08	10	0.42557	0.0491555	0	1.17036	5.31343e-05	4.3043e-28
1	3.98107e-08	10	0.43561	0.0462322	0	1.19797	5.43878e-05	4.04833e-28
1	5.01187e-08	10	0.448345	0.0428127	0	1.233	5.59779e-05	3.7489e-28
1	6.30957e-08	10	0.46452	0.0388872	0	1.27748	5.79974e-05	3.40516e-28
1	7.94328e-08	10	0.485085	0.0344853	0	1.33403	6.0565e-05	3.01971e-28
1	1e-07	10	0.511252	0.0296913	0	1.406	6.38321e-05	2.59992e-28
1	1.25893e-07	10	0.544554	0.0246558	0	1.49758	6.799e-05	2.15899e-28
1	1.58489e-07	10	0.586902	0.0195965	0	1.61404	7.32774e-05	1.71597e-28
1	1.99526e-07	10	0.640625	0.014781	0	1.76178	7.99849e-05	1.2943e-28
1	2.51189e-07	10	0.708473	0.0104849	0	1.94837	8.8456e-05	9.18112e-29
1	3.16228e-07	10	0.793563	0.00693314	0	2.18238	9.90798e-05	6.07102e-29
1	3.98107e-07	10	0.899256	0.00424161	0	2.47304	0.000112276	3.71417e-29
0.999999	5.01187e-07	10	1.02903	0.00238273	0	2.82993	0.000128479	2.08644e-29
0.999999	6.30957e-07	10	1.1869	0.00111499	0	3.2641	0.00014819	9.76341e-30
0.999999	7.94328e-07	10	1.37746	0.000400132	0	3.78814	0.000171981	3.50376e-30
0.999999	1e-06	10	1.60445	0.000104455	0	4.4124	0.000200323	9.14663e-31
0.999999	1.25893e-06	10	1.87177	1.8709e-05	0	5.14755	0.000233699	1.63826e-31
0.999998	1.58489e-06	10	2.18463	2.15377e-06	0	6.00795	0.00027276	1.88595e-32
0.999998	1.99526e-06	10	2.55001	1.479e-07	0	7.01277	0.000318379	1.29508e-33
0.999997	2.51189e-06	10	2.97653	5.55604e-09	0	8.18575	0.000371632	4.86515e-35
0.999997	3.16228e-06	10	3.4744	1.03221e-10	0	9.55492	0.000433793	9.03858e-37
0.999996	3.98107e-06	10	4.05554	8.43003e-13	0	11.1531	0.00050635	7.38176e-39
0.999995	5.01187e-06	10	4.73389	2.63779e-15	0	13.0186	0.000591044	2.30978e-41
0.999994	6.30957e-06	10	5.52569	2.69346e-18	0	15.1961	0.000689903	2.35853e-44
0.999992	7.94328e-06	10	6.44995	7.44201e-22	0	17.7379	0.000805298	6.5166e-48
0.99999	1e-05	10	7.5288	4.47118e-26	0	20.7047	0.000939994	3.91519e-52
0.999987	1.25893e-05	10	8.7881	4.52546e-31	0	24.1679	0.00109722	3.96273e-57
0.999984	1.58489e-05	10	10.258	5.72833e-37	0	28.2102	0.00128074	5.01602e-63
0.99998	1.99526e-05	10	11.9739	6.40453e-44	0	32.9287	0.00149496	5.60814e-70
0.999975	2.51189e-05	10	13.9767	4.21446e-52	0	38.4364	0.00174501	3.6904e-78
0.999968	3.16228e-05	10	16.3146	1.01624e-61	0	44.8653	0.00203688	8.89873e-88
0.99996	3.98107e-05	10	19.0435	5.16443e-73	0	52.3694	0.00237757	4.52224e-99
0.99995	5.01187e-05	10	22.2289	2.89993e-86	0	61.1286	0.00277524	2.53933e-112
