# Filename: 3Dvlt_macro_Tv_Op12_Cc0.65_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.65, K0c=0.41625279991889, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0
1	1e-08	10	0.400026	0.0576349	0	0.961017	4.36301e-05	5.04681e-28
1	1.25893e-08	10	0.40329	0.0564599	0	0.968858	4.39861e-05	4.94391e-28
1	1.58489e-08	10	0.407411	0.0550164	0	0.97876	4.44356e-05	4.81752e-28
1	1.99526e-08	10	0.41262	0.0532544	0	0.991272	4.50037e-05	4.66323e-28
1	2.51189e-08	10	0.419208	0.0511208	0	1.0071	4.57222e-05	4.4764e-28
1	3.16228e-08	10	0.427547	0.0485628	0	1.02713	4.66318e-05	4.25241e-28
1	3.98107e-08	10	0.438117	0.0455343	0	1.05253	4.77846e-05	3.98722e-28
1	5.01187e-08	10	0.451528	0.0420049	0	1.08475	4.92474e-05	3.67816e-28
1	6.30957e-08	10	0.468565	0.037972	0	1.12568	5.11056e-05	3.32502e-28
1	7.94328e-08	10	0.490231	0.0334759	0	1.17772	5.34686e-05	2.93132e-28
1	1e-07	10	0.517802	0.0286144	0	1.24396	5.64757e-05	2.50562e-28
1	1.25893e-07	10	0.552887	0.0235531	0	1.32825	6.03024e-05	2.06243e-28
1	1.58489e-07	10	0.597487	0.0185229	0	1.43539	6.51668e-05	1.62196e-28
1	1.99526e-07	10	0.654023	0.0137972	0	1.57122	7.13331e-05	1.20816e-28
1	2.51189e-07	10	0.725331	0.00964632	0	1.74253	7.91105e-05	8.44681e-29
1	3.16228e-07	10	0.814593	0.00627566	0	1.95697	8.88461e-05	5.49529e-29
1	3.98107e-07	10	0.925205	0.00377238	0	2.2227	0.00010091	3.30329e-29
0.999999	5.01187e-07	10	1.06068	0.00206225	0	2.54816	0.000115686	1.80581e-29
0.999999	6.30957e-07	10	1.22527	0.000914922	0	2.94357	0.000133638	8.01153e-30
0.999999	7.94328e-07	10	1.42342	0.000307898	0	3.4196	0.000155249	2.69612e-30
0.999999	1e-06	10	1.65879	7.4462e-05	0	3.98505	0.000180921	6.52027e-31
0.999999	1.25893e-06	10	1.93547	1.21897e-05	0	4.64974	0.000211098	1.0674e-31
0.999998	1.58489e-06	10	2.25906	1.26312e-06	0	5.42712	0.000246391	1.10605e-32
0.999998	1.99526e-06	10	2.6369	7.67093e-08	0	6.33483	0.000287601	6.71706e-34
0.999997	2.51189e-06	10	3.07795	2.49662e-09	0	7.39441	0.000335706	2.18617e-35
0.999997	3.16228e-06	10	3.59278	3.92322e-11	0	8.63122	0.000391857	3.43537e-37
0.999996	3.98107e-06	10	4.19373	2.63527e-13	0	10.0749	0.0004574	2.30758e-39
0.999995	5.01187e-06	10	4.89519	6.56391e-16	0	11.7601	0.000533906	5.74769e-42
0.999994	6.30957e-06	10	5.71398	5.13554e-19	0	13.7271	0.000623209	4.49694e-45
0.999992	7.94328e-06	10	6.66972	1.03986e-22	0	16.0231	0.000727449	9.10551e-49
0.99999	1e-05	10	7.78533	4.34641e-27	0	18.7032	0.000849123	3.80594e-53
0.999987	1.25893e-05	10	9.08755	2.8803e-32	0	21.8315	0.00099115	2.52214e-58
0.999984	1.58489e-05	10	10.6076	2.22381e-38	0	25.4831	0.00115693	1.94729e-64
0.99998	1.99526e-05	10	12.3819	1.39615e-45	0	29.7455	0.00135044	1.22254e-71
0.999975	2.51189e-05	10	14.453	4.68413e-54	0	34.7207	0.00157632	4.10166e-80
0.999968	3.16228e-05	10	16.8705	5.14487e-64	0	40.5282	0.00183998	4.50511e-90
0.99996	3.98107e-05	10	19.6924	1.0441e-75	0	47.3069	0.00214773	9.14266e-102
0.99995	5.01187e-05	10	22.9864	2.00784e-89	0	55.2194	0.00250696	1.75817e-115
0.999937	6.30957e-05	10	26.8314	1.67802e-105	0	64.4554	0.00292627	1.46936e-131
0.999921	7.94328e-05	10	31.3197	2.45318e-124	0	75.236	0.00341571	2.14813e-150
0.9999	0.0001	10	36.5588	2.16837e-146	0	87.8197	0.00398701	1.89873e-172
0.999874	0.000125893	10	42.6745	3.35222e-172	0	102.508	0.00465385	2.93538e-198
0.999842	0.000158489	10	49.8135	2.13011e-202	0	119.652	0.00543221	1.86523e-228
0.9998	0.000199526	10	58.1472	1.02561e-237	0	139.664	0.00634074	8.9808e-264
0.999749	0.000251189	10	67.8755	5.19465e-279	0	163.022	0.00740119	4.5487e-305
0.999684	0.000316228	10	79.2321	3.70549e-322	0	190.286	0.00863896	0
0.999602	0.000398107	10	92.4899	3.16202e-322	0	222.108	0.0100837	0
0.999499	0.000501187	10	107.968	2.71736e-322	0	259.25	0.0117699	0
0.999369	0.000630957	10	126.038	2.32211e-322	0	302.601	0.0137381	0
0.999206	0.000794328	10	147.136	1.97626e-322	0	353.197	0.0160351	0
0.999	0.001	10	171.771	1.67982e-322	0	412.247	0.018716	0
0.998741	0.00125893	10	200.538	1.43279e-322	0	481.162	0.0218447	0
0.998415	0.00158489	10	234.133	1.23516e-322	0	561.586	0.0254959	0
0.998005	0.00199526	10	273.372	1.03754e-322	0	655.434	0.0297567	0
0.997488	0.00251189	10	319.211	8.89318e-323	0	764.941	0.0347283	0
0.996838	0.00316228	10	372.77	7.90505e-323	0	892.706	0.0405288	0
0.996019	0.00398107	10	435.368	6.42285e-323	0	1041.76	0.0472957	0
0.994988	0.00501187	10	508.552	5.43472e-323	0	1215.62	0.0551888	0
0.99369	0.00630957	10	594.149	4.94066e-323	0	1418.37	0.0643939	0
0.992057	0.00794328	10	694.318	3.95253e-323	0	1654.77	0.0751265	0
