# Filename: 3Dvlt_macro_Tv_Op12_Cc0.60_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.6, K0c=0.438731007206919, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0
1	1e-08	10	0.400244	0.0575557	0	0.912276	4.14173e-05	5.03987e-28
1	1.25893e-08	10	0.403565	0.0563623	0	0.919845	4.17609e-05	4.93537e-28
1	1.58489e-08	10	0.407758	0.0548969	0	0.929404	4.21949e-05	4.80705e-28
1	1.99526e-08	10	0.413059	0.0531091	0	0.941485	4.27433e-05	4.65051e-28
1	2.51189e-08	10	0.419763	0.0509457	0	0.956765	4.34371e-05	4.46106e-28
1	3.16228e-08	10	0.428251	0.0483541	0	0.976112	4.43154e-05	4.23413e-28
1	3.98107e-08	10	0.439009	0.0452892	0	1.00063	4.54287e-05	3.96575e-28
1	5.01187e-08	10	0.45266	0.0417219	0	1.03175	4.68413e-05	3.65339e-28
1	6.30957e-08	10	0.470004	0.0376526	0	1.07128	4.86361e-05	3.29705e-28
1	7.94328e-08	10	0.492061	0.0331251	0	1.12156	5.09186e-05	2.9006e-28
1	1e-07	10	0.520131	0.0282422	0	1.18554	5.38233e-05	2.47303e-28
1	1.25893e-07	10	0.555851	0.0231745	0	1.26695	5.75196e-05	2.02928e-28
1	1.58489e-07	10	0.601251	0.0181573	0	1.37043	6.22175e-05	1.58994e-28
1	1.99526e-07	10	0.658783	0.0134655	0	1.50156	6.81709e-05	1.17911e-28
1	2.51189e-07	10	0.731314	0.00936674	0	1.66688	7.56765e-05	8.20199e-29
1	3.16228e-07	10	0.822046	0.00605933	0	1.87369	8.50654e-05	5.30585e-29
1	3.98107e-07	10	0.934386	0.00362021	0	2.12975	9.66904e-05	3.17004e-29
0.999999	5.01187e-07	10	1.07186	0.00195763	0	2.4431	0.000110916	1.7142e-29
0.999999	6.30957e-07	10	1.23881	0.000852307	0	2.82363	0.000128192	7.46323e-30
0.999999	7.94328e-07	10	1.43961	0.0002804	0	3.28129	0.000148971	2.45533e-30
0.999999	1e-06	10	1.6779	6.6012e-05	0	3.82443	0.000173629	5.78034e-31
0.999999	1.25893e-06	10	1.95785	1.04701e-05	0	4.46253	0.000202599	9.16819e-32
0.999998	1.58489e-06	10	2.2852	1.04555e-06	0	5.20866	0.000236473	9.15541e-33
0.999998	1.99526e-06	10	2.66742	6.08138e-08	0	6.07984	0.000276024	5.32517e-34
0.999997	2.51189e-06	10	3.11358	1.88201e-09	0	7.09677	0.000322193	1.64799e-35
0.999997	3.16228e-06	10	3.63437	2.78848e-11	0	8.2838	0.000376084	2.44174e-37
0.999996	3.98107e-06	10	4.24227	1.74877e-13	0	9.66938	0.000438989	1.53131e-39
0.999995	5.01187e-06	10	4.95185	4.02035e-16	0	11.2867	0.000512416	3.52042e-42
0.999994	6.30957e-06	10	5.78012	2.86457e-19	0	13.1746	0.000598124	2.50836e-45
0.999992	7.94328e-06	10	6.74693	5.20023e-23	0	15.3782	0.000698168	4.55359e-49
0.99999	1e-05	10	7.87546	1.91348e-27	0	17.9504	0.000814945	1.67554e-53
0.999987	1.25893e-05	10	9.19275	1.09273e-32	0	20.9528	0.000951255	9.56849e-59
0.999984	1.58489e-05	10	10.7304	7.09161e-39	0	24.4574	0.00111036	6.20977e-65
0.99998	1.99526e-05	10	12.5252	3.63522e-46	0	28.5482	0.00129609	3.18318e-72
0.999975	2.51189e-05	10	14.6203	9.62606e-55	0	33.3232	0.00151287	8.42907e-81
0.999968	3.16228e-05	10	17.0658	8.02078e-65	0	38.8969	0.00176592	7.02341e-91
0.99996	3.98107e-05	10	19.9204	1.17904e-76	0	45.4028	0.00206128	1.03243e-102
0.99995	5.01187e-05	10	23.2525	1.55605e-90	0	52.9969	0.00240605	1.36256e-116
0.999937	6.30957e-05	10	27.1421	8.37974e-107	0	61.8611	0.00280849	7.33773e-133
0.999921	7.94328e-05	10	31.6823	7.33409e-126	0	72.2078	0.00327823	6.4221e-152
