# Filename: vlt_FPquench_vsl_T_1_0.1_P_00.050_lmax10_dl0.008_tmax10000_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 2 (2011 Mar 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=82.6834044807995098836, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10034, K0c=0.33873), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=0.0001, a0=1, a06=1, CONST=0.6

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
1	0	3.72	0.387502	1.14399	0.0277233	6.32177e-12
1	0	3.76	0.387503	1.14399	0.0266363	4.97289e-12
1	0	3.8	0.387504	1.14399	0.0255919	3.91182e-12
1	0	3.84	0.387504	1.14399	0.0245885	3.07715e-12
1	0	3.88	0.387504	1.14399	0.0236244	2.42058e-12
1	0	3.92	0.387505	1.14399	0.0226981	1.9041e-12
1	0	3.96	0.387505	1.14399	0.0218081	1.49782e-12
1	0	4	0.387505	1.14399	0.020953	1.17823e-12
1	0	4.04	0.387506	1.144	0.0201314	9.26826e-13
1	0	4.08	0.387506	1.144	0.0193421	7.29068e-13
1	0	4.12	0.387506	1.144	0.0185837	5.73506e-13
1	0	4.16	0.387506	1.144	0.017855	4.51136e-13
1	0	4.2	0.387506	1.144	0.0171549	3.54876e-13
1	0	4.24	0.387507	1.144	0.0164823	2.79156e-13
1	0	4.28	0.387507	1.144	0.015836	2.19592e-13
1	0	4.32	0.387507	1.144	0.0152151	1.72737e-13
1	0	4.36	0.387507	1.144	0.0146185	1.3588e-13
1	0	4.4	0.387507	1.144	0.0140453	1.06887e-13
1	0	4.44	0.387507	1.144	0.0134946	8.40803e-14
1	0	4.48	0.387507	1.144	0.0129654	6.61399e-14
1	0	4.52	0.387507	1.144	0.012457	5.20275e-14
1	0	4.56	0.387507	1.144	0.0119686	4.09263e-14
1	0	4.6	0.387508	1.144	0.0114993	3.21938e-14
1	0	4.64	0.387508	1.144	0.0110484	2.53245e-14
1	0	4.68	0.387508	1.144	0.0106152	1.9921e-14
1	0	4.72	0.387508	1.144	0.010199	1.56704e-14
1	0	4.76	0.387508	1.144	0.00979907	1.23268e-14
1	0	4.8	0.387508	1.144	0.00941484	9.69659e-15
1	0	4.84	0.387508	1.144	0.00904568	7.62761e-15
1	0	4.88	0.387508	1.144	0.008691	6.00009e-15
1	0	4.92	0.387508	1.144	0.00835022	4.71984e-15
1	0	4.96	0.387508	1.144	0.0080228	3.71276e-15
1	0	5	0.387508	1.144	0.00770823	2.92056e-15
1	0	5.04	0.387508	1.144	0.00740598	2.29739e-15
1	0	5.08	0.387508	1.144	0.00711559	1.80719e-15
1	0	5.12	0.387508	1.144	0.00683658	1.42159e-15
1	0	5.16	0.387508	1.144	0.00656852	1.11826e-15
1	0	5.2	0.387508	1.144	0.00631096	8.79656e-16
1	0	5.24	0.387508	1.144	0.00606351	6.91962e-16
1	0	5.28	0.387508	1.144	0.00582575	5.44316e-16
1	0	5.32	0.387508	1.144	0.00559732	4.28174e-16
1	0	5.36	0.387508	1.144	0.00537785	3.36814e-16
1	0	5.4	0.387508	1.144	0.00516698	2.64947e-16
1	0	5.44	0.387508	1.144	0.00496438	2.08415e-16
1	0	5.48	0.387508	1.144	0.00476972	1.63945e-16
1	0	5.52	0.387508	1.144	0.0045827	1.28964e-16
1	0	5.56	0.387508	1.144	0.00440301	1.01446e-16
1	0	5.6	0.387508	1.144	0.00423037	7.98006e-17
1	0	5.64	0.387508	1.144	0.00406449	6.27734e-17
1	0	5.68	0.387508	1.144	0.00390512	4.93793e-17
1	0	5.72	0.387508	1.144	0.003752	3.88431e-17
