# Filename: vlt_HeatCap_P_15.031_DK0_5e-07_i47.dat
# Source: vlt_HeatCap_P.c
# Source version: 6 (2011 Mar 18 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0	cp
       0.99999999	            1e-08	 14.2223999999802	 5.00002612384475	6.74946347498891e-06	-0.0651147439778475	3.32860632435597e-06	8.63139976877377e-06	 33629987.4800518
0.999999985081753	1.49182469764127e-08	 13.9537999999808	 5.00040251263901	6.75165497268641e-06	-0.0651147422611493	4.35458350510744e-06	1.12918582769035e-05	  14793560.901899
0.999999977744591	2.22554092849247e-08	 13.6850999999814	 5.00027957395813	6.75093899289543e-06	-0.0651147397001369	5.69679868950603e-06	1.4772352599628e-05	  6455784.0178062
0.999999966798831	3.32011692273655e-08	 13.4163999999821	 5.00015621326631	6.7502207287858e-06	-0.0651147358795567	7.45272481559109e-06	1.93256394686451e-05	 2784762.00798855
0.999999950469676	4.95303242439512e-08	 13.1476999999827	  5.0000331006702	6.74950408236497e-06	-0.065114730179923	9.74988110452592e-06	2.52823884785414e-05	 1180288.23823855
0.999999926109439	7.38905609893065e-08	 12.8790999999833	  5.0004093240367	6.75169464647551e-06	-0.0651147216770733	1.27550890337551e-05	3.30751836578207e-05	 487124.034994914
0.999999889768236	1.10231763806416e-07	 12.6103999999839	 5.00028626981428	6.75097798429646e-06	-0.0651147089923246	1.66865953380408e-05	4.32699594578837e-05	 192793.818039462
0.999999835553532	1.64446467710971e-07	 12.3416999999846	 5.00016332340491	6.75026212264605e-06	-0.0651146900689358	2.18299118942858e-05	5.66070748579516e-05	 71468.6578975192
0.999999754674698	2.45325301971094e-07	 12.0729999999852	 5.00004045905288	6.749546911125e-06	-0.065114661838619	2.85585556065181e-05	7.4055093402656e-05	   23844.64623718
0.999999634017656	3.6598234443678e-07	 11.8043999999858	 5.00041699439624	6.75173932401703e-06	-0.0651146197240743	3.7361167609914e-05	9.68811049575923e-05	 6698.31176184209
  0.9999994540185	5.45981500331442e-07	 11.5356999999865	 5.00029443792635	6.75102554963804e-06	-0.0651145568968558	4.88770204344502e-05	0.00012674279732962	 1455.87786376923
0.999999185491313	8.14508686649681e-07	 11.2669999999871	 5.00017214290648	6.75031346886731e-06	-0.0651144631703033	6.39424140854529e-05	0.000165808762092154	 327.915302950177
0.999998784895825	1.21510417518735e-06	 10.9982999999877	 5.00005028441957	6.74960409964601e-06	-0.0651143233481085	8.36514304114349e-05	0.000216916029302582	 226.375830525258
0.999998187277581	1.81272241875151e-06	 10.7296999999883	 5.00042836207552	6.75180553848224e-06	-0.0651141147609177	0.000109435369175155	0.000283776038778196	 218.289304904896
0.999997295735926	2.70426407426153e-06	  10.460999999989	 5.00030804039986	 6.7511047624e-06	-0.0651138035918608	0.000143166755979142	0.000371244315084904	 211.157995019481
0.999995965712065	4.03428793492735e-06	 10.1922999999896	 5.00018910424948	6.75041221820974e-06	-0.0651133393960931	0.000187295257828837	0.000485672855796073	 204.195569401516
0.999993981549621	6.01845037872082e-06	 9.92359999999021	 5.00007223332241	6.7497318565331e-06	-0.065112646927252	0.000245025654416841	0.000635371522923531	 197.316657191373
0.999991021527084	8.97847291650418e-06	 9.65499999999084	 5.00045776582061	6.75197681509647e-06	-0.065111613949152	0.000320550560625662	0.000831211309264258	 190.562754922027
0.999986605692356	1.33943076439442e-05	 9.38629999999146	 5.00034855688795	6.75134071675019e-06	-0.0651100730639251	0.000419355152134028	0.00108741412000101	 183.607346992206
0.999980018041049	1.99819589510412e-05	 9.11759999999209	 5.00024619931515	6.75074464696121e-06	-0.0651077746259109	0.000548615432638751	0.00142258473469073	 176.753703888865
 0.99997019042013	2.98095798704173e-05	 8.84889999999272	 5.00015405989518	6.75020818089574e-06	-0.0651043463830892	0.000717719828511987	0.00186106182347791	 169.757425033648
0.999955529332523	4.44706674769986e-05	 8.58019999999334	 5.00007716370554	6.74976053385271e-06	-0.0650992333724611	0.000938951571214744	0.00243468444597531	 162.783804691997
0.999933657559937	6.63424400627789e-05	 8.31149999999397	 5.00002300587431	6.74944528378716e-06	-0.0650916084718264	0.00122838192177271	0.00318510244301506	 155.710041162812
0.999901028709413	9.89712905874393e-05	 8.04279999999459	 5.00000276928054	6.74932746243032e-06	-0.0650802394133368	0.00160703962673378	0.00416679757798139	  148.70875263303
0.999852352184344	0.000147647815655773	 7.77409999999522	 5.00003313893719	6.74950413809829e-06	-0.0650632913387128	0.00210244261582412	0.00545103318121436	 141.589417994102
0.999779735342052	0.000220264657948067	 7.50539999999585	 5.00013901102154	6.75012025669704e-06	-0.0650380342117051	0.00275060529089354	0.00713101591673337	 134.458650908425
0.999671403743256	0.000328596256744433	 7.23669999999647	 5.00035753765654	6.75139238586902e-06	-0.0650004103833865	0.00359867130861456	0.0093286382557508	 127.202316479065
0.999509791988636	0.000490208011363818	  6.9678999999971	  5.0002448193311	6.75073536932729e-06	-0.0649443977876002	0.00470837178043267	0.0122032807638434	 120.022752210698
0.999268695581666	0.000731304418334156	 6.69909999999773	 5.00038291739471	6.75153839553326e-06	-0.0648610768606323	0.00616057287226166	0.0159632819171146	 112.747935955354
0.998909022007235	0.00109097799276508	 6.43019999999835	 5.00039599934882	6.7516122370403e-06	-0.0647372727127124	0.00806128028463389	0.0208808781554237	 105.446309820644
