#filename: Pdep_Cc.dat
#This is an output file from fit_vlt_ThermStates_lmax100_A_RhosoRhoVsTvNu.gnu
#Cc	A' using exact nu = 0.671688352279845	P (bar)
#ind. variable	(from vlt_ThermStates.c data fits via vlt_K0cFind.c)	(via my Greywall/Ahlers fit)
1.20	12.534593710359	-357.736265001952
1.10	11.5913495183956	-324.232763070998
1.06	11.2040435600391	-310.475873779519
1.05	11.1063261581804	-307.005006755101
1.04	11.0082467678804	-303.521282105323
1.03	10.9097997876259	-300.024500867594
1.02	10.8110105909722	-296.515564296297
1.01	10.711853804364	-292.993571137048
1.00	10.6123426613863	-289.45899143933
0.99	10.512470466911	-285.911587395964
0.98	10.4122418855077	-282.351524689833
0.97	10.3116533462216	-278.77867648264
0.90	9.59766119990694	-253.418077968961
0.80	8.54829775380603	-216.145279957307
0.70	7.46657531467174	-177.723108755958
0.60	6.35684163136796	-138.305993953454
0.55	5.79359613610244	-118.299831499433
0.50	5.22638155805352	-98.1526894625739
0.40	4.08687199318285	-57.6779521333987
0.30	2.95641134473754	-17.5246272141942
0.20	1.86224047542243	21.3397052091941
0.10	0.842254519808405	57.5690313207403

