# Filename: vlt_ThermStates_lmax100_A_Cc0.99.dat
# Source: vlt_ThermStates.c
# Source version: 5 (2011 Mar 01 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, A=41.3417022403997549418
# Parameter values: N=3, Kthresh=5, dl=0.0001, lmax=100
T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0
1	1e-08	13.1446	5.00007	1.22621e-25	9.79349e-08	9.78022e-06	4.56925e-05
1	1.25893e-08	13.0124	5.00025	1.22428e-25	1.939e-07	1.11629e-05	5.21524e-05
1	1.58489e-08	12.8802	5.00042	1.22233e-25	1.9193e-07	1.27411e-05	5.95256e-05
1	1.99526e-08	12.7479	5.0001	1.22582e-25	1.89959e-07	1.45424e-05	6.79412e-05
1	2.51189e-08	12.6157	5.00029	1.22385e-25	3.75977e-07	1.65984e-05	7.75465e-05
1	3.16228e-08	12.4835	5.00047	1.22187e-25	3.72037e-07	1.8945e-05	8.85099e-05
1	3.98107e-08	12.3512	5.00015	1.22534e-25	3.68094e-07	2.16234e-05	0.000101023
1	5.01187e-08	12.219	5.00033	1.22334e-25	7.28309e-07	2.46805e-05	0.000115306
1	6.30957e-08	12.0867	5.00001	1.2268e-25	7.20423e-07	2.81698e-05	0.000131608
1	7.94328e-08	11.9545	5.0002	1.2248e-25	7.12544e-07	3.21524e-05	0.000150214
1	1e-07	11.8223	5.00038	1.2228e-25	1.40933e-06	3.66981e-05	0.000171451
1	1.25893e-07	11.69	5.00007	1.22625e-25	1.39356e-06	4.18864e-05	0.00019569
1	1.58489e-07	11.5578	5.00025	1.22424e-25	1.3778e-06	4.78083e-05	0.000223357
1	1.99526e-07	11.4256	5.00043	1.22224e-25	2.72408e-06	5.45673e-05	0.000254935
1	2.51189e-07	11.2933	5.00012	1.22568e-25	2.69253e-06	6.2282e-05	0.000290977
1	3.16228e-07	11.1611	5.0003	1.22367e-25	2.66101e-06	7.10873e-05	0.000332115
1	3.98107e-07	11.0289	5.00049	1.22166e-25	5.25899e-06	8.11375e-05	0.000379069
0.999999	5.01187e-07	10.8966	5.00017	1.2251e-25	5.1959e-06	9.26086e-05	0.000432661
0.999999	6.30957e-07	10.7644	5.00035	1.22309e-25	5.13287e-06	0.000105702	0.00049383
0.999999	7.94328e-07	10.6321	5.00004	1.22653e-25	1.01396e-05	0.000120645	0.000563647
0.999999	1e-06	10.4999	5.00022	1.22451e-25	1.00135e-05	0.000137702	0.000643335
0.999999	1.25893e-06	10.3677	5.00041	1.22249e-25	9.88741e-06	0.00015717	0.000734288
0.999998	1.58489e-06	10.2354	5.00009	1.22593e-25	1.95225e-05	0.000179391	0.000838101
0.999998	1.99526e-06	10.1032	5.00028	1.2239e-25	1.92703e-05	0.000204753	0.00095659
0.999997	2.51189e-06	9.971	5.00047	1.22188e-25	1.90182e-05	0.000233701	0.00109183
0.999997	3.16228e-06	9.8387	5.00015	1.2253e-25	3.75317e-05	0.000266741	0.00124619
0.999996	3.98107e-06	9.7065	5.00034	1.22326e-25	3.70274e-05	0.000304453	0.00142238
0.999995	5.01187e-06	9.5742	5.00003	1.22667e-25	3.65227e-05	0.000347496	0.00162347
0.999994	6.30957e-06	9.442	5.00021	1.22462e-25	7.20367e-05	0.000396625	0.00185299
0.999992	7.94328e-06	9.3098	5.0004	1.22255e-25	7.10281e-05	0.0004527	0.00211497
0.99999	1e-05	9.1775	5.00009	1.22593e-25	7.00188e-05	0.000516703	0.00241398
0.999987	1.25893e-05	9.0453	5.00029	1.22383e-25	0.00013802	0.000589754	0.00275526
0.999984	1.58489e-05	8.9131	5.00048	1.22172e-25	0.000136003	0.000673134	0.00314479
0.99998	1.99526e-05	8.7808	5.00018	1.22502e-25	0.000133984	0.000768303	0.00358939
0.999975	2.51189e-05	8.6486	5.00038	1.22284e-25	0.000263934	0.000876927	0.00409684
0.999968	3.16228e-05	8.5163	5.00008	1.22608e-25	0.000259897	0.00100091	0.00467604
0.99996	3.98107e-05	8.3841	5.00029	1.2238e-25	0.000255862	0.00114242	0.00533711
0.99995	5.01187e-05	8.2518	5.00001	1.2269e-25	0.00050365	0.00130395	0.00609164
0.999937	6.30957e-05	8.1196	5.00023	1.22447e-25	0.000495581	0.00148831	0.00695283
0.999921	7.94328e-05	7.9874	5.00046	1.22192e-25	0.000487512	0.00169874	0.00793576
0.9999	0.0001	7.8551	5.00021	1.22469e-25	0.000958875	0.00193893	0.00905763
0.999874	0.000125893	7.7229	5.00047	1.22183e-25	0.000942737	0.00221308	0.0103381
0.999842	0.000158489	7.5906	5.00025	1.22421e-25	0.000926587	0.00252602	0.0117995
0.9998	0.000199526	7.4583	5.00006	1.22631e-25	0.00182087	0.00288321	0.0134675
0.999749	0.000251189	7.3261	5.0004	1.2226e-25	0.0017886	0.00329094	0.0153712
0.999684	0.000316228	7.1938	5.00028	1.22392e-25	0.0017563	0.00375635	0.0175439
0.999602	0.000398107	7.0615	5.00021	1.22468e-25	0.003448	0.00428763	0.0200236
0.999499	0.000501187	6.9292	5.0002	1.22474e-25	0.0033834	0.00489412	0.0228535
0.999369	0.000630957	6.7969	5.00028	1.22393e-25	0.0033188	0.00558648	0.0260832
0.999206	0.000794328	6.6646	5.00045	1.22202e-25	0.0065084	0.00637691	0.0297688
0.999	0.001	6.5322	5.00026	1.22418e-25	0.0063791	0.00727937	0.0339747
