# Filename: 3Dvlt_macro_cp_Tv_Op42_Kth4.147_P00.050_DK05e-07_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=4, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=0.05, Cc=1.10452071494107, K0c=0.295696907671308, Tc=2.173
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp
1	1411289	0.99999998999999995	            1e-08	14.112889999634886	4.1467860439822388	4.6343432170870057e-06	-0.05084938152494916	14.023771960185265	1.0416326647414915e-05	7.7819187302667593e-43	1346326.0547484495	                1	34902131.555635564
2	1395823	0.99999998741074592	1.2589254117941661e-08	13.958229999640741	4.146794606454284	4.6343432181115124e-06	-0.050849380760033126	14.02380088079496	1.2158597191978949e-05	1.9683149834778809e-42	1153406.1585695501	                1	21809810.394326139
3	1380357	0.99999998415106806	1.5848931924611143e-08	13.803569999646596	4.146803749592733	4.6343432196113952e-06	-0.050849379797060869	14.023831755724162	1.4192287865148435e-05	4.9785457916856631e-42	988130.44725241605	                1	13606565.570910208
4	1364890	0.99999998004737689	1.9952623149688786e-08	13.648899999652452	4.1467694747818111	4.6343432161452127e-06	-0.050849378584751123	14.023715786207573	1.656613314655087e-05	1.25932107315766e-41	846529.22092005296	                1	8471175.2483502161
5	1349424	0.99999997488113568	2.5118864315095821e-08	13.494239999658307	4.1467775135688969	4.6343432164297895e-06	-0.050849377058543276	14.02374289965876	1.9337038941007887e-05	3.1852562624037271e-41	725227.00825299229	                1	5260517.4843412694
6	1333958	0.99999996837722338	3.1622776601683792e-08	13.339579999664162	4.1467850771112209	4.6343432169900959e-06	-0.050849375137163297	14.023768387148184	2.2571412914719755e-05	8.05660897291727e-41	621306.62533769454	                1	3256051.8851977643
7	1318492	0.99999996018928294	3.981071705534969e-08	13.184919999670017	4.1467935131054494	4.6343432179538516e-06	-0.050849372718290001	14.023796801514536	2.6346783954332343e-05	2.0377935965239679e-40	532277.36735619779	                1	2007020.5322463452
8	1303026	0.99999994988127661	5.011872336272725e-08	13.030259999675872	4.1468019462940999	4.6343432192723507e-06	-0.050849369673104418	14.023825176660965	3.0753636266138045e-05	5.1542811079837126e-40	456005.43153013091	                1	1230619.5932264945
9	1287559	0.99999993690426559	6.3095734448019296e-08	12.875589999681727	4.1467686672376569	4.634343216120426e-06	-0.050849365839451308	14.02371245019487	3.5897591408900163e-05	1.3037732479115799e-39	390658.86873730319	                1	749498.62297356606
10	1272093	0.99999992056717657	7.943282347242822e-08	12.720929999687582	4.1467768422369931	4.6343432163717449e-06	-0.05084936101316663	14.023739867635998	4.1901941259850523e-05	3.2976911060671903e-39	334679.95624997979	                1	452601.1197459469
11	1256627	0.99999990000000005	9.9999999999999995e-08	12.566269999693437	4.1467849040397384	4.6343432169439393e-06	-0.050849354937240812	14.023766842941592	4.8910596980795375e-05	8.3409953756967365e-39	286722.46320052055	                1	270336.11869384558
12	1241161	0.99999987410745883	1.2589254117941662e-07	12.411609999699293	4.146793029548018	4.6343432178447157e-06	-0.050849347288107555	14.023793959006216	5.7091543949838161e-05	2.1097247020597563e-38	245636.97158598161	                1	159214.60991116939
13	1225695	0.99999984151068078	1.5848931924611141e-07	12.256949999705148	4.146801375275154	4.6343432191064492e-06	-0.050849337658424712	14.023821725795479	6.664086604967517e-05	5.3362196216971362e-38	210438.7676375919	                1	92082.45448639743
14	1210228	0.99999980047376846	1.9952623149688787e-07	12.102279999711003	4.1467678805103896	4.6343432160174733e-06	-0.050849325535392897	14.023707876346492	7.7787431974370329e-05	1.3497945187870346e-37	180282.43792605301	                1	52015.736444837799
15	1194762	0.99999974881135689	2.5118864315095823e-07	11.947619999716858	4.1467763057110369	4.6343432162042568e-06	-0.050849310273414612	14.023735644531714	9.0798417357321128e-05	3.4140947336435426e-37	154449.11984912446	                1	28494.907346274504
16	1179296	0.99999968377223403	3.1622776601683792e-07	11.792959999722713	4.1467844786599777	4.6343432166987411e-06	-0.050849291059760132	14.023762372047145	0.00010598565569672911	8.6354201982839203e-37	132317.55070870352	                1	14998.775934038526
17	1163830	0.99999960189282944	3.9810717055349692e-07	11.638299999728568	4.1467926714004202	4.634343217493269e-06	-0.050849266871263732	14.023788930326022	0.00012371315937878254	2.1841948693138867e-36	 113357.293603571	                1	7496.4142974869947
18	1148364	0.9999994988127664	5.011872336272725e-07	11.483639999734423	4.1468009715673366	4.6343432185895109e-06	-0.050849236419826346	14.023815554585195	0.00014440582336186221	5.5245802959255653e-36	97113.919841330353	                1	 3516.51483558668
19	1132897	0.99999936904265552	6.3095734448019296e-07	11.328969999740279	4.1467678764151836	4.6343432153615751e-06	-0.050849198083871568	14.02370181223206	0.00016855960783633889	1.3974402724159326e-35	83197.28547214123	                1	1543.3643568479229
20	1117431	0.99999920567176526	7.943282347242822e-07	11.174309999746134	4.1467762883311492	4.6343432152389662e-06	-0.050849149821967497	14.023727968907776	0.00019675342757462615	3.5346072368151808e-35	71275.647605116043	                1	665.78129720496315
21	1101965	0.99999899999999997	9.9999999999999995e-07	11.019649999751989	4.1467847686735242	4.6343432153088159e-06	-0.050849089064154258	14.02375376376358	0.00022966302995335101	8.9402377802280415e-35	61062.30404872771	                1	339.37193345670579
22	1086499	0.99999874107458819	1.2589254117941661e-06	10.864989999757844	4.1467933077658277	4.6343432154975078e-06	-0.050849012575096574	14.023779010471971	0.00026807718633273616	2.2612937227244687e-34	52312.46717527735	                1	252.50865735322881
23	1071033	0.99999841510680754	1.5848931924611141e-06	10.710329999763699	4.146802004065373	4.6343432157124297e-06	-0.050848916281855935	14.023803848624013	0.00031291660548405384	5.7195898209450054e-34	44816.425855478177	                1	236.30071733704705
