# Filename: 3Dvlt_macro_cp_Tv_Op42_Kth4.147_P07.328_DK05e-07_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=4, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=7.328, Cc=0.905544314751893, K0c=0.335708313222586, Tc=2.095
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp
1	1407289	0.99999998999999995	            1e-08	 14.0728899996364	4.1467868983681146	4.6343432171738249e-06	-0.057672868151121201	12.352350816379051	9.5492914000495365e-06	9.8927575738172883e-43	1293535.8550598815	                1	26961364.723790843
2	1391823	0.99999998741074592	1.2589254117941661e-08	13.918229999642255	4.1467937561967751	4.6343432179947854e-06	-0.057672867317186252	12.352371212333574	1.1146534071350691e-05	2.502218750225387e-42	1108180.4562085518	                1	16833506.140621305
3	1376357	0.99999998415106806	1.5848931924611143e-08	13.76356999964811	4.1468018128330142	4.6343432192588406e-06	-0.057672866267321946	12.352395170986318	1.3010940019886816e-05	6.3289721069776283e-42	949385.29822642077	                1	10490770.782942908
4	1360890	0.99999998004737689	1.9952623149688786e-08	13.608899999653966	4.1467687248058249	4.6343432161367339e-06	-0.057672864945614022	12.352296558463426	1.5187193810127193e-05	1.6009108442160403e-41	813336.33539506234	                1	6522532.7650615042
5	1345424	0.99999997488113568	2.5118864315095821e-08	13.454239999659821	4.1467767304760317	4.6343432163887541e-06	-0.057672863281688282	12.352320341749342	1.7727453544399907e-05	4.0492543170640257e-41	696790.4505185649	                1	4043516.4514898332
6	1329958	0.99999996837722338	3.1622776601683792e-08	13.299579999665676	4.1467842796313725	4.6343432169199564e-06	-0.057672861186931559	12.352342748655973	2.0692603128626077e-05	1.0241957311044819e-40	596944.84410073003	                1	2497365.8357240865
7	1314492	0.99999996018928294	3.981071705534969e-08	13.144919999671531	4.1467925377332229	4.6343432178276386e-06	-0.057672858549788895	12.352367246553627	2.415371703822832e-05	2.5905433780174047e-40	511406.47325641086	                1	1535146.7157611963
8	1299026	0.99999994988127661	5.011872336272725e-08	12.990259999677386	4.146800825577623	4.6343432190814151e-06	-0.057672855229819429	12.352391806859393	2.8193748562304274e-05	6.5523754787124706e-40	438125.20281091105	                1	938005.17111283541
9	1283559	0.99999993690426559	6.3095734448019296e-08	12.835589999683242	4.1467673746691744	4.6343432161180526e-06	-0.057672851050231205	12.352292003791973	3.2909527038391465e-05	1.6574206336034661e-39	375340.91539456294	                1	568746.83724734501
10	1268093	0.99999992056717657	7.943282347242822e-08	12.680929999689097	4.1467754439067006	4.6343432163160203e-06	-0.057672845788444296	12.352315838443849	3.8414082381609457e-05	4.1921870165218719e-39	321556.96746142907	                1	341501.32609485299
11	1252627	0.99999990000000005	9.9999999999999995e-08	12.526269999694952	4.1467835540173894	4.6343432168412188e-06	-0.057672839164249687	12.352339742595456	4.4839347943127512e-05	1.0603483283857873e-38	275479.91461121792	                1	202492.42322135807
12	1237161	0.99999987410745883	1.2589254117941662e-07	12.371609999700807	4.1467915349243958	4.6343432176760917e-06	-0.057672830824891878	12.352363196096391	5.2339322611763111e-05	2.6819857347835899e-38	236005.4081655278	                1	118140.58121726355
13	1221695	0.99999984151068078	1.5848931924611141e-07	12.216949999706662	4.1467998258423231	4.6343432188784686e-06	-0.057672820326271058	12.352387490235822	6.1093771509620925e-05	6.7836646596155421e-38	202187.34553473414	                1	67499.451691401089
14	1206228	0.99999980047376846	1.9952623149688787e-07	12.062279999712517	4.1467665165668182	4.6343432160672602e-06	-0.057672807109304648	12.352287762467993	7.1312515722442979e-05	1.7159251351193507e-37	173213.46242424831	                1	37530.155803945847
15	1190762	0.99999974881135689	2.5118864315095823e-07	11.907619999718372	4.1467746151204903	4.6343432162087283e-06	-0.057672790470154577	12.352311248093367	8.3240478454865173e-05	4.3401650292258902e-37	148393.08323763497	                1	20139.561272412586
16	1175296	0.99999968377223403	3.1622776601683792e-07	11.752959999724228	4.146782982856295	4.6343432166877762e-06	-0.057672769522744007	12.352335370315712	9.7163555937838141e-05	1.0977770589611014e-36	127129.30533561685	                1	10321.367597039563
17	1159830	0.99999960189282944	3.9810717055349692e-07	11.598299999730083	4.1467913370224512	4.6343432174971806e-06	-0.057672743151576514	12.35235924409659	0.0001134154510859476	2.7766558717287654e-36	108912.49054536514	                1	4989.2560087702032
18	1144364	0.9999994988127664	5.011872336272725e-07	11.443639999735938	4.1467995944211857	4.6343432186128204e-06	-0.05767270995234073	12.352382567746245	0.00013238568564056163	7.0231180070492636e-36	93306.028578376761	                1	2255.9084144062854
19	1128897	0.99999936904265552	6.3095734448019296e-07	11.288969999741793	4.146766552509499	4.6343432157333192e-06	-0.057672668157123026	12.352282540370814	0.00015452894503597699	1.7764947590600269e-35	79935.073247895343	                1	970.5447537626801
20	1113431	0.99999920567176526	7.943282347242822e-07	11.134309999747648	4.1467749973916952	4.6343432157338842e-06	-0.057672615540292183	12.352305677761931	0.00018037595262186223	4.4933664469602236e-35	68480.889487841778	                1	446.77256403728938
21	1097965	0.99999899999999997	9.9999999999999995e-07	10.979649999753503	4.1467835734525531	4.6343432160165467e-06	-0.057672549299983646	12.352328683381526	0.00021054621145232691	1.1365269683418596e-34	58668.016860414573	                1	281.64970952040773
22	1082499	0.99999874107458819	1.2589254117941661e-06	10.824989999759358	4.1467922547935885	4.634343216554726e-06	-0.057672465908928279	12.35235134478776	0.00024576283743545893	2.8746677242702772e-34	50261.265998085153	                1	243.41679210945389
23	1067033	0.99999841510680754	1.5848931924611141e-06	10.670329999765213	4.1468010680016629	4.6343432173063407e-06	-0.057672360926682931	12.35237357084873	0.00028686989767609213	7.2710237024979865e-34	43059.148662561754	                1	238.11145163201212
24	1051566	0.99999800473768508	1.9952623149688829e-06	10.515659999771069	4.1467686376569297	4.6343432134586563e-06	-0.057672228763213373	12.352271899255275	0.00033485264313100398	1.8392024005328066e-33	36888.679700290471	                1	233.4779993393758
25	1036100	0.99999748811356848	2.5118864315095823e-06	10.360999999776924	4.1467778739080661	4.6343432125177619e-06	-0.057672062381353334	12.352293030418766	0.00039086110805215885	4.6519756458030198e-33	31602.768287630195	                1	229.15224368291928
26	1020634	0.99999683772233983	3.1622776601683792e-06	10.206339999782779	4.146787405529567	4.6343432114435132e-06	-0.057671852922266023	12.352313389054919	0.00045623768952300246	1.1766446913212195e-32	27074.294107462472	                1	224.84886042871278
