# Filename: 3Dvlt_macro_cp_Tv_Op42_Kth4.147_P15.031_DK05e-07_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=4, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=15.031, Cc=0.730442365916635, K0c=0.385722578013619, Tc=1.998
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp
1	1403505	0.99999998999999995	            1e-08	14.035049999637833	4.1467883477154217	4.6343432173274725e-06	-0.065121853517494693	10.750701521291628	8.6316145087504841e-06	1.2414224239261535e-42	1245502.9717085804	                1	19204531.776135392
2	1388039	0.99999998741074592	1.2589254117941661e-08	13.880389999643688	4.1467973583954034	4.6343432185200356e-06	-0.065121852613679809	10.750724853974992	1.0075369064740165e-05	3.1399844210967826e-42	1067030.377239312	                1	11977789.515510079
3	1372573	0.99999998415106806	1.5848931924611143e-08	13.725729999649543	4.1468051696473154	4.6343432198830259e-06	-0.065121851475848577	10.75074506988925	1.1760607735377448e-05	7.9421009118807188e-42	914131.76187737321	                1	7454672.5458942242
4	1357106	0.99999998004737689	1.9952623149688786e-08	13.571059999655398	4.1467710470011596	4.634343216177272e-06	-0.065121850043401069	10.750656561555468	1.3727723298000614e-05	2.0089510996689274e-41	783134.70691248961	                1	4627034.9174282225
5	1341640	0.99999997488113568	2.5118864315095821e-08	13.416399999661254	4.146779857167771	4.6343432165763186e-06	-0.065121848240054042	10.750679346696062	1.6023870327233228e-05	5.081328509175389e-41	670916.52186081663	                1	2862302.8239537058
6	1326174	0.99999996837722338	3.1622776601683792e-08	13.261739999667109	4.1467875537884389	4.6343432172422237e-06	-0.065121845969787276	10.750699230546708	1.8704073894559284e-05	1.2852428027690894e-40	574778.48361548199	                1	1763027.5191696216
7	1310708	0.99999996018928294	3.981071705534969e-08	13.107079999672964	4.1467965112309724	4.6343432183907055e-06	-0.06512184311167718	10.750722365019607	2.1832583445014588e-05	3.2508212355469588e-40	492416.41018321656	                1	1080010.4957420831
8	1295242	0.99999994988127661	5.011872336272725e-08	12.952419999678819	4.146803946981704	4.6343432196483487e-06	-0.065121839513535701	10.750741531657951	2.5484369161731876e-05	8.2224453488191448e-40	421856.29408483068	                1	657014.28492285113
9	1279775	0.99999993690426559	6.3095734448019296e-08	12.797749999684674	4.1467709883011787	4.6343432161762302e-06	-0.065121834983751986	10.750655945556831	2.974697152060157e-05	2.079864107694803e-39	361403.37641132151	                1	396142.65702031652
10	1264309	0.99999992056717657	7.943282347242822e-08	12.643089999690529	4.1467791413823747	4.6343432165285349e-06	-0.065121829281082122	10.750676907084214	3.4722548165614189e-05	5.2606919039867676e-39	309616.58850057074	                1	236158.36386924947
