1-T/Tc	cp	l	Kr/K0	e	
1e-08	266292	14.3724	7.73778e-06	-0.0725518
1.49182e-08	97756.7	14.1039	1.01211e-05	-0.0725518
2.22554e-08	32031.1	13.8353	1.32392e-05	-0.0725518
3.32012e-08	8672.03	13.5667	1.73186e-05	-0.0725518
4.95303e-08	1712.08	13.2981	2.26555e-05	-0.0725518
7.38906e-08	310.563	13.0295	2.96376e-05	-0.0725517
1.10232e-07	238.182	12.7608	3.87719e-05	-0.0725517
1.64446e-07	234.262	12.4922	5.07218e-05	-0.0725517
2.45325e-07	227.667	12.2235	6.63552e-05	-0.0725517
3.65982e-07	224.044	11.9548	8.68072e-05	-0.0725516
5.45982e-07	217.04	11.6862	0.000113563	-0.0725516
8.14509e-07	214.644	11.4175	0.000148566	-0.0725515
1.2151e-06	198.518	11.1488	0.000194359	-0.0725513
1.81272e-06	199.243	10.8801	0.000254266	-0.0725511
2.70426e-06	199.837	10.6115	0.000332638	-0.0725508
4.03429e-06	184.64	10.3428	0.000435166	-0.0725503
6.01845e-06	176.522	10.0741	0.000569297	-0.0725495
8.97847e-06	184.4	9.8054	0.000744771	-0.0725484
1.33943e-05	166.082	9.5368	0.00097433	-0.0725468
1.9982e-05	160.621	9.2681	0.00127465	-0.0725443
2.98096e-05	161.329	8.9994	0.00166753	-0.0725406
4.44707e-05	151.447	8.7307	0.0021815	-0.0725352
6.63424e-05	138.629	8.462	0.00285389	-0.072527
9.89713e-05	135.623	8.1933	0.00373351	-0.0725148
0.000147648	133.455	7.9246	0.00488423	-0.0724967
0.000220265	128.353	7.6559	0.00638957	-0.0724696
0.000328596	118.197	7.3871	0.00835878	-0.0724294
0.000490208	109.102	7.1183	0.0109347	-0.0723694
0.000731304	99.3194	6.8495	0.0143042	-0.0722802
0.00109098	95.1943	6.5805	0.0187114	-0.0721477
0.00162755	91.616	6.3115	0.0244753	-0.071951
0.00242802	85.8277	6.0422	0.0320126	-0.07166
0.00362217	78.7359	5.7726	0.0418665	-0.0712302
0.00540365	67.4765	5.5027	0.0547453	-0.0705982
0.0080613	57.996	5.232	0.0715694	-0.0696733
