1-T/Tc	cp	l	Kr/K0	e	
1e-08	341895	14.3909	8.25396e-06	-0.0682149
1.49182e-08	127675	14.1223	1.07973e-05	-0.0682149
2.22554e-08	43047.8	13.8537	1.41246e-05	-0.0682149
3.32012e-08	12230	13.5851	1.84776e-05	-0.0682149
4.95303e-08	2610.59	13.3164	2.41725e-05	-0.0682149
7.38906e-08	435.177	13.0478	3.16227e-05	-0.0682149
1.10232e-07	256.062	12.7791	4.13693e-05	-0.0682149
1.64446e-07	248.609	12.5104	5.41203e-05	-0.0682149
2.45325e-07	244.28	12.2418	7.08014e-05	-0.0682148
3.65982e-07	239.357	11.9731	9.26243e-05	-0.0682148
5.45982e-07	228.639	11.7044	0.000121174	-0.0682147
8.14509e-07	225.48	11.4357	0.000158523	-0.0682146
1.2151e-06	217.049	11.1671	0.000207384	-0.0682145
1.81272e-06	211.341	10.8984	0.000271306	-0.0682143
2.70426e-06	206.977	10.6297	0.000354931	-0.068214
4.03429e-06	199.751	10.361	0.000464331	-0.0682135
6.01845e-06	191.337	10.0924	0.000607451	-0.0682128
8.97847e-06	186.869	9.8237	0.000794685	-0.0682117
1.33943e-05	173.376	9.555	0.00103963	-0.0682101
1.9982e-05	170.043	9.2863	0.00136007	-0.0682077
2.98096e-05	161.544	9.0176	0.00177928	-0.0682042
4.44707e-05	162.349	8.749	0.0023277	-0.0681989
6.63424e-05	152.402	8.4803	0.00304514	-0.0681911
9.89713e-05	143.555	8.2116	0.00398371	-0.0681794
0.000147648	134.989	7.9429	0.00521152	-0.0681619
0.000220265	129.619	7.6741	0.00681771	-0.0681359
0.000328596	133.3	7.4054	0.00891882	-0.0680971
0.000490208	119.816	7.1366	0.0116673	-0.0680394
0.000731304	107.536	6.8678	0.0152623	-0.0679536
0.00109098	103.93	6.5989	0.0199642	-0.067826
0.00162755	101.069	6.3298	0.0261132	-0.0676368
0.00242802	89.3534	6.0606	0.0341532	-0.0673567
0.00362217	76.1662	5.7911	0.0446629	-0.0669431
0.00540365	70.5379	5.5212	0.0583956	-0.0663348
0.0080613	62.6255	5.2507	0.0763288	-0.0654448
