T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.2876	5.00023	6.75068e-06	-0.0529074	3.11864e-06	1.01502e-05
1	1.25893e-08	14.1329	5.00005	6.74958e-06	-0.0529074	3.64027e-06	1.1848e-05
1	1.58489e-08	13.9783	5.00035	6.75138e-06	-0.0529074	4.24915e-06	1.38297e-05
1	1.99526e-08	13.8236	5.00016	6.75027e-06	-0.0529074	4.95988e-06	1.61429e-05
1	2.51189e-08	13.669	5.00047	6.75207e-06	-0.0529074	5.78948e-06	1.8843e-05
1	3.16228e-08	13.5143	5.00028	6.75097e-06	-0.0529074	6.75785e-06	2.19948e-05
1	3.98107e-08	13.3596	5.00009	6.74986e-06	-0.0529074	7.8882e-06	2.56737e-05
1	5.01187e-08	13.205	5.0004	6.75166e-06	-0.0529074	9.2076e-06	2.9968e-05
1	6.30957e-08	13.0503	5.00021	6.75056e-06	-0.0529074	1.07477e-05	3.49805e-05
1	7.94328e-08	12.8956	5.00002	6.74945e-06	-0.0529074	1.25454e-05	4.08315e-05
1	1e-07	12.741	5.00033	6.75125e-06	-0.0529074	1.46438e-05	4.76611e-05
1	1.25893e-07	12.5863	5.00014	6.75015e-06	-0.0529074	1.70931e-05	5.5633e-05
1	1.58489e-07	12.4317	5.00045	6.75195e-06	-0.0529074	1.99522e-05	6.49384e-05
1	1.99526e-07	12.277	5.00026	6.75084e-06	-0.0529073	2.32895e-05	7.58002e-05
1	2.51189e-07	12.1223	5.00007	6.74974e-06	-0.0529073	2.71849e-05	8.84788e-05
1	3.16228e-07	11.9677	5.00038	6.75154e-06	-0.0529073	3.1732e-05	0.000103278
1	3.98107e-07	11.813	5.00019	6.75044e-06	-0.0529073	3.70396e-05	0.000120553
0.999999	5.01187e-07	11.6583	5	6.74933e-06	-0.0529073	4.32349e-05	0.000140717
0.999999	6.30957e-07	11.5037	5.00031	6.75113e-06	-0.0529072	5.04666e-05	0.000164253
0.999999	7.94328e-07	11.349	5.00012	6.75003e-06	-0.0529072	5.89078e-05	0.000191727
0.999999	1e-06	11.1944	5.00043	6.75183e-06	-0.0529071	6.87609e-05	0.000223796
0.999999	1.25893e-06	11.0397	5.00024	6.75073e-06	-0.052907	8.02621e-05	0.000261229
0.999998	1.58489e-06	10.885	5.00005	6.74963e-06	-0.0529069	9.3687e-05	0.000304923
0.999998	1.99526e-06	10.7304	5.00037	6.75144e-06	-0.0529068	0.000109357	0.000355925
0.999997	2.51189e-06	10.5757	5.00018	6.75034e-06	-0.0529066	0.000127649	0.000415458
0.999997	3.16228e-06	10.4211	5.00049	6.75215e-06	-0.0529064	0.000149	0.000484949
0.999996	3.98107e-06	10.2664	5.0003	6.75105e-06	-0.0529062	0.000173922	0.000566063
0.999995	5.01187e-06	10.1117	5.00011	6.74996e-06	-0.0529059	0.000203013	0.000660744
0.999994	6.30957e-06	9.9571	5.00042	6.75178e-06	-0.0529055	0.00023697	0.000771261
0.999992	7.94328e-06	9.8024	5.00024	6.75069e-06	-0.052905	0.000276607	0.000900264
0.99999	1e-05	9.6477	5.00005	6.74961e-06	-0.0529044	0.000322873	0.00105084
0.999987	1.25893e-05	9.4931	5.00037	6.75145e-06	-0.0529036	0.000376878	0.00122661
0.999984	1.58489e-05	9.3384	5.00018	6.75039e-06	-0.0529026	0.000439917	0.00143177
0.99998	1.99526e-05	9.1837	5	6.74933e-06	-0.0529014	0.0005135	0.00167125
0.999975	2.51189e-05	9.0291	5.00032	6.7512e-06	-0.0528998	0.000599391	0.00195079
0.999968	3.16228e-05	8.8744	5.00015	6.75018e-06	-0.0528978	0.000699649	0.00227708
0.99996	3.98107e-05	8.7198	5.00048	6.75209e-06	-0.0528953	0.000816677	0.00265793
0.99995	5.01187e-05	8.5651	5.00031	6.75112e-06	-0.0528922	0.000953282	0.00310249
0.999937	6.30957e-05	8.4104	5.00015	6.75018e-06	-0.0528883	0.00111274	0.0036214
0.999921	7.94328e-05	8.2558	5.0005	6.75219e-06	-0.0528833	0.00129887	0.00422709
0.9999	0.0001	8.1011	5.00035	6.75136e-06	-0.0528771	0.00151613	0.00493407
0.999874	0.000125893	7.9464	5.00022	6.75058e-06	-0.0528692	0.00176975	0.00575927
0.999842	0.000158489	7.7917	5.0001	6.7499e-06	-0.0528594	0.00206579	0.00672247
0.9998	0.000199526	7.637	5	6.74933e-06	-0.0528469	0.00241137	0.00784671
0.999749	0.000251189	7.4824	5.00043	6.75179e-06	-0.0528313	0.00281477	0.00915892
0.999684	0.000316228	7.3277	5.00039	6.75152e-06	-0.0528117	0.00328567	0.0106905
0.999602	0.000398107	7.173	5.00038	6.75147e-06	-0.052787	0.00383538	0.012478
0.999499	0.000501187	7.0183	5.00042	6.75168e-06	-0.0527559	0.00447711	0.0145643
0.999369	0.000630957	6.8635	5.00002	6.74932e-06	-0.0527168	0.00522627	0.0169992
0.999206	0.000794328	6.7088	5.00019	6.75029e-06	-0.0526678	0.00610087	0.0198407
0.999	0.001	6.5541	5.00046	6.75177e-06	-0.0526062	0.00712197	0.0231567
0.998741	0.00125893	6.3993	5.00034	6.75101e-06	-0.0525288	0.00831418	0.0270261
