T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.2856	5.00017	6.75028e-06	-0.0532385	3.12484e-06	1.01079e-05
1	1.25893e-08	14.131	5.00048	6.75208e-06	-0.0532385	3.64751e-06	1.17986e-05
1	1.58489e-08	13.9763	5.00029	6.75097e-06	-0.0532385	4.2576e-06	1.37721e-05
1	1.99526e-08	13.8216	5.0001	6.74987e-06	-0.0532385	4.96974e-06	1.60757e-05
1	2.51189e-08	13.667	5.00041	6.75167e-06	-0.0532385	5.801e-06	1.87645e-05
1	3.16228e-08	13.5123	5.00022	6.75056e-06	-0.0532385	6.77129e-06	2.19031e-05
1	3.98107e-08	13.3576	5.00003	6.74946e-06	-0.0532385	7.90388e-06	2.55667e-05
1	5.01187e-08	13.203	5.00033	6.75126e-06	-0.0532385	9.22591e-06	2.98431e-05
1	6.30957e-08	13.0483	5.00014	6.75015e-06	-0.0532385	1.07691e-05	3.48348e-05
1	7.94328e-08	12.8937	5.00045	6.75196e-06	-0.0532385	1.25703e-05	4.06613e-05
1	1e-07	12.739	5.00026	6.75085e-06	-0.0532385	1.46729e-05	4.74625e-05
1	1.25893e-07	12.5843	5.00007	6.74974e-06	-0.0532385	1.71271e-05	5.54012e-05
1	1.58489e-07	12.4297	5.00038	6.75155e-06	-0.0532385	1.99919e-05	6.46678e-05
1	1.99526e-07	12.275	5.00019	6.75044e-06	-0.0532384	2.33358e-05	7.54844e-05
1	2.51189e-07	12.1203	5	6.74934e-06	-0.0532384	2.7239e-05	8.81101e-05
1	3.16228e-07	11.9657	5.00031	6.75114e-06	-0.0532384	3.17951e-05	0.000102848
1	3.98107e-07	11.811	5.00012	6.75003e-06	-0.0532384	3.71132e-05	0.00012005
0.999999	5.01187e-07	11.6564	5.00043	6.75184e-06	-0.0532383	4.33209e-05	0.00014013
0.999999	6.30957e-07	11.5017	5.00024	6.75073e-06	-0.0532383	5.05669e-05	0.000163569
0.999999	7.94328e-07	11.347	5.00005	6.74963e-06	-0.0532383	5.90249e-05	0.000190928
0.999999	1e-06	11.1924	5.00036	6.75143e-06	-0.0532382	6.88976e-05	0.000222863
0.999999	1.25893e-06	11.0377	5.00017	6.75033e-06	-0.0532381	8.04216e-05	0.00026014
0.999998	1.58489e-06	10.8831	5.00048	6.75213e-06	-0.053238	9.38732e-05	0.000303652
0.999998	1.99526e-06	10.7284	5.0003	6.75103e-06	-0.0532379	0.000109575	0.000354442
0.999997	2.51189e-06	10.5737	5.00011	6.74993e-06	-0.0532377	0.000127903	0.000413727
0.999997	3.16228e-06	10.4191	5.00042	6.75174e-06	-0.0532375	0.000149296	0.000482928
