#From RhosAmps.ods (see also plot_CcVsP.ps)
#P (bar)	Tc (K)	Cc(P)	K0c(Cc) (from K0cFind.c)
0.050	2.172	1.105023144261770	0.295611433115442
1.646	2.157	1.058195551375160	0.303870330660806
7.328	2.095	0.905924430200288	0.335617836037364
15.031	1.998	0.730725772346878	0.385625265795951
18.180	1.954	0.667963030000677	0.408889237394402
22.533	1.889	0.588565898089815	0.444331744979223
25.868	1.836	0.532988906023542	0.474486704164683
