T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.2155	5.00043	6.75181e-06	-0.0665989	3.35192e-06	8.45235e-06
1	1.25893e-08	14.0608	5.00013	6.7501e-06	-0.0665989	3.9125e-06	9.86591e-06
1	1.58489e-08	13.9062	5.00036	6.75142e-06	-0.0665989	4.56684e-06	1.15159e-05
1	1.99526e-08	13.7515	5.00011	6.74993e-06	-0.0665989	5.33063e-06	1.34419e-05
1	2.51189e-08	13.5969	5.00036	6.75143e-06	-0.0665989	6.22218e-06	1.56901e-05
1	3.16228e-08	13.4422	5.00013	6.75008e-06	-0.0665989	7.26287e-06	1.83144e-05
1	3.98107e-08	13.2876	5.00041	6.75169e-06	-0.0665989	8.47762e-06	2.13775e-05
1	5.01187e-08	13.1329	5.00019	6.75043e-06	-0.0665989	9.89557e-06	2.49531e-05
1	6.30957e-08	12.9783	5.00048	6.75211e-06	-0.0665989	1.15507e-05	2.91267e-05
1	7.94328e-08	12.8236	5.00027	6.75091e-06	-0.0665989	1.34826e-05	3.39984e-05
1	1e-07	12.6689	5.00007	6.74973e-06	-0.0665989	1.57378e-05	3.9685e-05
1	1.25893e-07	12.5143	5.00037	6.75147e-06	-0.0665988	1.83701e-05	4.63227e-05
1	1.58489e-07	12.3596	5.00017	6.75032e-06	-0.0665988	2.14427e-05	5.40707e-05
1	1.99526e-07	12.205	5.00048	6.75208e-06	-0.0665988	2.50292e-05	6.31147e-05
1	2.51189e-07	12.0503	5.00028	6.75094e-06	-0.0665988	2.92157e-05	7.36714e-05
1	3.16228e-07	11.8956	5.00009	6.74981e-06	-0.0665988	3.41023e-05	8.59939e-05
1	3.98107e-07	11.741	5.00039	6.7516e-06	-0.0665988	3.98064e-05	0.000100377
0.999999	5.01187e-07	11.5863	5.0002	6.75048e-06	-0.0665987	4.64645e-05	0.000117167
0.999999	6.30957e-07	11.4316	5.00001	6.74936e-06	-0.0665987	5.42363e-05	0.000136764
0.999999	7.94328e-07	11.277	5.00032	6.75116e-06	-0.0665986	6.3308e-05	0.00015964
0.999999	1e-06	11.1223	5.00013	6.75005e-06	-0.0665985	7.38971e-05	0.000186342
0.999999	1.25893e-06	10.9677	5.00044	6.75185e-06	-0.0665984	8.62574e-05	0.00021751
0.999998	1.58489e-06	10.813	5.00025	6.75074e-06	-0.0665983	0.000100685	0.000253891
0.999998	1.99526e-06	10.6583	5.00006	6.74964e-06	-0.0665982	0.000117526	0.000296358
0.999997	2.51189e-06	10.5037	5.00037	6.75145e-06	-0.066598	0.000137184	0.000345928
0.999997	3.16228e-06	10.349	5.00018	6.75035e-06	-0.0665978	0.00016013	0.000403789
0.999996	3.98107e-06	10.1944	5.00049	6.75217e-06	-0.0665975	0.000186914	0.000471327
0.999995	5.01187e-06	10.0397	5.0003	6.75108e-06	-0.0665971	0.000218178	0.000550163
0.999994	6.30957e-06	9.885	5.00012	6.75e-06	-0.0665967	0.000254671	0.000642185
0.999992	7.94328e-06	9.7304	5.00043	6.75183e-06	-0.0665961	0.000297268	0.000749598
0.99999	1e-05	9.5757	5.00025	6.75076e-06	-0.0665954	0.000346991	0.000874978
0.999987	1.25893e-05	9.421	5.00007	6.7497e-06	-0.0665944	0.00040503	0.00102133
0.999984	1.58489e-05	9.2664	5.00039	6.75157e-06	-0.0665933	0.000472778	0.00119216
0.99998	1.99526e-05	9.1117	5.00021	6.75054e-06	-0.0665918	0.000551858	0.00139156
0.999975	2.51189e-05	8.957	5.00004	6.74953e-06	-0.06659	0.000644166	0.00162431
0.999968	3.16228e-05	8.8024	5.00037	6.75145e-06	-0.0665877	0.000751914	0.001896
0.99996	3.98107e-05	8.6477	5.0002	6.7505e-06	-0.0665848	0.000877686	0.00221312
