1-T/Tc	cp	l	Kr/K0	e	
1e-08	1.09061e+06	14.3593	7.34187e-06	-0.0759088
1.49182e-08	441152	14.0908	9.60262e-06	-0.0759088
2.22554e-08	169181	13.8223	1.25605e-05	-0.0759088
3.32012e-08	59564.8	13.5537	1.64303e-05	-0.0759088
4.95303e-08	18210.5	13.2851	2.14931e-05	-0.0759088
7.38906e-08	4385.26	13.0165	2.81166e-05	-0.0759088
1.10232e-07	763.001	12.7479	3.67818e-05	-0.0759088
1.64446e-07	230.916	12.4792	4.8118e-05	-0.0759088
2.45325e-07	220.155	12.2105	6.29486e-05	-0.0759087
3.65982e-07	215.33	11.9419	8.23504e-05	-0.0759087
5.45982e-07	207.138	11.6732	0.000107733	-0.0759086
8.14509e-07	203.114	11.4045	0.000140938	-0.0759085
1.2151e-06	197.409	11.1359	0.000184379	-0.0759084
1.81272e-06	189.794	10.8672	0.00024121	-0.0759081
2.70426e-06	184.841	10.5985	0.000315558	-0.0759078
4.03429e-06	178.839	10.3298	0.000412822	-0.0759073
6.01845e-06	173.7	10.0612	0.000540066	-0.0759065
8.97847e-06	166.579	9.7925	0.00070653	-0.0759054
1.33943e-05	160.977	9.5238	0.000924303	-0.0759037
1.9982e-05	154.765	9.2551	0.0012092	-0.0759012
2.98096e-05	149.276	8.9864	0.00158191	-0.0758974
4.44707e-05	142.4	8.7177	0.00206949	-0.0758918
6.63424e-05	136.448	8.4491	0.00270736	-0.0758834
9.89713e-05	129.421	8.1804	0.00354182	-0.0758709
0.000147648	122.996	7.9116	0.00463347	-0.0758522
0.000220265	116.015	7.6429	0.00606154	-0.0758244
0.000328596	110.706	7.3742	0.00792969	-0.075783
0.000490208	103.981	7.1054	0.0103735	-0.0757214
0.000731304	98.7822	6.8365	0.0135702	-0.0756297
0.00109098	92.9296	6.5675	0.0177515	-0.0754936
0.00162755	85.1474	6.2984	0.0232202	-0.0752915
0.00242802	76.5349	6.0291	0.030372	-0.0749924
0.00362217	72.5421	5.7595	0.039723	-0.0745508
0.00540365	65.679	5.4895	0.0519466	-0.0739013
0.0080613	58.8092	5.2187	0.0679189	-0.0729509
