1-T/Tc	cp	l	Kr/K0	e	
1e-08	3.47256e+06	14.4741	1.02208e-05	-0.0523131
1.49182e-08	1.4569e+06	14.2054	1.33712e-05	-0.0523131
2.22554e-08	591718	13.9367	1.74926e-05	-0.0523131
3.32012e-08	228454	13.668	2.28843e-05	-0.0523131
4.95303e-08	81378.3	13.3994	2.99379e-05	-0.0523131
7.38906e-08	25373.8	13.1307	3.91657e-05	-0.0523131
1.10232e-07	6317.48	12.862	5.12378e-05	-0.0523131
1.64446e-07	1140.65	12.5933	6.70308e-05	-0.0523131
2.45325e-07	293.516	12.3247	8.76917e-05	-0.052313
3.65982e-07	261.4	12.056	0.000114721	-0.052313
5.45982e-07	254.093	11.7873	0.000150081	-0.0523129
8.14509e-07	246.236	11.5186	0.000196341	-0.0523129
1.2151e-06	239.659	11.25	0.000256859	-0.0523127
1.81272e-06	232.545	10.9813	0.000336031	-0.0523126
2.70426e-06	224.682	10.7126	0.000439606	-0.0523123
4.03429e-06	218.208	10.4439	0.000575105	-0.0523119
6.01845e-06	210.956	10.1753	0.000752369	-0.0523113
8.97847e-06	203.568	9.9066	0.00098427	-0.0523104
1.33943e-05	195.915	9.6379	0.00128765	-0.0523091
1.9982e-05	188.772	9.3692	0.00168454	-0.0523071
2.98096e-05	182.049	9.1005	0.00220375	-0.0523041
4.44707e-05	174.177	8.8319	0.00288299	-0.0522997
6.63424e-05	166.883	8.5632	0.00377156	-0.0522931
9.89713e-05	159.638	8.2945	0.00493399	-0.0522833
0.000147648	151.963	8.0258	0.00645461	-0.0522687
0.000220265	144.844	7.7571	0.00844378	-0.0522469
0.000328596	136.73	7.4884	0.0110457	-0.0522144
0.000490208	129.042	7.2196	0.0144491	-0.052166
0.000731304	120.923	6.9508	0.0189001	-0.0520941
0.00109098	113.839	6.682	0.0247207	-0.0519872
0.00162755	105.812	6.4131	0.0323305	-0.0518286
0.00242802	98.737	6.1441	0.0422764	-0.0515938
0.00362217	89.8508	5.8749	0.0552694	-0.0512471
0.00540365	81.8284	5.6054	0.0722307	-0.0507372
0.0080613	74.3488	5.3357	0.0943479	-0.0499912
