T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.2735	5.00008	6.74978e-06	-0.0553018	3.16282e-06	9.84593e-06
1	1.25893e-08	14.1189	5.00039	6.75158e-06	-0.0553018	3.69185e-06	1.14928e-05
1	1.58489e-08	13.9642	5.0002	6.75047e-06	-0.0553018	4.30936e-06	1.34151e-05
1	1.99526e-08	13.8095	5.00001	6.74937e-06	-0.0553018	5.03015e-06	1.5659e-05
1	2.51189e-08	13.6549	5.00032	6.75117e-06	-0.0553018	5.87151e-06	1.82781e-05
1	3.16228e-08	13.5002	5.00013	6.75006e-06	-0.0553018	6.8536e-06	2.13354e-05
1	3.98107e-08	13.3456	5.00044	6.75187e-06	-0.0553018	7.99996e-06	2.4904e-05
1	5.01187e-08	13.1909	5.00025	6.75076e-06	-0.0553018	9.33806e-06	2.90696e-05
1	6.30957e-08	13.0362	5.00006	6.74965e-06	-0.0553018	1.09e-05	3.39318e-05
1	7.94328e-08	12.8816	5.00037	6.75146e-06	-0.0553018	1.27231e-05	3.96074e-05
1	1e-07	12.7269	5.00018	6.75035e-06	-0.0553018	1.48513e-05	4.62322e-05
1	1.25893e-07	12.5723	5.00049	6.75215e-06	-0.0553018	1.73353e-05	5.39652e-05
1	1.58489e-07	12.4176	5.0003	6.75105e-06	-0.0553018	2.02349e-05	6.29916e-05
1	1.99526e-07	12.2629	5.00011	6.74994e-06	-0.0553018	2.36194e-05	7.35278e-05
1	2.51189e-07	12.1083	5.00042	6.75174e-06	-0.0553017	2.75701e-05	8.58263e-05
1	3.16228e-07	11.9536	5.00023	6.75064e-06	-0.0553017	3.21816e-05	0.000100182
1	3.98107e-07	11.7989	5.00004	6.74953e-06	-0.0553017	3.75644e-05	0.000116939
0.999999	5.01187e-07	11.6443	5.00035	6.75134e-06	-0.0553017	4.38475e-05	0.000136498
0.999999	6.30957e-07	11.4896	5.00016	6.75023e-06	-0.0553016	5.11816e-05	0.000159329
0.999999	7.94328e-07	11.335	5.00047	6.75204e-06	-0.0553016	5.97424e-05	0.000185979
0.999999	1e-06	11.1803	5.00028	6.75093e-06	-0.0553015	6.97351e-05	0.000217087
0.999999	1.25893e-06	11.0256	5.00009	6.74983e-06	-0.0553014	8.13993e-05	0.000253397
0.999998	1.58489e-06	10.871	5.0004	6.75164e-06	-0.0553013	9.50144e-05	0.000295781
0.999998	1.99526e-06	10.7163	5.00021	6.75054e-06	-0.0553012	0.000110907	0.000345254
0.999997	2.51189e-06	10.5616	5.00002	6.74944e-06	-0.055301	0.000129458	0.000403003
0.999997	3.16228e-06	10.407	5.00033	6.75125e-06	-0.0553008	0.000151111	0.00047041
0.999996	3.98107e-06	10.2523	5.00014	6.75015e-06	-0.0553006	0.000176386	0.000549092
0.999995	5.01187e-06	10.0977	5.00046	6.75197e-06	-0.0553002	0.00020589	0.000640935
0.999994	6.30957e-06	9.943	5.00027	6.75088e-06	-0.0552998	0.000240327	0.000748139
0.999992	7.94328e-06	9.7883	5.00008	6.7498e-06	-0.0552993	0.000280526	0.000873275
0.99999	1e-05	9.6337	5.0004	6.75163e-06	-0.0552987	0.000327448	0.00101934
0.999987	1.25893e-05	9.479	5.00021	6.75056e-06	-0.0552979	0.000382218	0.00118984
0.999984	1.58489e-05	9.3243	5.00003	6.7495e-06	-0.0552969	0.00044615	0.00138885
0.99998	1.99526e-05	9.1697	5.00035	6.75136e-06	-0.0552956	0.000520775	0.00162115
0.999975	2.51189e-05	9.015	5.00017	6.75033e-06	-0.055294	0.000607884	0.00189231
0.999968	3.16228e-05	8.8603	5	6.74931e-06	-0.0552919	0.000709562	0.00220881
0.99996	3.98107e-05	8.7057	5.00033	6.75123e-06	-0.0552894	0.000828249	0.00257825
0.99995	5.01187e-05	8.551	5.00016	6.75027e-06	-0.0552861	0.00096679	0.00300949
0.999937	6.30957e-05	8.3963	5.00001	6.74935e-06	-0.0552821	0.00112851	0.00351284
0.999921	7.94328e-05	8.2417	5.00036	6.75138e-06	-0.055277	0.00131727	0.00410037
0.9999	0.0001	8.087	5.00022	6.75056e-06	-0.0552705	0.00153762	0.00478617
0.999874	0.000125893	7.9323	5.00009	6.74982e-06	-0.0552625	0.00179483	0.00558664
0.999842	0.000158489	7.7777	5.00048	6.75208e-06	-0.0552523	0.00209507	0.00652097
0.9998	0.000199526	7.623	5.00039	6.75155e-06	-0.0552395	0.00244555	0.00761153
0.999749	0.000251189	7.4683	5.00032	6.75117e-06	-0.0552234	0.00285467	0.00888442
0.999684	0.000316228	7.3136	5.00029	6.75098e-06	-0.0552031	0.00333226	0.0103701
0.999602	0.000398107	7.1589	5.0003	6.75102e-06	-0.0551776	0.00388978	0.0121041
0.999499	0.000501187	7.0042	5.00036	6.75135e-06	-0.0551456	0.00454063	0.014128
0.999369	0.000630957	6.8495	5.00048	6.75205e-06	-0.0551054	0.00530044	0.01649
0.999206	0.000794328	6.6947	5.00019	6.7503e-06	-0.0550548	0.0061875	0.0192465
0.999	0.001	6.54	5.0005	6.75203e-06	-0.0549913	0.00722316	0.0224634
0.998741	0.00125893	6.3852	5.00043	6.75158e-06	-0.0549116	0.00843238	0.0262171
0.998415	0.00158489	6.2303	5.00003	6.74911e-06	-0.0548115	0.00984436	0.0305971
0.998005	0.00199526	6.0755	5.00033	6.75068e-06	-0.0546861	0.0114932	0.0357073
0.997488	0.00251189	5.9206	5.00038	6.75073e-06	-0.0545291	0.013419	0.0416686
0.996838	0.00316228	5.7656	5.00025	6.74961e-06	-0.0543326	0.0156684	0.0486217
0.996019	0.00398107	5.6105	5.00002	6.74773e-06	-0.054087	0.0182963	0.0567299
0.994988	0.00501187	5.4554	5.00029	6.7485e-06	-0.0537804	0.0213671	0.0661828
0.99369	0.00630957	5.3001	5.00019	6.74674e-06	-0.0533986	0.0249564	0.0771997
0.992057	0.00794328	5.1447	5.00038	6.7461e-06	-0.0529237	0.0291533	0.090034
