T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.1804	5.00013	6.75004e-06	-0.0748508	3.47145e-06	7.47036e-06
1	1.25893e-08	14.0259	5.00027	6.75086e-06	-0.0748508	4.05156e-06	8.71871e-06
1	1.58489e-08	13.8713	5.00004	6.74957e-06	-0.0748508	4.72873e-06	1.01759e-05
1	1.99526e-08	13.7168	5.00043	6.75182e-06	-0.0748508	5.51921e-06	1.1877e-05
1	2.51189e-08	13.5622	5.00041	6.75168e-06	-0.0748508	6.44194e-06	1.38627e-05
1	3.16228e-08	13.4076	5.00045	6.75193e-06	-0.0748508	7.51904e-06	1.61805e-05
1	3.98107e-08	13.2529	5.00005	6.74959e-06	-0.0748508	8.77633e-06	1.88861e-05
1	5.01187e-08	13.0983	5.00019	6.75042e-06	-0.0748508	1.02439e-05	2.20443e-05
1	6.30957e-08	12.9437	5.00037	6.75144e-06	-0.0748508	1.19571e-05	2.57309e-05
1	7.94328e-08	12.789	5.00007	6.74972e-06	-0.0748508	1.39567e-05	3.00341e-05
1	1e-07	12.6344	5.0003	6.75103e-06	-0.0748508	1.62909e-05	3.50571e-05
1	1.25893e-07	12.4797	5.00004	6.74954e-06	-0.0748508	1.90155e-05	4.09203e-05
1	1.58489e-07	12.3251	5.0003	6.75103e-06	-0.0748508	2.21959e-05	4.77642e-05
1	1.99526e-07	12.1704	5.00006	6.74968e-06	-0.0748508	2.59082e-05	5.5753e-05
1	2.51189e-07	12.0158	5.00034	6.75129e-06	-0.0748507	3.02415e-05	6.50779e-05
1	3.16228e-07	11.8611	5.00012	6.75003e-06	-0.0748507	3.52997e-05	7.59627e-05
1	3.98107e-07	11.7065	5.00041	6.75171e-06	-0.0748507	4.12038e-05	8.86681e-05
0.999999	5.01187e-07	11.5518	5.00021	6.75051e-06	-0.0748506	4.80955e-05	0.000103499
0.999999	6.30957e-07	11.3971	5	6.74933e-06	-0.0748506	5.614e-05	0.00012081
0.999999	7.94328e-07	11.2425	5.0003	6.75107e-06	-0.0748505	6.55301e-05	0.000141017
0.999999	1e-06	11.0878	5.0001	6.74992e-06	-0.0748504	7.64907e-05	0.000164603
0.999999	1.25893e-06	10.9332	5.00041	6.75169e-06	-0.0748503	8.92847e-05	0.000192135
0.999998	1.58489e-06	10.7785	5.00021	6.75056e-06	-0.0748502	0.000104219	0.000224272
0.999998	1.99526e-06	10.6238	5.00002	6.74944e-06	-0.0748501	0.000121651	0.000261784
0.999997	2.51189e-06	10.4692	5.00033	6.75123e-06	-0.0748499	0.000141998	0.000305571
0.999997	3.16228e-06	10.3145	5.00014	6.75012e-06	-0.0748496	0.000165749	0.000356681
0.999996	3.98107e-06	10.1599	5.00045	6.75193e-06	-0.0748493	0.000193473	0.000416341
0.999995	5.01187e-06	10.0052	5.00026	6.75084e-06	-0.0748489	0.000225834	0.000485979
0.999994	6.30957e-06	9.8505	5.00008	6.74975e-06	-0.0748484	0.000263608	0.000567265
0.999992	7.94328e-06	9.6959	5.00039	6.75158e-06	-0.0748478	0.0003077	0.000662147
0.99999	1e-05	9.5412	5.00021	6.75052e-06	-0.074847	0.000359168	0.0007729
0.999987	1.25893e-05	9.3865	5.00003	6.74946e-06	-0.074846	0.000419244	0.000902177
0.999984	1.58489e-05	9.2319	5.00035	6.75133e-06	-0.0748448	0.00048937	0.00105308
0.99998	1.99526e-05	9.0772	5.00017	6.75032e-06	-0.0748432	0.000571225	0.00122922
0.999975	2.51189e-05	8.9225	5	6.74932e-06	-0.0748413	0.000666772	0.00143482
0.999968	3.16228e-05	8.7679	5.00034	6.75127e-06	-0.0748388	0.000778303	0.00167481
0.99996	3.98107e-05	8.6132	5.00018	6.75034e-06	-0.0748357	0.00090849	0.00195494
0.99995	5.01187e-05	8.4585	5.00003	6.74946e-06	-0.0748318	0.00106046	0.00228192
0.999937	6.30957e-05	8.3039	5.00038	6.75155e-06	-0.0748268	0.00123784	0.00266359
0.999921	7.94328e-05	8.1492	5.00026	6.7508e-06	-0.0748206	0.00144491	0.0031091
0.9999	0.0001	7.9945	5.00014	6.75015e-06	-0.0748128	0.00168661	0.00362912
0.999874	0.000125893	7.8398	5.00005	6.74962e-06	-0.0748029	0.00196876	0.00423612
0.999842	0.000158489	7.6852	5.00048	6.75214e-06	-0.0747906	0.00229812	0.00494463
0.9998	0.000199526	7.5305	5.00045	6.75194e-06	-0.074775	0.00268259	0.00577162
0.999749	0.000251189	7.3758	5.00046	6.75198e-06	-0.0747554	0.00313141	0.00673692
0.999684	0.000316228	7.221	5.00001	6.74941e-06	-0.0747308	0.00365536	0.00786364
0.999602	0.000398107	7.0663	5.00013	6.75012e-06	-0.0746998	0.00426704	0.00917875
0.999499	0.000501187	6.9116	5.00034	6.75131e-06	-0.0746608	0.00498115	0.0107138
0.999369	0.000630957	6.7568	5.00014	6.75019e-06	-0.0746119	0.00581489	0.0125054
0.999206	0.000794328	6.602	5.00007	6.74983e-06	-0.0745504	0.00678835	0.0145965
0.999	0.001	6.4472	5.00017	6.75042e-06	-0.0744731	0.00792503	0.0170371
0.998741	0.00125893	6.2924	5.00046	6.75221e-06	-0.0743762	0.00925243	0.0198856
0.998415	0.00158489	6.1374	5.00002	6.74972e-06	-0.0742545	0.0108027	0.0232099
0.998005	0.00199526	5.9825	5.0004	6.75207e-06	-0.0741021	0.0126136	0.0270895
0.997488	0.00251189	5.8274	5.00019	6.75106e-06	-0.0739111	0.0147292	0.0316167
0.996838	0.00316228	5.6723	5.00049	6.75315e-06	-0.0736721	0.0172014	0.0368993
0.996019	0.00398107	5.517	5.00045	6.75337e-06	-0.0733735	0.0200912	0.043063
0.994988	0.00501187	5.3615	5.00024	6.75279e-06	-0.0730008	0.0234704	0.0502538
0.99369	0.00630957	5.2058	5.00007	6.75279e-06	-0.0725364	0.0274237	0.0586417
0.992057	0.00794328	5.0499	5.00022	6.75514e-06	-0.0719589	0.0320513	0.0684245
