1-T/Tc	cp	l	Kr/K0	e	
1e-08	1.66361e+06	14.3909	8.25396e-06	-0.0682149
1.49182e-08	682519	14.1223	1.07973e-05	-0.0682149
2.22554e-08	267675	13.8537	1.41246e-05	-0.0682149
3.32012e-08	97742.2	13.5851	1.84776e-05	-0.0682149
4.95303e-08	31765.1	13.3164	2.41725e-05	-0.0682149
7.38906e-08	8487.5	13.0478	3.16227e-05	-0.0682149
1.10232e-07	1653.38	12.7791	4.13693e-05	-0.0682149
1.64446e-07	323.337	12.5104	5.41203e-05	-0.0682149
2.45325e-07	243.193	12.2418	7.08014e-05	-0.0682148
3.65982e-07	238.214	11.9731	9.26243e-05	-0.0682148
5.45982e-07	229.202	11.7044	0.000121174	-0.0682147
8.14509e-07	223.774	11.4357	0.000158523	-0.0682146
1.2151e-06	216.77	11.1671	0.000207384	-0.0682145
1.81272e-06	209.757	10.8984	0.000271306	-0.0682143
2.70426e-06	205.205	10.6297	0.000354931	-0.068214
4.03429e-06	197.228	10.361	0.000464331	-0.0682135
6.01845e-06	190.596	10.0924	0.000607451	-0.0682128
8.97847e-06	183.788	9.8237	0.000794685	-0.0682117
1.33943e-05	176.719	9.555	0.00103963	-0.0682101
1.9982e-05	170.694	9.2863	0.00136007	-0.0682077
2.98096e-05	163.049	9.0176	0.00177928	-0.0682042
4.44707e-05	157.959	8.749	0.0023277	-0.0681989
6.63424e-05	150.298	8.4803	0.00304514	-0.0681911
9.89713e-05	143.376	8.2116	0.00398371	-0.0681794
0.000147648	136.56	7.9429	0.00521152	-0.0681619
0.000220265	129.916	7.6741	0.00681771	-0.0681359
0.000328596	124.296	7.4054	0.00891882	-0.0680971
0.000490208	115.736	7.1366	0.0116673	-0.0680394
0.000731304	107.978	6.8678	0.0152623	-0.0679536
0.00109098	102.107	6.5989	0.0199642	-0.067826
0.00162755	95.6636	6.3298	0.0261132	-0.0676368
0.00242802	87.8456	6.0606	0.0341532	-0.0673567
0.00362217	79.6232	5.7911	0.0446629	-0.0669431
0.00540365	72.5783	5.5212	0.0583956	-0.0663348
0.0080613	64.8174	5.2507	0.0763288	-0.0654448
