1-T/Tc	cp	l	Kr/K0	e	
1e-08	6.1274e+16	14.4832	1.04109e-05	-0.0508365
1.49182e-08	2.73648e+16	14.2145	1.36198e-05	-0.0508365
2.22554e-08	1.2221e+16	13.9458	1.78178e-05	-0.0508365
3.32012e-08	5.45948e+15	13.6772	2.33098e-05	-0.0508365
4.95303e-08	2.43818e+15	13.4085	3.04946e-05	-0.0508365
7.38906e-08	1.08888e+15	13.1398	3.9894e-05	-0.0508365
1.10232e-07	4.86287e+14	12.8711	5.21905e-05	-0.0508365
1.64446e-07	2.17238e+14	12.6025	6.82772e-05	-0.0508365
2.45325e-07	9.70168e+13	12.3338	8.93223e-05	-0.0508365
3.65982e-07	4.33267e+13	12.0651	0.000116854	-0.0508364
5.45982e-07	1.93491e+13	11.7964	0.000152872	-0.0508364
8.14509e-07	8.64358e+12	11.5278	0.000199992	-0.0508363
1.2151e-06	3.86001e+12	11.2591	0.000261635	-0.0508362
1.81272e-06	1.72374e+12	10.9904	0.000342279	-0.050836
2.70426e-06	7.69736e+11	10.7217	0.00044778	-0.0508358
4.03429e-06	3.4381e+11	10.4531	0.000585799	-0.0508354
6.01845e-06	1.53508e+11	10.1844	0.000766359	-0.0508348
8.97847e-06	6.85322e+10	9.9157	0.00100257	-0.0508339
1.33943e-05	3.05902e+10	9.647	0.00131159	-0.0508326
1.9982e-05	1.36549e+10	9.3784	0.00171586	-0.0508306
2.98096e-05	6.09114e+09	9.1097	0.00224472	-0.0508277
4.44707e-05	2.71555e+09	8.841	0.00293659	-0.0508234
6.63424e-05	1.20961e+09	8.5723	0.00384169	-0.050817
9.89713e-05	5.38119e+08	8.3036	0.00502572	-0.0508073
0.000147648	2.38935e+08	8.0349	0.00657461	-0.050793
0.000220265	1.05788e+08	7.7662	0.00860074	-0.0507716
0.000328596	4.66369e+07	7.4975	0.011251	-0.0507398
0.000490208	2.04278e+07	7.2288	0.0147175	-0.0506924
0.000731304	8.85847e+06	6.96	0.0192512	-0.0506219
0.00109098	3.78524e+06	6.6912	0.0251797	-0.0505171
0.00162755	1.58092e+06	6.4223	0.0329303	-0.0503616
0.00242802	637462	6.1533	0.0430599	-0.0501313
0.00362217	243140	5.8841	0.056292	-0.0497915
0.00540365	84761.7	5.6147	0.0735637	-0.0492916
0.0080613	25354.4	5.345	0.0960823	-0.0485602
