T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.1922	5.00012	6.75e-06	-0.0718964	3.43073e-06	7.81966e-06
1	1.25893e-08	14.0377	5.00044	6.75186e-06	-0.0718964	4.00417e-06	9.1267e-06
1	1.58489e-08	13.8831	5.00036	6.75139e-06	-0.0718964	4.67355e-06	1.06524e-05
1	1.99526e-08	13.7285	5.00036	6.7514e-06	-0.0718964	5.45493e-06	1.24334e-05
1	2.51189e-08	13.5739	5.00042	6.75177e-06	-0.0718964	6.36703e-06	1.45124e-05
1	3.16228e-08	13.4192	5.00004	6.74952e-06	-0.0718964	7.43171e-06	1.69391e-05
1	3.98107e-08	13.2646	5.00019	6.75042e-06	-0.0718964	8.67449e-06	1.97718e-05
1	5.01187e-08	13.11	5.00038	6.75151e-06	-0.0718964	1.01252e-05	2.30783e-05
1	6.30957e-08	12.9553	5.00009	6.74983e-06	-0.0718964	1.18185e-05	2.69379e-05
1	7.94328e-08	12.8007	5.00032	6.75118e-06	-0.0718964	1.37951e-05	3.14432e-05
1	1e-07	12.646	5.00007	6.74972e-06	-0.0718964	1.61023e-05	3.6702e-05
1	1.25893e-07	12.4914	5.00033	6.75124e-06	-0.0718964	1.87954e-05	4.28405e-05
1	1.58489e-07	12.3367	5.0001	6.7499e-06	-0.0718964	2.19391e-05	5.00057e-05
1	1.99526e-07	12.1821	5.00038	6.75153e-06	-0.0718963	2.56085e-05	5.83695e-05
1	2.51189e-07	12.0274	5.00017	6.75028e-06	-0.0718963	2.98917e-05	6.81322e-05
1	3.16228e-07	11.8728	5.00046	6.75197e-06	-0.0718963	3.48914e-05	7.95279e-05
1	3.98107e-07	11.7181	5.00025	6.75077e-06	-0.0718963	4.07273e-05	9.28297e-05
0.999999	5.01187e-07	11.5634	5.00005	6.7496e-06	-0.0718962	4.75394e-05	0.000108356
0.999999	6.30957e-07	11.4088	5.00035	6.75134e-06	-0.0718962	5.54909e-05	0.00012648
0.999999	7.94328e-07	11.2541	5.00015	6.7502e-06	-0.0718961	6.47724e-05	0.000147636
0.999999	1e-06	11.0995	5.00046	6.75197e-06	-0.0718961	7.56063e-05	0.000172329
0.999999	1.25893e-06	10.9448	5.00026	6.75084e-06	-0.071896	8.82524e-05	0.000201154
0.999998	1.58489e-06	10.7901	5.00007	6.74972e-06	-0.0718958	0.000103014	0.000234799
0.999998	1.99526e-06	10.6355	5.00038	6.75151e-06	-0.0718957	0.000120244	0.000274072
0.999997	2.51189e-06	10.4808	5.00019	6.7504e-06	-0.0718955	0.000140357	0.000319914
0.999997	3.16228e-06	10.3262	5.0005	6.7522e-06	-0.0718952	0.000163833	0.000373424
0.999996	3.98107e-06	10.1715	5.00031	6.7511e-06	-0.0718949	0.000191236	0.000435883
0.999995	5.01187e-06	10.0168	5.00012	6.75001e-06	-0.0718946	0.000223223	0.00050879
0.999994	6.30957e-06	9.8622	5.00043	6.75184e-06	-0.0718941	0.000260561	0.000593892
0.999992	7.94328e-06	9.7075	5.00025	6.75076e-06	-0.0718935	0.000304143	0.000693228
0.99999	1e-05	9.5528	5.00007	6.74969e-06	-0.0718927	0.000355016	0.000809179
0.999987	1.25893e-05	9.3982	5.00038	6.75155e-06	-0.0718917	0.000414397	0.000944524
0.999984	1.58489e-05	9.2435	5.00021	6.75051e-06	-0.0718905	0.000483712	0.00110251
0.99998	1.99526e-05	9.0888	5.00003	6.74948e-06	-0.071889	0.000564621	0.00128692
0.999975	2.51189e-05	8.9342	5.00036	6.75139e-06	-0.0718871	0.000659064	0.00150217
0.999968	3.16228e-05	8.7795	5.00019	6.75042e-06	-0.0718847	0.000769304	0.00175342
0.99996	3.98107e-05	8.6248	5.00003	6.74949e-06	-0.0718816	0.000897986	0.0020467
0.99995	5.01187e-05	8.4702	5.00038	6.7515e-06	-0.0718778	0.00104819	0.00238903
0.999937	6.30957e-05	8.3155	5.00023	6.75067e-06	-0.071873	0.00122353	0.00278862
0.999921	7.94328e-05	8.1608	5.0001	6.74991e-06	-0.0718669	0.0014282	0.00325503
0.9999	0.0001	8.0062	5.00049	6.75214e-06	-0.0718593	0.00166711	0.00379946
0.999874	0.000125893	7.8515	5.00039	6.75158e-06	-0.0718497	0.00194599	0.00443494
0.999842	0.000158489	7.6968	5.00032	6.75116e-06	-0.0718376	0.00227154	0.00517669
0.9998	0.000199526	7.5421	5.00027	6.75091e-06	-0.0718224	0.00265156	0.0060425
0.999749	0.000251189	7.3874	5.00027	6.7509e-06	-0.0718033	0.00309518	0.00705308
