1-T/Tc	cp	l	Kr/K0	e	
1e-08	405818	14.4053	8.62705e-06	-0.0651121
1.49182e-08	153200	14.1366	1.12862e-05	-0.0651121
2.22554e-08	52612.8	13.868	1.47649e-05	-0.0651121
3.32012e-08	15411.7	13.5993	1.93159e-05	-0.0651121
4.95303e-08	3456.41	13.3306	2.52696e-05	-0.0651121
7.38906e-08	578.636	13.0619	3.30585e-05	-0.0651121
1.10232e-07	266.486	12.7933	4.32481e-05	-0.0651121
1.64446e-07	260.753	12.5246	5.65785e-05	-0.0651121
2.45325e-07	249.003	12.2559	7.40178e-05	-0.0651121
3.65982e-07	245.059	11.9872	9.68323e-05	-0.065112
5.45982e-07	238.942	11.7186	0.000126679	-0.065112
8.14509e-07	232.189	11.4499	0.000165725	-0.0651119
1.2151e-06	226.64	11.1812	0.000216807	-0.0651117
1.81272e-06	217.464	10.9125	0.000283633	-0.0651115
2.70426e-06	214.54	10.6439	0.000371057	-0.0651112
4.03429e-06	206.768	10.3752	0.000485428	-0.0651107
6.01845e-06	189.854	10.1065	0.000635051	-0.06511
8.97847e-06	190.523	9.8378	0.000830793	-0.065109
1.33943e-05	178.607	9.5692	0.00108687	-0.0651075
1.9982e-05	169.833	9.3005	0.00142187	-0.0651052
2.98096e-05	168.163	9.0318	0.00186012	-0.0651017
4.44707e-05	162.967	8.7631	0.00243346	-0.0650966
6.63424e-05	152.941	8.4944	0.0031835	-0.065089
9.89713e-05	147.213	8.2257	0.0041647	-0.0650776
0.000147648	142.505	7.957	0.00544829	-0.0650607
0.000220265	138.269	7.6883	0.00712742	-0.0650354
0.000328596	127.915	7.4196	0.00932393	-0.0649978
0.000490208	119.888	7.1508	0.0121971	-0.0649418
0.000731304	109.973	6.8819	0.0159552	-0.0648585
0.00109098	104.163	6.613	0.0208704	-0.0647347
0.00162755	96.549	6.344	0.0272978	-0.064551
0.00242802	89.4596	6.0748	0.0357013	-0.0642791
0.00362217	86.6144	5.8054	0.0466849	-0.0638776
0.00540365	73.942	5.5356	0.0610342	-0.0632872
0.0080613	66.9277	5.2653	0.0797679	-0.0624232
