1-T/Tc	cp	l	Kr/K0	e	
1e-08	748080	14.4741	1.02208e-05	-0.0523131
1.49182e-08	293472	14.2054	1.33712e-05	-0.0523131
2.22554e-08	107242	13.9367	1.74926e-05	-0.0523131
3.32012e-08	34887.6	13.668	2.28843e-05	-0.0523131
4.95303e-08	9343.12	13.3994	2.99379e-05	-0.0523131
7.38906e-08	1832.79	13.1307	3.91657e-05	-0.0523131
1.10232e-07	358.993	12.862	5.12378e-05	-0.0523131
1.64446e-07	275.258	12.5933	6.70308e-05	-0.0523131
2.45325e-07	265.588	12.3247	8.76917e-05	-0.052313
3.65982e-07	261.165	12.056	0.000114721	-0.052313
5.45982e-07	255.29	11.7873	0.000150081	-0.0523129
8.14509e-07	243.999	11.5186	0.000196341	-0.0523129
1.2151e-06	238.273	11.25	0.000256859	-0.0523127
1.81272e-06	231.872	10.9813	0.000336031	-0.0523126
2.70426e-06	221.898	10.7126	0.000439606	-0.0523123
4.03429e-06	217.138	10.4439	0.000575105	-0.0523119
6.01845e-06	209.866	10.1753	0.000752369	-0.0523113
8.97847e-06	202.735	9.9066	0.00098427	-0.0523104
1.33943e-05	197.105	9.6379	0.00128765	-0.0523091
1.9982e-05	188.098	9.3692	0.00168454	-0.0523071
2.98096e-05	183.253	9.1005	0.00220375	-0.0523041
4.44707e-05	172.891	8.8319	0.00288299	-0.0522997
6.63424e-05	166.643	8.5632	0.00377156	-0.0522931
9.89713e-05	160.12	8.2945	0.00493399	-0.0522833
0.000147648	151.197	8.0258	0.00645461	-0.0522687
0.000220265	146.161	7.7571	0.00844378	-0.0522469
0.000328596	136.592	7.4884	0.0110457	-0.0522144
0.000490208	129.05	7.2196	0.0144491	-0.052166
0.000731304	119.45	6.9508	0.0189001	-0.0520941
0.00109098	114.714	6.682	0.0247207	-0.0519872
0.00162755	105.843	6.4131	0.0323305	-0.0518286
0.00242802	100.969	6.1441	0.0422764	-0.0515938
0.00362217	90.2656	5.8749	0.0552694	-0.0512471
0.00540365	80.6839	5.6054	0.0722307	-0.0507372
0.0080613	74.7602	5.3357	0.0943479	-0.0499912
