T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.1237	5.00008	6.74978e-06	-0.0941509	3.67394e-06	5.24032e-06
1	1.25893e-08	13.9694	5.00046	6.75199e-06	-0.0941509	4.28723e-06	6.11508e-06
1	1.58489e-08	13.8149	5.00013	6.75009e-06	-0.0941509	5.00319e-06	7.13629e-06
1	1.99526e-08	13.6604	5.00004	6.74955e-06	-0.0941509	5.83898e-06	8.32843e-06
1	2.51189e-08	13.5059	5.00013	6.75009e-06	-0.0941508	6.81465e-06	9.72007e-06
1	3.16228e-08	13.3514	5.00037	6.75149e-06	-0.0941508	7.95359e-06	1.13446e-05
1	3.98107e-08	13.1968	5.00023	6.75066e-06	-0.0941508	9.28309e-06	1.32409e-05
1	5.01187e-08	13.0422	5.00018	6.75037e-06	-0.0941508	1.0835e-05	1.54545e-05
1	6.30957e-08	12.8876	5.00021	6.75051e-06	-0.0941508	1.26466e-05	1.80385e-05
1	7.94328e-08	12.733	5.00029	6.75099e-06	-0.0941508	1.47613e-05	2.10547e-05
1	1e-07	12.5784	5.00042	6.75174e-06	-0.0941508	1.72297e-05	2.45755e-05
1	1.25893e-07	12.4237	5.00009	6.74981e-06	-0.0941508	2.0111e-05	2.86852e-05
1	1.58489e-07	12.2691	5.00028	6.75095e-06	-0.0941508	2.34743e-05	3.34825e-05
1	1.99526e-07	12.1144	5	6.74932e-06	-0.0941508	2.74002e-05	3.90822e-05
1	2.51189e-07	11.9598	5.00024	6.7507e-06	-0.0941508	3.19827e-05	4.56185e-05
1	3.16228e-07	11.8052	5.00049	6.75217e-06	-0.0941507	3.73318e-05	5.32482e-05
1	3.98107e-07	11.6505	5.00026	6.75081e-06	-0.0941507	4.35757e-05	6.21541e-05
0.999999	5.01187e-07	11.4958	5.00003	6.74949e-06	-0.0941506	5.0864e-05	7.25497e-05
0.999999	6.30957e-07	11.3412	5.00031	6.75113e-06	-0.0941506	5.93713e-05	8.46841e-05
0.999999	7.94328e-07	11.1865	5.0001	6.7499e-06	-0.0941505	6.93016e-05	9.88482e-05
0.999999	1e-06	11.0319	5.00039	6.7516e-06	-0.0941504	8.0893e-05	0.000115381
0.999999	1.25893e-06	10.8772	5.00019	6.75042e-06	-0.0941503	9.44232e-05	0.00013468
0.999998	1.58489e-06	10.7226	5.00049	6.75216e-06	-0.0941502	0.000110216	0.000157207
0.999998	1.99526e-06	10.5679	5.00029	6.75102e-06	-0.09415	0.000128651	0.000183501
0.999997	2.51189e-06	10.4132	5.0001	6.74988e-06	-0.0941498	0.00015017	0.000214194
0.999997	3.16228e-06	10.2586	5.00041	6.75167e-06	-0.0941495	0.000175288	0.000250021
0.999996	3.98107e-06	10.1039	5.00021	6.75056e-06	-0.0941491	0.000204607	0.00029184
0.999995	5.01187e-06	9.9492	5.00003	6.74946e-06	-0.0941487	0.00023883	0.000340654
0.999994	6.30957e-06	9.7946	5.00034	6.75128e-06	-0.0941481	0.000278778	0.000397632
0.999992	7.94328e-06	9.6399	5.00015	6.75021e-06	-0.0941474	0.000325408	0.000464141
0.99999	1e-05	9.4853	5.00047	6.75206e-06	-0.0941466	0.000379837	0.000541775
0.999987	1.25893e-05	9.3306	5.00029	6.75102e-06	-0.0941454	0.000443371	0.000632394
0.999984	1.58489e-05	9.1759	5.00012	6.75e-06	-0.094144	0.000517532	0.00073817
0.99998	1.99526e-05	9.0213	5.00045	6.75191e-06	-0.0941423	0.000604099	0.000861638
0.999975	2.51189e-05	8.8666	5.00028	6.75094e-06	-0.0941401	0.000705146	0.00100576
0.999968	3.16228e-05	8.7119	5.00012	6.75001e-06	-0.0941373	0.000823096	0.00117398
