#filename: PressureDependences.dat
#Cc	K0c	A' using exact nu = 0.671688352279845	P (bar)
#ind. variable	(from vlt_K0cFind.c)	(from vlt_ThermStates.c)	(via my Greywall/Ahlers fit)
#1.20	0.280544308975229	2.547521331714410	-3.00
1.10	0.296468939006784	2.456888422657750	0.22
1.06	0.303540712941850	2.418457394784210	1.58
1.05	0.305379423608169	2.408632564723170	1.93
1.04	0.307247922776542	2.398725657522550	2.28
1.03	0.309146998428258	2.388735137018440	2.64
1.02	0.311077467512369	2.378648968796190	3.00
1.01	0.313040177313465	2.368470233944930	3.36
1.00	0.315036006898571	2.358200090492080	3.72
0.99	0.317065868648624	2.347836096092950	4.09
0.98	0.319130709880376	2.337376495948870	4.46
0.97	0.321231514565087	2.326814894473510	4.84
0.90	0.337035371070207	2.250015933883930	7.57
0.80	0.363622865584040	2.130511132647480	11.81
0.70	0.396566972896790	1.997282645559250	16.54
0.60	0.438731007210038	1.847086715346010	21.88
0.55	0.464697047043989	1.764273844406520	24.82
0.50	0.495108289977297	1.675372082276080	27.98
0.40	0.575343429658511	1.475435942194110	35.08
0.30	0.701090942081052	1.236693268640580	43.56
0.20	0.934654978144902	0.940540914286037	54.08
0.10	1.576187055119770	0.547503621170097	68.04
#0.00	5.105045166053440
