1-T/Tc	cp	l	Kr/K0	e	
1e-08	592648	14.4432	9.54424e-06	-0.0576615
1.49182e-08	229102	14.1745	1.24861e-05	-0.0576615
2.22554e-08	81747.8	13.9058	1.63347e-05	-0.0576615
3.32012e-08	25581.1	13.6372	2.13695e-05	-0.0576615
4.95303e-08	6404.11	13.3685	2.79562e-05	-0.0576615
7.38906e-08	1157.76	13.0998	3.65732e-05	-0.0576615
1.10232e-07	296.009	12.8311	4.78462e-05	-0.0576615
1.64446e-07	273.145	12.5624	6.25938e-05	-0.0576614
2.45325e-07	267.386	12.2938	8.18871e-05	-0.0576614
3.65982e-07	260.774	12.0251	0.000107127	-0.0576614
5.45982e-07	252.532	11.7564	0.000140147	-0.0576613
8.14509e-07	242.952	11.4877	0.000183345	-0.0576612
1.2151e-06	237.103	11.2191	0.000239857	-0.0576611
1.81272e-06	228.637	10.9504	0.000313788	-0.0576609
2.70426e-06	222.474	10.6817	0.000410507	-0.0576606
4.03429e-06	215.175	10.413	0.000537037	-0.0576602
6.01845e-06	208.429	10.1444	0.000702567	-0.0576596
8.97847e-06	203.837	9.8757	0.000919118	-0.0576586
1.33943e-05	194.205	9.607	0.00120242	-0.0576572
1.9982e-05	184.057	9.3383	0.00157303	-0.0576551
2.98096e-05	180.746	9.0697	0.00205788	-0.0576519
4.44707e-05	172.896	8.801	0.00269216	-0.0576472
6.63424e-05	164.89	8.5323	0.00352193	-0.0576401
9.89713e-05	158.015	8.2636	0.00460742	-0.0576297
0.000147648	150.911	7.9949	0.00602743	-0.057614
0.000220265	141.558	7.7262	0.007885	-0.0575907
0.000328596	136.093	7.4574	0.0103149	-0.057556
0.000490208	128.06	7.1887	0.0134932	-0.0575043
0.000731304	120.581	6.9199	0.0176501	-0.0574274
0.00109098	112.933	6.651	0.0230865	-0.0573132
0.00162755	106.191	6.3821	0.0301946	-0.0571437
0.00242802	96.0957	6.113	0.0394862	-0.0568927
0.00362217	89.5056	5.8437	0.0516272	-0.0565223
0.00540365	79.9853	5.5741	0.0674816	-0.0559774
0.0080613	73.9301	5.304	0.0881663	-0.0551801
