T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.1097	5.00039	6.75161e-06	-0.105328	3.72597e-06	3.98647e-06
1	1.25893e-08	13.9553	5	6.74933e-06	-0.105328	4.34771e-06	4.65167e-06
1	1.58489e-08	13.801	5.00046	6.75198e-06	-0.105328	5.07355e-06	5.42826e-06
1	1.99526e-08	13.6465	5.00019	6.75043e-06	-0.105328	5.92089e-06	6.33484e-06
1	2.51189e-08	13.492	5.00015	6.75018e-06	-0.105328	6.91006e-06	7.39317e-06
1	3.16228e-08	13.3375	5.00028	6.75094e-06	-0.105328	8.06476e-06	8.6286e-06
1	3.98107e-08	13.1829	5.00005	6.7496e-06	-0.105328	9.41269e-06	1.00708e-05
1	5.01187e-08	13.0284	5.00043	6.75182e-06	-0.105328	1.09861e-05	1.17542e-05
1	6.30957e-08	12.8738	5.0004	6.75164e-06	-0.105328	1.28228e-05	1.37193e-05
1	7.94328e-08	12.7192	5.00044	6.75187e-06	-0.105328	1.49668e-05	1.60132e-05
1	1e-07	12.5645	5.00004	6.74952e-06	-0.105328	1.74695e-05	1.86908e-05
1	1.25893e-07	12.4099	5.00017	6.75033e-06	-0.105327	2.03908e-05	2.18164e-05
1	1.58489e-07	12.2553	5.00035	6.75134e-06	-0.105327	2.38008e-05	2.54648e-05
1	1.99526e-07	12.1006	5.00005	6.74961e-06	-0.105327	2.77812e-05	2.97235e-05
1	2.51189e-07	11.946	5.00028	6.75092e-06	-0.105327	3.24274e-05	3.46945e-05
1	3.16228e-07	11.7913	5.00002	6.74942e-06	-0.105327	3.78508e-05	4.04971e-05
1	3.98107e-07	11.6367	5.00027	6.75091e-06	-0.105327	4.41814e-05	4.72702e-05
0.999999	5.01187e-07	11.482	5.00004	6.74956e-06	-0.105327	5.15709e-05	5.51763e-05
0.999999	6.30957e-07	11.3274	5.00032	6.75116e-06	-0.105327	6.01964e-05	6.44049e-05
0.999999	7.94328e-07	11.1727	5.0001	6.74991e-06	-0.105327	7.02647e-05	7.5177e-05
0.999999	1e-06	11.0181	5.00039	6.75159e-06	-0.105327	8.2017e-05	8.7751e-05
0.999999	1.25893e-06	10.8634	5.00019	6.75039e-06	-0.105327	9.57352e-05	0.000102428
0.999998	1.58489e-06	10.7088	5.00048	6.75212e-06	-0.105327	0.000111748	0.00011956
0.999998	1.99526e-06	10.5541	5.00028	6.75097e-06	-0.105327	0.000130439	0.000139558
0.999997	2.51189e-06	10.3994	5.00009	6.74983e-06	-0.105326	0.000152256	0.000162901
0.999997	3.16228e-06	10.2448	5.00039	6.75161e-06	-0.105326	0.000177723	0.000190148
0.999996	3.98107e-06	10.0901	5.0002	6.7505e-06	-0.105326	0.00020745	0.000221952
0.999995	5.01187e-06	9.9354	5.00001	6.7494e-06	-0.105325	0.000242149	0.000259077
0.999994	6.30957e-06	9.7808	5.00033	6.75122e-06	-0.105325	0.000282651	0.000302411
0.999992	7.94328e-06	9.6261	5.00014	6.75015e-06	-0.105324	0.000329929	0.000352993
0.99999	1e-05	9.4715	5.00046	6.752e-06	-0.105323	0.000385115	0.000412035
0.999987	1.25893e-05	9.3168	5.00028	6.75096e-06	-0.105322	0.000449531	0.000480953
0.999984	1.58489e-05	9.1621	5.00011	6.74994e-06	-0.10532	0.000524723	0.000561399
0.99998	1.99526e-05	9.0075	5.00044	6.75186e-06	-0.105319	0.000612492	0.000655301
0.999975	2.51189e-05	8.8528	5.00027	6.75091e-06	-0.105316	0.000714943	0.000764908
0.999968	3.16228e-05	8.6981	5.00012	6.75e-06	-0.105313	0.000834533	0.00089285
0.99996	3.98107e-05	8.5435	5.00047	6.75205e-06	-0.10531	0.000974128	0.00104219
0.99995	5.01187e-05	8.3888	5.00033	6.75125e-06	-0.105305	0.00113708	0.00121651
0.999937	6.30957e-05	8.2341	5.00021	6.75054e-06	-0.105299	0.00132728	0.00141999
0.999921	7.94328e-05	8.0794	5.00011	6.74993e-06	-0.105292	0.00154932	0.0016575
0.9999	0.0001	7.9247	5.00002	6.74945e-06	-0.105283	0.0018085	0.00193474
0.999874	0.000125893	7.7701	5.00047	6.75204e-06	-0.105271	0.00211105	0.00225836
