filename: fit_Pdep_K0c_results.dat

K0c(P) fit parameters
0.295390109125547
0.00508440693337029
5.15936104537981e-05
6.6840260137999e-07
-2.73682424131871e-08
2.92445414526824e-09
-8.79753799932285e-11
-1.89938965286979e-13
7.1196156273502e-14
-1.46975149440742e-15
9.59795096881752e-18


If you want to plot the fit in gnuplot (with plot_fit_Pdep_K0c.gnu), use this:
#Defining the fit parameters and equation:
k00 = 0.295390109125547
k01 = 0.00508440693337029
k02 = 5.15936104537981e-05
k03 = 6.6840260137999e-07
k04 = -2.73682424131871e-08
k05 = 2.92445414526824e-09
k06 = -8.79753799932285e-11
k07 = -1.89938965286979e-13
k08 = 7.1196156273502e-14
k09 = -1.46975149440742e-15
k10 = 9.59795096881752e-18
fK0c(x)  = k00 + k01*x + k02*x**2 + k03*x**3 + k04*x**4 + k05*x**5 + k06*x**6 + k07*x**7 + k08*x**8 + k09*x**9 + k10*x**10


So we have...
P (bar)	K0c(P)
0.050	0.295644458539622
1.646	0.303901639784711
7.328	0.335651767579143
15.031	0.385673176329426
18.180	0.408978961372094
22.533	0.444511542667172
25.868	0.474733946929653

P (bar=atm*1.01325)	P (atm)	K0c(P)
0.0*1.01325	0.0	0.295390109125547
1.0*1.01325	1.0	0.30059552385524
5.0*1.01325	5.0	0.322550403527822
10.0*1.01325	10.0	0.35283311640359
15.0*1.01325	15.0	0.386868503372354
20.0*1.01325	20.0	0.425485659797645
24.0*1.01325	24.0	0.460336005927823

P (bar=atm*1.01325)	P (atm)	K0c(P)
0.0*1.01325	0.0	0.295390109125547
2.5*1.01325	2.5	0.30861062865857
5.0*1.01325	5.0	0.322550403527822
7.5*1.01325	7.5	0.337267615967037
10.0*1.01325	10.0	0.35283311640359
12.5*1.01325	12.5	0.369333528272781
15.0*1.01325	15.0	0.386868503372354
17.5*1.01325	17.5	0.405546917670494
20.0*1.01325	20.0	0.425485659797645
22.5*1.01325	22.5	0.446812941326145
25.0*1.01325	25.0	0.469676128257049


Place the following in a vlt_K0cK01Input.dat file and run vlt_K0cFind.c to find the K0c:

K0c	K01
0.295644458539622	5
0.303901639784711	5
0.335651767579143	5
0.385673176329426	5
0.408978961372094	5
0.444511542667172	5
0.474733946929653	5

K0c	K01
0.295390109125547	5
0.30059552385524	5
0.322550403527822	5
0.35283311640359	5
0.386868503372354	5
0.425485659797645	5
0.460336005927823	5

K0c	K01
0.295390109125547	5
0.30861062865857	5
0.322550403527822	5
0.337267615967037	5
0.35283311640359	5
0.369333528272781	5
0.386868503372354	5
0.405546917670494	5
0.425485659797645	5
0.446812941326145	5
0.469676128257049	5

