#filename: Pdep_K0c_lmax100_dl0.001_Op2.dat
# This file was created by editing Pdep_Cc_lmax100_dl0.001_Op2.dat by hand.
#Cc	K0c	A' using exact nu = 0.671696337558	P (bar)
#ind. variable	(from 3Dvlt_K0cFind.c Output26)	(from 3Dvlt_macro.c data fits via 3Dvlt_K0cFind.c)	(via my Greywall/Ahlers fit)
1.20	0.280544308975229	2.54788815968793	-3.00749616198256
1.10	0.296468939006784	2.45724325682663	0.211919546428171
1.06	0.30354071294185	2.41880297216547	1.57719494931857
1.05	0.305379423608169	2.40898013448342	1.92607058309965
1.04	0.307247922776542	2.39907151112412	2.27799304850807
1.03	0.309146998428258	2.38907267615133	2.63311954057858
1.02	0.311077467512369	2.37898633703878	2.99135389854351
1.01	0.313040177313466	2.36880855800937	3.3528359085594
1.00	0.315036006898571	2.35853682485076	3.71765486737105
0.99	0.317065868648624	2.34817238191595	4.08576657955775
0.98	0.319130709880376	2.33770967109825	4.45736845121051
0.97	0.321231514565087	2.32715022776501	4.83240595101479
0.90	0.337035371070207	2.25033632483789	7.56058898063671
0.80	0.36362286558404	2.13081488913697	11.8056063554816
0.70	0.39656697289679	1.99766301483481	16.5347331149709
0.60	0.438731007210038	1.84778287068009	21.8579942718494
0.55	0.464697047043989	1.765085742219	24.7951305696891
0.50	0.495108289977297	1.67628162687419	27.9491674199475
0.40	0.575343429658511	1.47644534952951	35.0467099191457
0.30	0.701090942081052	1.23766601418859	43.5273847146905
0.20	0.934654978144903	0.941118582427111	54.0597966867416
