#from 3Dvlt_macro_cp_extra.c
# using normal settings (in 3Dvlt_K0cFind.c - Outputs 27,28,29, 3Dvlt_macro_noifthen.c, and fits from plots_macro/3D_11_Normal_NoIfThen)
# P (bar)	Cc	K0c
0.050	1.10483229772024	0.295643892705827
1.646	1.05802360690523	0.3039017891501
7.328	0.905783785948535	0.335651305449222
15.031	0.730585406559371	0.385673454596625
18.180	0.667741857245225	0.408977828480417
22.533	0.588205298607552	0.444511433704054
25.868	0.532568913867742	0.474735257233818
0.0*1.01325	1.10632942839817	0.29538951067061
1.0*1.01325	1.07635638256762	0.300595480774154
5.0*1.01325	0.963811435171926	0.322550071407628
10.0*1.01325	0.838186490043836	0.352833451461462
15.0*1.01325	0.727118555504325	0.386868708988648
20.0*1.01325	0.628625944372066	0.425484419386825
24.0*1.01325	0.557881910249367	0.460337048991327
0.0*1.01325	1.10632942839817	0.29538951067061
2.5*1.01325	1.03280678021075	0.308610836254864
5.0*1.01325	0.963811435171926	0.322550071407628
7.5*1.01325	0.899037373713034	0.337267195326344
10.0*1.01325	0.838186490043836	0.352833451461462
12.5*1.01325	0.780969118936599	0.369334358088313
15.0*1.01325	0.727118555504325	0.386868708988648
17.5*1.01325	0.676402747916216	0.405545939114024
20.0*1.01325	0.628625944372066	0.425484419386825
22.5*1.01325	0.583620041108912	0.446813016248088
25.0*1.01325	0.541229882352637	0.469677478874956
