T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
0.205672	0.794328	0.953	6.5615	5.00046	1.17672e-07	-6.20045e-07	1.92809	0.999966	1.31218	8.6826	1.31396
0.369043	0.630957	1.5446	11.8558	5.00031	2.20765e-06	-0.00024801	1.06705	0.992992	2.37102	8.68262	1.31417
0.498813	0.501187	1.8847	16.6585	5.00006	4.52806e-06	-0.00200438	0.759383	0.955172	3.33165	8.68142	1.31425
0.601893	0.398107	2.1481	21.6785	5.00045	5.84856e-06	-0.00585489	0.58358	0.885734	4.33531	8.67793	1.31387
0.683772	0.316228	2.3773	27.2627	5.00025	6.43751e-06	-0.0112461	0.464027	0.800089	5.45227	8.66889	1.31248
0.748811	0.251189	2.5866	33.6099	5.00035	6.67285e-06	-0.0174075	0.376404	0.710738	6.72151	8.63418	1.30706
0.800474	0.199526	2.7824	40.8791	5.00041	6.75738e-06	-0.0237292	0.309474	0.624677	8.17515	8.54513	1.29334
0.841511	0.158489	2.9684	49.2357	5.00008	6.77984e-06	-0.0298095	0.256931	0.545205	9.847	8.38821	1.2693
0.874107	0.125893	3.1473	58.881	5.0003	6.78346e-06	-0.0354151	0.214853	0.473576	11.7755	8.17458	1.23668
0.9	0.1	3.3207	70.0297	5.00024	6.77826e-06	-0.0404316	0.180646	0.409973	14.0053	7.93223	1.19974
0.920567	0.0794328	3.49	82.9484	5.00041	6.7731e-06	-0.0448237	0.152517	0.354044	16.5883	7.69202	1.16317
0.936904	0.0630957	3.656	97.9267	5.00003	6.7653e-06	-0.0486049	0.129179	0.30519	19.5852	7.47718	1.13047
0.949881	0.0501187	3.8197	115.344	5.00047	6.76343e-06	-0.051817	0.109682	0.262717	23.0667	7.29953	1.10344
0.960189	0.0398107	3.9814	135.588	5.00048	6.7602e-06	-0.0545165	0.0933065	0.225919	27.1149	7.16107	1.08237
0.968377	0.0316228	4.1416	159.146	5.00047	6.75771e-06	-0.0567652	0.0794945	0.194118	31.8261	7.05774	1.06663
0.974881	0.0251189	4.3006	186.572	5.00031	6.75505e-06	-0.0586246	0.0678063	0.166688	37.3122	6.98291	1.05523
0.980047	0.0199526	4.4587	218.529	5.00024	6.75343e-06	-0.0601526	0.0578898	0.143065	43.7037	6.92976	1.04712
0.984151	0.0158489	4.6161	255.78	5.00028	6.75284e-06	-0.0614018	0.0494593	0.122742	51.1532	6.89242	1.04141
0.987411	0.0125893	4.7729	299.202	5.00017	6.75161e-06	-0.0624185	0.0422806	0.105274	59.8383	6.86628	1.03741
0.99	0.01	4.9293	349.855	5.00031	6.75201e-06	-0.0632429	0.0361601	0.0902709	69.9667	6.84797	1.0346
0.992057	0.00794328	5.0853	408.92	5.00022	6.75122e-06	-0.0639092	0.0309365	0.0773912	81.7803	6.83506	1.03262
0.99369	0.00630957	5.241	477.813	5.00004	6.74997e-06	-0.0644463	0.026475	0.0663393	95.5618	6.82589	1.03121
0.994988	0.00501187	5.3966	558.257	5.00047	6.75234e-06	-0.0648782	0.022662	0.0568589	111.641	6.81931	1.03019
0.996019	0.00398107	5.5519	652.049	5.00028	6.75115e-06	-0.0652248	0.0194015	0.0487288	130.402	6.81454	1.02946
0.996838	0.00316228	5.7071	761.522	5.00029	6.75114e-06	-0.0655026	0.0166124	0.0417581	152.296	6.81104	1.02891
0.997488	0.00251189	5.8622	889.286	5.00035	6.75146e-06	-0.0657249	0.0142259	0.0357825	177.845	6.80845	1.02851
0.998005	0.00199526	6.0172	1038.38	5.00035	6.75144e-06	-0.0659025	0.0121833	0.0306606	207.662	6.8065	1.02821
0.998415	0.00158489	6.1721	1212.35	5.0002	6.75054e-06	-0.0660443	0.0104347	0.0262708	242.461	6.80504	1.02798
0.998741	0.00125893	6.327	1415.47	5.00033	6.75126e-06	-0.0661574	0.00893753	0.0225089	283.076	6.80392	1.02781
0.999	0.001	6.4818	1652.46	5.00017	6.75034e-06	-0.0662476	0.00765553	0.0192852	330.48	6.80306	1.02767
1.00126	-0.00125893	100	6.80094e+43	4.87567e-250	3.47276e+248	-1.87237e+118	1.81379e-293	4.57948e-293	1.39487e+293	6.7967	1.02668
1.00158	-0.00158489	100	6.80094e+43	1.93007e-250	8.77275e+248	-4.7299e+118	7.18002e-294	1.81341e-293	3.52367e+293	6.79595	1.02656
1.002	-0.00199526	100	6.80094e+43	7.64286e-251	2.21541e+249	-1.19446e+119	2.8432e-294	7.18385e-294	8.89842e+293	6.79507	1.02642
1.00251	-0.00251189	100	6.80094e+43	3.02773e-251	5.59232e+249	-3.01515e+119	1.12634e-294	2.84736e-294	2.24621e+294	6.79406	1.02626
