T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
1	1e-08	14.1686	3.53018e+06	5.00037	6.75149e-06	-0.0780469	3.51283e-06	7.09508e-06	705983	6.79999	1.0479
1	1.25893e-08	14.0141	3.02481e+06	5.00035	6.75133e-06	-0.0780469	4.09972e-06	8.28044e-06	604920	6.79999	1.0479
1	1.58489e-08	13.8596	2.59179e+06	5.00049	6.75217e-06	-0.0780469	4.78481e-06	9.66417e-06	518307	6.79999	1.0479
1	1.99526e-08	13.705	2.22053e+06	5.00027	6.7509e-06	-0.0780469	5.58455e-06	1.12794e-05	444083	6.79999	1.0479
1	2.51189e-08	13.5504	1.90246e+06	5.00016	6.75026e-06	-0.0780469	6.51809e-06	1.3165e-05	380480	6.79999	1.0479
1	3.16228e-08	13.3958	1.62995e+06	5.00014	6.75013e-06	-0.0780468	7.60782e-06	1.5366e-05	325980	6.79999	1.0479
1	3.98107e-08	13.2412	1.39647e+06	5.00019	6.75039e-06	-0.0780468	8.87986e-06	1.79352e-05	279284	6.79999	1.0479
1	5.01187e-08	13.0866	1.19644e+06	5.00028	6.75097e-06	-0.0780468	1.03647e-05	2.09342e-05	239274	6.79999	1.0479
1	6.30957e-08	12.932	1.02506e+06	5.00043	6.7518e-06	-0.0780468	1.20979e-05	2.44349e-05	204994	6.79999	1.0479
1	7.94328e-08	12.7773	878138	5.0001	6.74992e-06	-0.0780468	1.41211e-05	2.85212e-05	175624	6.79999	1.0479
1	1e-07	12.6227	752351	5.00031	6.75111e-06	-0.0780468	1.64827e-05	3.32911e-05	150461	6.79999	1.0479
1	1.25893e-07	12.468	644518	5.00004	6.74952e-06	-0.0780468	1.92393e-05	3.88588e-05	128903	6.79999	1.0479
1	1.58489e-07	12.3134	552196	5.00028	6.75093e-06	-0.0780468	2.2457e-05	4.53578e-05	110433	6.79999	1.0479
1	1.99526e-07	12.1587	473051	5.00004	6.74952e-06	-0.0780468	2.6213e-05	5.2944e-05	94609.5	6.79999	1.0479
1	2.51189e-07	12.0041	405290	5.0003	6.75108e-06	-0.0780468	3.05972e-05	6.1799e-05	81053.1	6.79999	1.0479
1	3.16228e-07	11.8494	347201	5.00008	6.74978e-06	-0.0780467	3.57148e-05	7.21353e-05	69439	6.79999	1.0479
1	3.98107e-07	11.6948	297467	5.00036	6.75143e-06	-0.0780467	4.16883e-05	8.42004e-05	59489.1	6.79999	1.0479
0.999999	5.01187e-07	11.5401	254832	5.00015	6.7502e-06	-0.0780467	4.86611e-05	9.82836e-05	50964.8	6.79999	1.0479
0.999999	6.30957e-07	11.3855	218329	5.00045	6.75191e-06	-0.0780466	5.68001e-05	0.000114722	43661.9	6.79999	1.0479
0.999999	7.94328e-07	11.2308	187036	5.00024	6.75073e-06	-0.0780466	6.63005e-05	0.000133911	37405.5	6.79999	1.0479
0.999999	1e-06	11.0761	160229	5.00004	6.74957e-06	-0.0780465	7.739e-05	0.000156309	32045.5	6.8	1.0479
0.999999	1.25893e-06	10.9215	137277	5.00035	6.75133e-06	-0.0780464	9.03343e-05	0.000182453	27453.6	6.8	1.0479
0.999998	1.58489e-06	10.7668	117602	5.00015	6.75019e-06	-0.0780462	0.000105444	0.000212971	23519.6	6.8	1.0479
0.999998	1.99526e-06	10.6122	100756	5.00046	6.75197e-06	-0.0780461	0.000123081	0.000248593	20149.4	6.8	1.0479
0.999997	2.51189e-06	10.4575	86315	5.00026	6.75085e-06	-0.0780459	0.000143667	0.000290173	17262.1	6.8	1.0479
0.999997	3.16228e-06	10.3028	73943.6	5.00007	6.74974e-06	-0.0780456	0.000167698	0.000338708	14788.5	6.8	1.0479
0.999996	3.98107e-06	10.1482	63351.8	5.00038	6.75155e-06	-0.0780453	0.000195747	0.000395361	12669.4	6.8	1.04791
