T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
1	1e-08	100	6.80094e+43	0.639695	0.000760774	0.639695	0.855375	3.95501
1	1.25893e-08	100	6.80094e+43	0.639695	0.000760767	0.639695	0.855375	3.95501
1	1.58489e-08	100	6.80094e+43	0.639695	0.000760758	0.639695	0.855376	3.95501
1	1.99526e-08	100	6.80094e+43	0.639695	0.000760748	0.639695	0.855376	3.95501
1	2.51189e-08	100	6.80094e+43	0.639695	0.000760734	0.639695	0.855376	3.95501
1	3.16228e-08	100	6.80094e+43	0.639696	0.000760717	0.639696	0.855376	3.95501
1	3.98107e-08	100	6.80094e+43	0.639696	0.000760695	0.639696	0.855376	3.95501
1	5.01187e-08	100	6.80094e+43	0.639696	0.000760668	0.639696	0.855377	3.955
1	6.30957e-08	100	6.80094e+43	0.639696	0.000760633	0.639696	0.855377	3.955
1	7.94328e-08	100	6.80094e+43	0.639697	0.00076059	0.639697	0.855377	3.955
1	1e-07	100	6.80094e+43	0.639697	0.000760535	0.639697	0.855378	3.955
1	1.25893e-07	100	6.80094e+43	0.639698	0.000760467	0.639698	0.855379	3.95499
1	1.58489e-07	100	6.80094e+43	0.639698	0.00076038	0.639698	0.85538	3.95499
1	1.99526e-07	100	6.80094e+43	0.639699	0.000760272	0.639699	0.855381	3.95498
1	2.51189e-07	100	6.80094e+43	0.6397	0.000760135	0.6397	0.855382	3.95498
1	3.16228e-07	100	6.80094e+43	0.639702	0.000759963	0.639702	0.855384	3.95497
1	3.98107e-07	100	6.80094e+43	0.639703	0.000759746	0.639703	0.855386	3.95496
0.999999	5.01187e-07	100	6.80094e+43	0.639706	0.000759473	0.639706	0.855389	3.95494
0.999999	6.30957e-07	100	6.80094e+43	0.639708	0.00075913	0.639708	0.855393	3.95493
0.999999	7.94328e-07	100	6.80094e+43	0.639712	0.000758699	0.639712	0.855397	3.95491
0.999999	1e-06	100	6.80094e+43	0.639716	0.000758156	0.639716	0.855403	3.95488
0.999999	1.25893e-06	100	6.80094e+43	0.639722	0.000757473	0.639722	0.85541	3.95485
0.999998	1.58489e-06	100	6.80094e+43	0.639729	0.000756615	0.639729	0.855419	3.9548
0.999998	1.99526e-06	100	6.80094e+43	0.639737	0.000755536	0.639737	0.85543	3.95475
0.999997	2.51189e-06	100	6.80094e+43	0.639748	0.000754181	0.639748	0.855444	3.95468
0.999997	3.16228e-06	100	6.80094e+43	0.639762	0.00075248	0.639762	0.855462	3.9546
0.999996	3.98107e-06	100	6.80094e+43	0.639779	0.000750347	0.639779	0.855484	3.95449
0.999995	5.01187e-06	100	6.80094e+43	0.639801	0.000747672	0.639801	0.855512	3.95436
0.999994	6.30957e-06	100	6.80094e+43	0.639828	0.000744324	0.639828	0.855548	3.95419
