tempv	cap	l	Kr/K0	F	
1e-08	61.4081	9.7516	0.00116955	-0.051373
1.49182e-08	61.4745	9.7513	0.00116989	-0.051373
2.22554e-08	61.3305	9.7509	0.00117039	-0.051373
3.32012e-08	61.1757	9.7502	0.00117115	-0.051373
4.95303e-08	61.295	9.7492	0.00117227	-0.051373
7.38906e-08	61.2097	9.7478	0.00117395	-0.051373
1.10232e-07	61.2554	9.7457	0.00117644	-0.051373
1.64446e-07	61.348	9.7425	0.00118016	-0.051373
2.45325e-07	61.131	9.7379	0.0011857	-0.051373
3.65982e-07	61.1645	9.7309	0.00119394	-0.0513729
5.45982e-07	61.0545	9.7207	0.00120619	-0.0513729
8.14509e-07	60.7671	9.7058	0.00122433	-0.0513728
1.2151e-06	60.8257	9.6841	0.00125117	-0.0513727
1.81272e-06	60.6654	9.653	0.00129069	-0.0513725
2.70426e-06	60.1951	9.6091	0.00134857	-0.0513722
4.03429e-06	59.5484	9.5486	0.00143274	-0.0513718
6.01845e-06	58.9569	9.4673	0.00155401	-0.0513712
8.97847e-06	58.1155	9.3619	0.00172681	-0.0513704
1.33943e-05	56.8831	9.2301	0.00197	-0.0513691
1.9982e-05	55.6267	9.0719	0.00230784	-0.0513671
2.98096e-05	53.8153	8.8888	0.00277131	-0.0513642
4.44707e-05	52.3226	8.6844	0.00339997	-0.0513598
6.63424e-05	50.2973	8.4625	0.00424467	-0.0513533
9.89713e-05	48.3279	8.227	0.00537118	-0.0513436
0.000147648	46.1006	7.9816	0.00686496	-0.0513292
0.000220265	44.0009	7.729	0.00883751	-0.0513077
0.000328596	41.7204	7.4712	0.0114345	-0.0512756
0.000490208	39.3392	7.2099	0.0148463	-0.0512278
0.000731304	37.1168	6.9462	0.0193219	-0.0511568
0.00109098	34.5528	6.6808	0.0251862	-0.0510512
0.00162755	32.2357	6.4142	0.0328636	-0.0508946
0.00242802	29.7853	6.1467	0.0429069	-0.0506628
0.00362217	27.4651	5.8786	0.0560345	-0.0503204
0.00540365	25.0536	5.6099	0.0731775	-0.0498169
0.0080613	22.4933	5.3406	0.0955358	-0.0490803
