tempv	cap	l	Kr/K0	F	
1e-08	1.13846e+06	14.4855	1.04009e-05	-0.0507639
1.49182e-08	477659	14.2162	1.36151e-05	-0.0507639
2.22554e-08	194322	13.9471	1.7819e-05	-0.0507639
3.32012e-08	75318.1	13.6782	2.33178e-05	-0.0507639
4.95303e-08	27000	13.4093	3.05107e-05	-0.0507639
7.38906e-08	8517.76	13.1405	3.99199e-05	-0.0507639
1.10232e-07	2164.44	12.8718	5.22288e-05	-0.0507639
1.64446e-07	398.056	12.603	6.83311e-05	-0.0507639
2.45325e-07	93.1342	12.3343	8.93961e-05	-0.0507639
3.65982e-07	79.6229	12.0656	0.000116954	-0.0507638
5.45982e-07	77.2287	11.7969	0.000153005	-0.0507638
8.14509e-07	74.9712	11.5282	0.000200168	-0.0507637
1.2151e-06	72.9623	11.2596	0.000261867	-0.0507636
1.81272e-06	70.8002	10.9909	0.000342584	-0.0507634
2.70426e-06	68.6462	10.7222	0.000448181	-0.0507631
4.03429e-06	66.43	10.4535	0.000586324	-0.0507627
6.01845e-06	64.1842	10.1848	0.000767048	-0.0507622
8.97847e-06	62.0129	9.9162	0.00100347	-0.0507613
1.33943e-05	59.6769	9.6475	0.00131277	-0.05076
1.9982e-05	57.5868	9.3788	0.0017174	-0.050758
2.98096e-05	55.4096	9.1101	0.00224675	-0.0507551
4.44707e-05	53.0988	8.8415	0.00293924	-0.0507508
6.63424e-05	50.6278	8.5728	0.00384515	-0.0507444
9.89713e-05	48.2907	8.3041	0.00503025	-0.0507348
0.000147648	45.9935	8.0354	0.00658054	-0.0507204
0.000220265	43.7613	7.7667	0.00860849	-0.0506991
0.000328596	41.4963	7.498	0.0112612	-0.0506673
0.000490208	39.219	7.2292	0.0147308	-0.0506199
0.000731304	36.674	6.9604	0.0192686	-0.0505494
0.00109098	34.4092	6.6916	0.0252023	-0.0504448
0.00162755	32.0009	6.4227	0.03296	-0.0502894
0.00242802	29.5023	6.1537	0.0430986	-0.0500594
0.00362217	27.1887	5.8846	0.0563425	-0.0497199
0.00540365	24.7707	5.6152	0.0736295	-0.0492205
0.0080613	22.3633	5.3455	0.0961679	-0.0484899
